Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Trent Taylor*,Louisiana Tech,CUSA,14.0,136.0,1803.0,13.3,12.0,128.8,0.0,0.0,,0.0,0.0,136.0,1803.0,13.3,12.0,
2.0,Zay Jones,East Carolina,American,12.0,158.0,1746.0,11.1,8.0,145.5,4.0,24.0,6.0,0.0,2.0,162.0,1770.0,10.9,8.0,
3.0,Taywan Taylor*,Western Kentucky,CUSA,14.0,98.0,1730.0,17.7,17.0,123.6,6.0,36.0,6.0,0.0,2.6,104.0,1766.0,17.0,17.0,
4.0,Richie James*,Middle Tennessee State,CUSA,13.0,105.0,1625.0,15.5,12.0,125.0,38.0,339.0,8.9,4.0,26.1,143.0,1964.0,13.7,16.0,
5.0,Carlos Henderson*,Louisiana Tech,CUSA,13.0,82.0,1535.0,18.7,19.0,118.1,14.0,133.0,9.5,2.0,10.2,96.0,1668.0,17.4,21.0,
6.0,Dede Westbrook*,Oklahoma,Big 12,13.0,80.0,1524.0,19.1,17.0,117.2,10.0,101.0,10.1,0.0,7.8,90.0,1625.0,18.1,17.0,"H-4,AA"
7.0,Corey Davis*,Western Michigan,MAC,14.0,97.0,1500.0,15.5,19.0,107.1,1.0,0.0,0.0,0.0,0.0,98.0,1500.0,15.3,19.0,AA
8.0,Amba Etta-Tawo,Syracuse,ACC,12.0,94.0,1482.0,15.8,14.0,123.5,0.0,0.0,,0.0,0.0,94.0,1482.0,15.8,14.0,
9.0,Anthony Miller*,Memphis,American,13.0,95.0,1434.0,15.1,14.0,110.3,12.0,69.0,5.8,1.0,5.3,107.0,1503.0,14.0,15.0,
10.0,James Washington*,Oklahoma State,Big 12,13.0,71.0,1380.0,19.4,10.0,106.2,4.0,28.0,7.0,0.0,2.2,75.0,1408.0,18.8,10.0,
11.0,Mike Williams*,Clemson,ACC,15.0,98.0,1361.0,13.9,11.0,90.7,0.0,0.0,,0.0,0.0,98.0,1361.0,13.9,11.0,
12.0,Tanner Gentry*,Wyoming,MWC,14.0,72.0,1326.0,18.4,14.0,94.7,6.0,30.0,5.0,0.0,2.1,78.0,1356.0,17.4,14.0,
13.0,Nicholas Norris*,Western Kentucky,CUSA,14.0,76.0,1318.0,17.3,14.0,94.1,13.0,222.0,17.1,1.0,15.9,89.0,1540.0,17.3,15.0,
14.0,Michael Gallup*,Colorado State,MWC,13.0,76.0,1272.0,16.7,14.0,97.8,4.0,15.0,3.8,0.0,1.2,80.0,1287.0,16.1,14.0,
15.0,Thomas Sperbeck*,Boise State,MWC,13.0,80.0,1272.0,15.9,9.0,97.8,11.0,53.0,4.8,0.0,4.1,91.0,1325.0,14.6,9.0,
16.0,Cody Thompson*,Toledo,MAC,13.0,64.0,1269.0,19.8,11.0,97.6,0.0,0.0,,0.0,0.0,64.0,1269.0,19.8,11.0,
17.0,Chad Hansen,California,Pac-12,10.0,92.0,1249.0,13.6,11.0,124.9,0.0,0.0,,0.0,0.0,92.0,1249.0,13.6,11.0,
18.0,Austin Carr*,Northwestern,Big Ten,13.0,90.0,1247.0,13.9,12.0,95.9,0.0,0.0,,0.0,0.0,90.0,1247.0,13.9,12.0,
19.0,Courtland Sutton,SMU,American,12.0,76.0,1246.0,16.4,10.0,103.8,0.0,0.0,,0.0,0.0,76.0,1246.0,16.4,10.0,
20.0,K.D. Cannon*,Baylor,Big 12,12.0,87.0,1215.0,14.0,13.0,101.3,0.0,0.0,,0.0,0.0,87.0,1215.0,14.0,13.0,
21.0,Keevan Lucas*,Tulsa,American,13.0,81.0,1180.0,14.6,15.0,90.8,6.0,37.0,6.2,0.0,2.8,87.0,1217.0,14.0,15.0,
22.0,Noel Thomas,Connecticut,American,12.0,100.0,1179.0,11.8,3.0,98.3,13.0,60.0,4.6,0.0,5.0,113.0,1239.0,11.0,3.0,
23.0,Allen Staggers*,Southern Mississippi,CUSA,13.0,63.0,1165.0,18.5,7.0,89.6,3.0,39.0,13.0,0.0,3.0,66.0,1204.0,18.2,7.0,
24.0,Jonathan Giles,Texas Tech,Big 12,12.0,69.0,1158.0,16.8,13.0,96.5,0.0,0.0,,0.0,0.0,69.0,1158.0,16.8,13.0,
