Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Donnel Pumphrey*,San Diego State,MWC,14.0,349.0,2133.0,6.1,17.0,152.4,27.0,231.0,8.6,0.0,16.5,376.0,2364.0,6.3,17.0,H-10
2.0,D'Onta Foreman,Texas,Big 12,11.0,323.0,2028.0,6.3,15.0,184.4,7.0,75.0,10.7,0.0,6.8,330.0,2103.0,6.4,15.0,"H-8,AA"
3.0,Brian Hill*,Wyoming,MWC,14.0,349.0,1860.0,5.3,22.0,132.9,8.0,67.0,8.4,0.0,4.8,357.0,1927.0,5.4,22.0,
4.0,Aaron Jones,UTEP,CUSA,12.0,229.0,1773.0,7.7,17.0,147.8,28.0,233.0,8.3,3.0,19.4,257.0,2006.0,7.8,20.0,
5.0,Dalvin Cook*,Florida State,ACC,13.0,288.0,1765.0,6.1,19.0,135.8,33.0,488.0,14.8,1.0,37.5,321.0,2253.0,7.0,20.0,"H-10,AA"
6.0,Jeremy McNichols*,Boise State,MWC,13.0,314.0,1709.0,5.4,23.0,131.5,37.0,474.0,12.8,4.0,36.5,351.0,2183.0,6.2,27.0,
7.0,James Flanders*,Tulsa,American,13.0,258.0,1629.0,6.3,18.0,125.3,3.0,17.0,5.7,0.0,1.3,261.0,1646.0,6.3,18.0,
8.0,Anthony Wales*,Western Kentucky,CUSA,13.0,237.0,1621.0,6.8,27.0,124.7,30.0,323.0,10.8,2.0,24.8,267.0,1944.0,7.3,29.0,
9.0,Christian McCaffrey*,Stanford,Pac-12,11.0,253.0,1603.0,6.3,13.0,145.7,37.0,310.0,8.4,3.0,28.2,290.0,1913.0,6.6,16.0,H-9
10.0,Lamar Jackson*,Louisville,ACC,13.0,260.0,1571.0,6.0,21.0,120.8,0.0,0.0,,0.0,0.0,260.0,1571.0,6.0,21.0,"H-1,Maxwell,AA,Camp"
11.0,I'Tavius Mathers*,Middle Tennessee State,CUSA,13.0,232.0,1561.0,6.7,17.0,120.1,66.0,633.0,9.6,3.0,48.7,298.0,2194.0,7.4,20.0,
12.0,Quinton Flowers*,South Florida,American,13.0,198.0,1530.0,7.7,18.0,117.7,1.0,-3.0,-3.0,0.0,-0.2,199.0,1527.0,7.7,18.0,
13.0,Justin Jackson*,Northwestern,Big Ten,13.0,298.0,1524.0,5.1,15.0,117.2,35.0,219.0,6.3,0.0,16.8,333.0,1743.0,5.2,15.0,
14.0,Saquon Barkley*,Penn State,Big Ten,14.0,272.0,1496.0,5.5,18.0,106.9,28.0,402.0,14.4,4.0,28.7,300.0,1898.0,6.3,22.0,
15.0,Kareem Hunt*,Toledo,MAC,13.0,262.0,1475.0,5.6,10.0,113.5,41.0,403.0,9.8,1.0,31.0,303.0,1878.0,6.2,11.0,
16.0,Ito Smith*,Southern Mississippi,CUSA,13.0,265.0,1459.0,5.5,17.0,112.2,43.0,459.0,10.7,2.0,35.3,308.0,1918.0,6.2,19.0,
17.0,D'Angelo Brewer*,Tulsa,American,12.0,264.0,1435.0,5.4,7.0,119.6,5.0,19.0,3.8,1.0,1.6,269.0,1454.0,5.4,8.0,
18.0,Joe Williams*,Utah,Pac-12,9.0,210.0,1407.0,6.7,10.0,156.3,9.0,107.0,11.9,0.0,11.9,219.0,1514.0,6.9,10.0,
19.0,Jalin Moore*,Appalachian State,Sun Belt,13.0,237.0,1402.0,5.9,10.0,107.8,5.0,32.0,6.4,0.0,2.5,242.0,1434.0,5.9,10.0,
20.0,Derrius Guice*,LSU,SEC,12.0,183.0,1387.0,7.6,15.0,115.6,9.0,106.0,11.8,1.0,8.8,192.0,1493.0,7.8,16.0,
21.0,Corey Clement*,Wisconsin,Big Ten,13.0,314.0,1375.0,4.4,15.0,105.8,12.0,132.0,11.0,0.0,10.2,326.0,1507.0,4.6,15.0,
22.0,Jamaal Williams*,BYU,Ind,10.0,234.0,1375.0,5.9,12.0,137.5,7.0,80.0,11.4,0.0,8.0,241.0,1455.0,6.0,12.0,
23.0,Nick Fitzgerald*,Mississippi State,SEC,13.0,195.0,1375.0,7.1,16.0,105.8,1.0,9.0,9.0,0.0,0.7,196.0,1384.0,7.1,16.0,
24.0,Myles Gaskin*,Washington,Pac-12,14.0,237.0,1373.0,5.8,10.0,98.1,19.0,137.0,7.2,1.0,9.8,256.0,1510.0,5.9,11.0,
25.0,Rawleigh Williams III*,Arkansas,SEC,13.0,245.0,1360.0,5.6,12.0,104.6,15.0,220.0,14.7,1.0,16.9,260.0,1580.0,6.1,13.0,
26.0,Jarvion Franklin*,Western Michigan,MAC,14.0,248.0,1353.0,5.5,12.0,96.6,25.0,288.0,11.5,2.0,20.6,273.0,1641.0,6.0,14.0,
27.0,James Butler,Nevada,MWC,12.0,260.0,1336.0,5.1,12.0,111.3,37.0,381.0,10.3,3.0,31.8,297.0,1717.0,5.8,15.0,
28.0,James Gilbert,Ball State,MAC,12.0,251.0,1332.0,5.3,12.0,111.0,1.0,18.0,18.0,0.0,1.5,252.0,1350.0,5.4,12.0,
29.0,Jordan Chunn*,Troy,Sun Belt,13.0,279.0,1288.0,4.6,16.0,99.1,30.0,228.0,7.6,0.0,17.5,309.0,1516.0,4.9,16.0,
30.0,Ralph Webb*,Vanderbilt,SEC,13.0,250.0,1283.0,5.1,13.0,98.7,21.0,166.0,7.9,0.0,12.8,271.0,1449.0,5.3,13.0,
31.0,Joe Mixon*,Oklahoma,Big 12,12.0,187.0,1274.0,6.8,10.0,106.2,37.0,538.0,14.5,5.0,44.8,224.0,1812.0,8.1,15.0,
32.0,Teriyon Gipson*,New Mexico,MWC,11.0,145.0,1269.0,8.8,13.0,115.4,9.0,80.0,8.9,1.0,7.3,154.0,1349.0,8.8,14.0,
33.0,Ray Lawry*,Old Dominion,CUSA,12.0,200.0,1255.0,6.3,11.0,104.6,11.0,134.0,12.2,1.0,11.2,211.0,1389.0,6.6,12.0,
