Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1.0,Mason Rudolph*,Oklahoma State,Big 12,13.0,318.0,489.0,65.0,4904.0,37.0,7.6,9.0,1.8,10.0,10.71,15.4,377.2,170.6,H-7
2.0,Baker Mayfield*,Oklahoma,Big 12,14.0,285.0,404.0,70.5,4627.0,43.0,10.6,6.0,1.5,11.5,12.91,16.2,330.5,198.9,"H-1,Maxwell,AA,Camp"
3.0,Riley Ferguson*,Memphis,American,13.0,299.0,474.0,63.1,4257.0,38.0,8.0,9.0,1.9,9.0,9.73,14.2,327.5,161.2,
4.0,Mike White*,Western Kentucky,CUSA,13.0,368.0,560.0,65.7,4177.0,26.0,4.6,8.0,1.4,7.5,7.74,11.4,321.3,140.8,
5.0,Sam Darnold*,USC,Pac-12,14.0,303.0,480.0,63.1,4143.0,26.0,5.4,13.0,2.7,8.6,8.5,13.7,295.9,148.1,
6.0,Mason Fine*,North Texas,CUSA,14.0,324.0,511.0,63.4,4052.0,31.0,6.1,15.0,2.9,7.9,7.82,12.5,289.4,144.2,
7.0,McKenzie Milton*,UCF,American,13.0,265.0,395.0,67.1,4037.0,37.0,9.4,9.0,2.3,10.2,11.07,15.2,310.5,179.3,H-8
8.0,Tyler Rogers*,New Mexico State,Sun Belt,12.0,348.0,566.0,61.5,4016.0,27.0,4.8,18.0,3.2,7.1,6.62,11.5,334.7,130.5,
9.0,Justice Hansen*,Arkansas State,Sun Belt,12.0,305.0,487.0,62.6,3967.0,37.0,7.6,16.0,3.3,8.1,8.19,13.0,330.6,149.6,
10.0,Drew Lock*,Missouri,SEC,13.0,242.0,419.0,57.8,3964.0,44.0,10.5,13.0,3.1,9.5,10.16,16.4,304.9,165.7,
11.0,Nic Shimonek*,Texas Tech,Big 12,13.0,328.0,493.0,66.5,3963.0,33.0,6.7,10.0,2.0,8.0,8.46,12.1,304.8,152.1,
12.0,Logan Woodside*,Toledo,MAC,14.0,264.0,411.0,64.2,3882.0,28.0,6.8,8.0,1.9,9.4,9.93,14.7,277.3,162.2,
