Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Rashaad Penny*,San Diego State,MWC,13.0,289.0,2248.0,7.8,23.0,172.9,19.0,135.0,7.1,2.0,10.4,308.0,2383.0,7.7,25.0,"H-5,AA"
2.0,Bryce Love*,Stanford,Pac-12,13.0,263.0,2118.0,8.1,19.0,162.9,6.0,33.0,5.5,0.0,2.5,269.0,2151.0,8.0,19.0,"H-2,AA"
3.0,Jonathan Taylor*,Wisconsin,Big Ten,14.0,299.0,1977.0,6.6,13.0,141.2,8.0,95.0,11.9,0.0,6.8,307.0,2072.0,6.7,13.0,H-6
4.0,Devin Singletary*,Florida Atlantic,CUSA,14.0,301.0,1920.0,6.4,32.0,137.1,19.0,198.0,10.4,1.0,14.1,320.0,2118.0,6.6,33.0,
5.0,Ahmad Bradshaw*,Army,Ind,13.0,242.0,1746.0,7.2,14.0,134.3,0.0,0.0,,0.0,0.0,242.0,1746.0,7.2,14.0,
6.0,Lamar Jackson*,Louisville,ACC,13.0,232.0,1601.0,6.9,18.0,123.2,0.0,0.0,,0.0,0.0,232.0,1601.0,6.9,18.0,H-3
7.0,AJ Dillon*,Boston College,ACC,13.0,300.0,1589.0,5.3,14.0,122.2,0.0,0.0,,0.0,0.0,300.0,1589.0,5.3,14.0,
8.0,Ronald Jones*,USC,Pac-12,13.0,261.0,1550.0,5.9,19.0,119.2,14.0,187.0,13.4,1.0,14.4,275.0,1737.0,6.3,20.0,
9.0,D'Angelo Brewer,Tulsa,American,11.0,288.0,1517.0,5.3,9.0,137.9,9.0,88.0,9.8,0.0,8.0,297.0,1605.0,5.4,9.0,
10.0,Diocemy Saint Juste,Hawaii,MWC,12.0,282.0,1510.0,5.4,7.0,125.8,28.0,157.0,5.6,1.0,13.1,310.0,1667.0,5.4,8.0,
11.0,Royce Freeman*,Oregon,Pac-12,12.0,244.0,1475.0,6.0,16.0,122.9,14.0,164.0,11.7,0.0,13.7,258.0,1639.0,6.4,16.0,
12.0,Phillip Lindsay,Colorado,Pac-12,12.0,301.0,1474.0,4.9,14.0,122.8,23.0,257.0,11.2,1.0,21.4,324.0,1731.0,5.3,15.0,
13.0,Justice Hill*,Oklahoma State,Big 12,13.0,268.0,1467.0,5.5,15.0,112.8,31.0,190.0,6.1,1.0,14.6,299.0,1657.0,5.5,16.0,
14.0,Josh Adams*,Notre Dame,Ind,13.0,206.0,1430.0,6.9,9.0,110.0,13.0,101.0,7.8,0.0,7.8,219.0,1531.0,7.0,9.0,
15.0,Ito Smith*,Southern Mississippi,CUSA,13.0,248.0,1413.0,5.7,13.0,108.7,40.0,396.0,9.9,2.0,30.5,288.0,1809.0,6.3,15.0,
16.0,Zach Abey*,Navy,American,12.0,293.0,1413.0,4.8,19.0,117.8,1.0,5.0,5.0,1.0,0.4,294.0,1418.0,4.8,20.0,
17.0,Khalil Tate*,Arizona,Pac-12,11.0,153.0,1411.0,9.2,12.0,128.3,0.0,0.0,,0.0,0.0,153.0,1411.0,9.2,12.0,
18.0,J.K. Dobbins*,Ohio State,Big Ten,14.0,194.0,1403.0,7.2,7.0,100.2,22.0,135.0,6.1,1.0,9.6,216.0,1538.0,7.1,8.0,
19.0,Dalyn Dawkins*,Colorado State,MWC,13.0,226.0,1399.0,6.2,8.0,107.6,26.0,310.0,11.9,1.0,23.8,252.0,1709.0,6.8,9.0,
20.0,Kerryon Johnson*,Auburn,SEC,12.0,285.0,1391.0,4.9,18.0,115.9,24.0,194.0,8.1,2.0,16.2,309.0,1585.0,5.1,20.0,H-9
21.0,Myles Gaskin*,Washington,Pac-12,13.0,222.0,1380.0,6.2,21.0,106.2,19.0,232.0,12.2,3.0,17.8,241.0,1612.0,6.7,24.0,
22.0,Terry Swanson*,Toledo,MAC,13.0,242.0,1363.0,5.6,14.0,104.8,20.0,194.0,9.7,0.0,14.9,262.0,1557.0,5.9,14.0,
23.0,Nick Chubb*,Georgia,SEC,15.0,223.0,1345.0,6.0,15.0,89.7,4.0,30.0,7.5,0.0,2.0,227.0,1375.0,6.1,15.0,
24.0,Lexington Thomas,Nevada-Las Vegas,MWC,12.0,211.0,1336.0,6.3,17.0,111.3,8.0,143.0,17.9,0.0,11.9,219.0,1479.0,6.8,17.0,
25.0,Benjamin Snell Jr.*,Kentucky,SEC,13.0,262.0,1333.0,5.1,19.0,102.5,10.0,72.0,7.2,0.0,5.5,272.0,1405.0,5.2,19.0,
26.0,Spencer Brown*,UAB,CUSA,13.0,250.0,1329.0,5.3,10.0,102.2,4.0,42.0,10.5,0.0,3.2,254.0,1371.0,5.4,10.0,
27.0,Justin Jackson*,Northwestern,Big Ten,13.0,287.0,1311.0,4.6,11.0,100.8,44.0,276.0,6.3,0.0,21.2,331.0,1587.0,4.8,11.0,
28.0,Saquon Barkley*,Penn State,Big Ten,13.0,217.0,1271.0,5.9,18.0,97.8,54.0,632.0,11.7,3.0,48.6,271.0,1903.0,7.0,21.0,"H-4,AA"
29.0,Derrius Guice*,LSU,SEC,12.0,237.0,1251.0,5.3,11.0,104.3,18.0,124.0,6.9,2.0,10.3,255.0,1375.0,5.4,13.0,
30.0,Jarvion Franklin,Western Michigan,MAC,12.0,235.0,1228.0,5.2,11.0,102.3,5.0,35.0,7.0,1.0,2.9,240.0,1263.0,5.3,12.0,
31.0,Sony Michel*,Georgia,SEC,14.0,156.0,1227.0,7.9,16.0,87.6,9.0,96.0,10.7,1.0,6.9,165.0,1323.0,8.0,17.0,
32.0,Jeffery Wilson*,North Texas,CUSA,11.0,188.0,1215.0,6.5,16.0,110.5,24.0,168.0,7.0,0.0,15.3,212.0,1383.0,6.5,16.0,
33.0,Malcolm Perry*,Navy,American,12.0,138.0,1182.0,8.6,11.0,98.5,13.0,303.0,23.3,2.0,25.3,151.0,1485.0,9.8,13.0,
34.0,Zack Moss*,Utah,Pac-12,13.0,214.0,1173.0,5.5,10.0,90.2,29.0,243.0,8.4,0.0,18.7,243.0,1416.0,5.8,10.0,
35.0,Rodney Anderson*,Oklahoma,Big 12,14.0,188.0,1161.0,6.2,13.0,82.9,17.0,281.0,16.5,5.0,20.1,205.0,1442.0,7.0,18.0,
36.0,Darrell Henderson*,Memphis,American,12.0,130.0,1154.0,8.9,9.0,96.2,24.0,226.0,9.4,2.0,18.8,154.0,1380.0,9.0,11.0,
37.0,David Montgomery*,Iowa State,Big 12,13.0,258.0,1146.0,4.4,11.0,88.2,36.0,296.0,8.2,0.0,22.8,294.0,1442.0,4.9,11.0,
38.0,TaQuon Marshall,Georgia Tech,ACC,11.0,247.0,1146.0,4.6,17.0,104.2,0.0,0.0,,0.0,0.0,247.0,1146.0,4.6,17.0,
39.0,Patrick Laird,California,Pac-12,11.0,191.0,1127.0,5.9,8.0,102.5,45.0,322.0,7.2,1.0,29.3,236.0,1449.0,6.1,9.0,
40.0,Nyheim Hines*,North Carolina State,ACC,13.0,197.0,1112.0,5.6,12.0,85.5,26.0,152.0,5.8,0.0,11.7,223.0,1264.0,5.7,12.0,
41.0,Akrum Wadley*,Iowa,Big Ten,13.0,252.0,1109.0,4.4,10.0,85.3,28.0,353.0,12.6,3.0,27.2,280.0,1462.0,5.2,13.0,
42.0,Aeris Williams*,Mississippi State,SEC,13.0,236.0,1107.0,4.7,6.0,85.2,16.0,142.0,8.9,0.0,10.9,252.0,1249.0,5.0,6.0,
43.0,Dontrell Hilliard,Tulane,American,12.0,210.0,1091.0,5.2,12.0,90.9,8.0,115.0,14.4,2.0,9.6,218.0,1206.0,5.5,14.0,
44.0,Alexander Mattison*,Boise State,MWC,14.0,212.0,1086.0,5.1,12.0,77.6,28.0,284.0,10.1,1.0,20.3,240.0,1370.0,5.7,13.0,
45.0,Quinton Flowers*,South Florida,American,12.0,196.0,1078.0,5.5,11.0,89.8,0.0,0.0,,0.0,0.0,196.0,1078.0,5.5,11.0,
46.0,Xavier Jones*,SMU,American,13.0,182.0,1075.0,5.9,9.0,82.7,14.0,84.0,6.0,0.0,6.5,196.0,1159.0,5.9,9.0,
