Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Jerreth Sterns*,Western Kentucky,CUSA,14.0,150.0,1902.0,12.7,17.0,135.9,5.0,17.0,3.4,0.0,1.2,155.0,1919.0,12.4,17.0,
2.0,Deven Thompkins*,Utah State,MWC,14.0,102.0,1704.0,16.7,10.0,121.7,5.0,27.0,5.4,0.0,1.9,107.0,1731.0,16.2,10.0,
3.0,Jaxon Smith-Njigba*,Ohio State,Big Ten,13.0,95.0,1606.0,16.9,9.0,123.5,0.0,0.0,,0.0,0.0,95.0,1606.0,16.9,9.0,
4.0,Jordan Addison*,Pitt,ACC,14.0,100.0,1593.0,15.9,17.0,113.8,7.0,56.0,8.0,1.0,4.0,107.0,1649.0,15.4,18.0,AA
5.0,Jameson Williams*,Alabama,SEC,15.0,79.0,1572.0,19.9,15.0,104.8,3.0,23.0,7.7,0.0,1.5,82.0,1595.0,19.5,15.0,
6.0,Jalen Tolbert,South Alabama,Sun Belt,12.0,82.0,1474.0,18.0,8.0,122.8,0.0,0.0,,0.0,0.0,82.0,1474.0,18.0,8.0,
7.0,Jack Sorenson*,Miami (OH),MAC,13.0,76.0,1406.0,18.5,10.0,108.2,0.0,0.0,,0.0,0.0,76.0,1406.0,18.5,10.0,
8.0,Mitchell Tinsley*,Western Kentucky,CUSA,14.0,87.0,1402.0,16.1,14.0,100.1,0.0,0.0,,0.0,0.0,87.0,1402.0,16.1,14.0,
9.0,Jacob Cowing*,UTEP,CUSA,13.0,69.0,1354.0,19.6,7.0,104.2,4.0,75.0,18.8,1.0,5.8,73.0,1429.0,19.6,8.0,
10.0,Josh Downs*,North Carolina,ACC,13.0,101.0,1335.0,13.2,8.0,102.7,0.0,0.0,,0.0,0.0,101.0,1335.0,13.2,8.0,
11.0,Wan'Dale Robinson*,Kentucky,SEC,13.0,104.0,1334.0,12.8,7.0,102.6,7.0,111.0,15.9,0.0,8.5,111.0,1445.0,13.0,7.0,
12.0,Nathaniel Dell*,Houston,American,14.0,90.0,1329.0,14.8,12.0,94.9,1.0,5.0,5.0,0.0,0.4,91.0,1334.0,14.7,12.0,
13.0,A.T. Perry*,Wake Forest,ACC,14.0,71.0,1293.0,18.2,15.0,92.4,0.0,0.0,,0.0,0.0,71.0,1293.0,18.2,15.0,
14.0,Skyy Moore*,Western Michigan,MAC,12.0,95.0,1292.0,13.6,9.0,107.7,1.0,10.0,10.0,0.0,0.8,96.0,1302.0,13.6,9.0,
15.0,David Bell*,Purdue,Big Ten,11.0,93.0,1286.0,13.8,6.0,116.9,3.0,39.0,13.0,0.0,3.5,96.0,1325.0,13.8,6.0,AA
16.0,Dante Cephas*,Kent State,MAC,14.0,82.0,1240.0,15.1,9.0,88.6,0.0,0.0,,0.0,0.0,82.0,1240.0,15.1,9.0,
17.0,Dontayvion Wicks,Virginia,ACC,12.0,57.0,1203.0,21.1,9.0,100.3,0.0,0.0,,0.0,0.0,57.0,1203.0,21.1,9.0,
18.0,Jahan Dotson*,Penn State,Big Ten,12.0,91.0,1182.0,13.0,12.0,98.5,6.0,18.0,3.0,1.0,1.5,97.0,1200.0,12.4,13.0,
19.0,Charleston Rambo,Miami (FL),ACC,12.0,79.0,1172.0,14.8,7.0,97.7,0.0,0.0,,0.0,0.0,79.0,1172.0,14.8,7.0,
20.0,Calvin Austin III,Memphis,American,12.0,74.0,1149.0,15.5,8.0,95.8,1.0,69.0,69.0,1.0,5.8,75.0,1218.0,16.2,9.0,
21.0,John Metchie*,Alabama,SEC,13.0,96.0,1142.0,11.9,8.0,87.8,1.0,8.0,8.0,0.0,0.6,97.0,1150.0,11.9,8.0,
22.0,Jaivon Heiligh*,Coastal Carolina,Sun Belt,13.0,66.0,1128.0,17.1,7.0,86.8,0.0,0.0,,0.0,0.0,66.0,1128.0,17.1,7.0,
23.0,Trey McBride,Colorado State,MWC,12.0,90.0,1121.0,12.5,1.0,93.4,1.0,69.0,69.0,1.0,5.8,91.0,1190.0,13.1,2.0,AA
24.0,Khalil Shakir,Boise State,MWC,12.0,77.0,1117.0,14.5,7.0,93.1,21.0,130.0,6.2,0.0,10.8,98.0,1247.0,12.7,7.0,
25.0,Josh Johnson*,Tulsa,American,13.0,83.0,1114.0,13.4,6.0,85.7,3.0,-2.0,-0.7,0.0,-0.2,86.0,1112.0,12.9,6.0,
26.0,Romeo Doubs*,Nevada,MWC,11.0,80.0,1109.0,13.9,11.0,100.8,1.0,4.0,4.0,0.0,0.4,81.0,1113.0,13.7,11.0,
27.0,Treylon Burks*,Arkansas,SEC,12.0,66.0,1104.0,16.7,11.0,92.0,14.0,112.0,8.0,1.0,9.3,80.0,1216.0,15.2,12.0,
28.0,Drake London,USC,Pac-12,8.0,88.0,1084.0,12.3,7.0,135.5,1.0,2.0,2.0,0.0,0.3,89.0,1086.0,12.2,7.0,
29.0,Cedric Tillman*,Tennessee,SEC,13.0,64.0,1081.0,16.9,12.0,83.2,0.0,0.0,,0.0,0.0,64.0,1081.0,16.9,12.0,
30.0,Jaquarii Roberson*,Wake Forest,ACC,13.0,71.0,1078.0,15.2,8.0,82.9,2.0,8.0,4.0,0.0,0.6,73.0,1086.0,14.9,8.0,
31.0,Tyrese Chambers,Florida International,CUSA,12.0,45.0,1074.0,23.9,9.0,89.5,0.0,0.0,,0.0,0.0,45.0,1074.0,23.9,9.0,
32.0,Ali Jennings*,Old Dominion,CUSA,13.0,62.0,1066.0,17.2,5.0,82.0,0.0,3.0,,0.0,0.2,62.0,1069.0,17.2,5.0,
33.0,Garrett Wilson*,Ohio State,Big Ten,11.0,70.0,1058.0,15.1,12.0,96.2,4.0,76.0,19.0,1.0,6.9,74.0,1134.0,15.3,13.0,
34.0,Makai Polk*,Mississippi State,SEC,13.0,105.0,1046.0,10.0,9.0,80.5,0.0,0.0,,0.0,0.0,105.0,1046.0,10.0,9.0,
35.0,Tay Martin*,Oklahoma State,Big 12,13.0,80.0,1046.0,13.1,10.0,80.5,2.0,13.0,6.5,1.0,1.0,82.0,1059.0,12.9,11.0,
36.0,Dontario Drummond*,Ole Miss,SEC,12.0,76.0,1028.0,13.5,8.0,85.7,6.0,40.0,6.7,1.0,3.3,82.0,1068.0,13.0,9.0,
37.0,Zakhari Franklin*,UTSA,CUSA,13.0,81.0,1027.0,12.7,12.0,79.0,0.0,0.0,,0.0,0.0,81.0,1027.0,12.7,12.0,
38.0,Jayden Reed*,Michigan State,Big Ten,13.0,59.0,1026.0,17.4,10.0,78.9,7.0,34.0,4.9,1.0,2.6,66.0,1060.0,16.1,11.0,
39.0,Hassan Beydoun*,Eastern Michigan,MAC,13.0,97.0,1015.0,10.5,4.0,78.1,2.0,2.0,1.0,0.0,0.2,99.0,1017.0,10.3,4.0,
40.0,Keytaon Thompson,Virginia,ACC,12.0,78.0,990.0,12.7,1.0,82.5,39.0,247.0,6.3,4.0,20.6,117.0,1237.0,10.6,5.0,
41.0,Calvin Jackson Jr.*,Washington State,Pac-12,13.0,66.0,987.0,15.0,7.0,75.9,1.0,3.0,3.0,0.0,0.2,67.0,990.0,14.8,7.0,
42.0,Xavier Hutchinson*,Iowa State,Big 12,13.0,83.0,987.0,11.9,5.0,75.9,2.0,18.0,9.0,0.0,1.4,85.0,1005.0,11.8,5.0,
