name,position,team,player_id,value,overallRank,positionRank,trend30Day
Josh Allen,QB,BUF,6170,11047,1,1,980
Lamar Jackson,QB,BAL,3101,10227,2,2,457
Jayden Daniels,QB,WAS,11701,9359,3,3,-472
Ja'Marr Chase,WR,CIN,5856,9327,4,1,-407
Bijan Robinson,RB,ATL,9833,8506,5,1,485
Malik Nabers,WR,NYG,11737,7998,6,2,472
Justin Jefferson,WR,MIN,7569,7968,7,3,-392
CeeDee Lamb,WR,DAL,4835,7624,8,4,150
Jalen Hurts,QB,PHI,6407,7392,9,4,44
Jahmyr Gibbs,RB,DET,9821,7163,10,2,-532
Brock Bowers,TE,LV,11702,7041,11,1,-458
Puka Nacua,WR,LAR,9822,6995,12,5,1055
Amon-Ra St. Brown,WR,DET,1527,6838,13,6,393
Justin Herbert,QB,LAC,8448,6249,14,5,1438
Patrick Mahomes,QB,KC,880,6244,15,6,488
Joe Burrow,QB,CIN,1002,6036,16,7,-2071
Ashton Jeanty,RB,LV,12612,5930,17,3,-682
Saquon Barkley,RB,PHI,7257,5751,18,4,205
Brian Thomas,WR,JAX,11726,5591,19,7,-934
Jaxon Smith-Njigba,WR,SEA,9924,5561,20,8,1030
Trey McBride,TE,ARI,7325,5487,21,2,-53
Drake Maye,QB,NE,11696,5410,22,8,642
Drake London,WR,ATL,998,5249,23,9,-122
Nico Collins,WR,HOU,5030,4959,24,10,-261
Jordan Love,QB,GB,3651,4930,25,9,501
Bo Nix,QB,DEN,11728,4905,26,10,-497
Bucky Irving,RB,TB,11779,4884,27,5,380
Jonathan Taylor,RB,IND,3046,4819,28,6,765
De'Von Achane,RB,MIA,9969,4785,29,7,210
Tetairoa McMillan,WR,CAR,12635,4751,30,11,424
Caleb Williams,QB,CHI,11708,4719,31,11,-153
Baker Mayfield,QB,TB,2737,4560,32,12,464
Ladd McConkey,WR,LAC,11766,4552,33,12,-368
Tyler Warren,TE,IND,12592,4534,34,3,1134
James Cook,RB,BUF,182,4325,35,8,1038
Emeka Egbuka,WR,TB,12595,4281,36,13,600
C.J. Stroud,QB,HOU,9838,4166,37,13,-611
Rome Odunze,WR,CHI,11763,4110,38,14,939
Marvin Harrison Jr,WR,ARI,11734,4002,39,15,-822
Christian McCaffrey,RB,SF,5494,3988,40,9,124
Omarion Hampton,RB,LAC,12573,3906,41,10,-1017
Brock Purdy,QB,SF,5570,3863,42,14,78
Rashee Rice,WR,KC,9929,3820,43,16,357
2026 1st (Early),PICK,,15261,3798,44,1,294
Garrett Wilson,WR,NYJ,6813,3762,44,17,-219
Derrick Henry,RB,BAL,5421,3687,45,11,244
Cameron Ward,QB,TEN,12603,3682,46,15,-318
Josh Jacobs,RB,GB,1326,3675,47,12,172
Kyler Murray,QB,ARI,3544,3674,48,16,-153
Zay Flowers,WR,BAL,9930,3672,49,18,1090
Jared Goff,QB,DET,8587,3629,50,17,357
TreVeyon Henderson,RB,NE,12580,3606,51,13,-946
Chase Brown,RB,CIN,9967,3575,52,14,-135
A.J. Brown,WR,PHI,4118,3556,53,19,-699
J.J. McCarthy,QB,MIN,11740,3540,54,18,-351
Breece Hall,RB,NYJ,4576,3538,55,15,98
Michael Penix,QB,ATL,11739,3502,56,19,154
Sam LaPorta,TE,DET,9843,3384,57,4,-135
Dak Prescott,QB,DAL,6637,3375,58,20,128
Kyren Williams,RB,LAR,7315,3374,59,16,-317
Trevor Lawrence,QB,JAX,1086,3305,60,21,-367
Tucker Kraft,TE,GB,9824,3303,61,5,1295
Travis Hunter,WR,JAX,12617,3226,62,20,-736
Tee Higgins,WR,CIN,5531,3183,63,21,-275
Quinshon Judkins,RB,CLE,12632,3119,64,17,241
Jaxson Dart,QB,NYG,12609,3056,65,22,171
Chuba Hubbard,RB,CAR,183,2931,66,18,355
George Kittle,TE,SF,5709,2839,67,6,-420
DK Metcalf,WR,PIT,5240,2838,68,22,129
Kenneth Walker,RB,SEA,1749,2802,69,19,-76
Xavier Worthy,WR,KC,11736,2777,70,23,-86
Jameson Williams,WR,DET,1100,2667,71,24,-172
George Pickens,WR,DAL,1436,2643,72,25,46
Justin Fields,QB,NYJ,7191,2641,73,23,160
Travis Etienne,RB,JAX,3156,2614,74,20,791
Jordan Addison,WR,MIN,9847,2581,75,26,-85
Bryce Young,QB,CAR,9944,2578,76,24,-374
Colston Loveland,TE,CHI,12578,2564,77,7,-449
DeVonta Smith,WR,PHI,6635,2536,78,27,-337
Daniel Jones,QB,IND,5,2519,79,25,1087
2026 1st (Mid),PICK,,15262,2501,80,2,194
2026 1st,PICK,,9662,2501,80,3,194
2027 1st,PICK,,9692,2478,80,4,139
Alvin Kamara,RB,NO,4144,2453,80,21,82
