Overall RK,Class Rk,Year,Player Name,,QB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Archetype,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,Comp,YPC,ADJ%,BTT%,TWP%,DAA,YPA,MTF/A,YCO/A,BOUT,YPC+,ADJ%+,BTT%+,TWP%+,DAA+,RDOM++,YPA+,MTF/A+,YCO/A+,DC+,BAMA,Raw Passing,Pass Grade,Raw Run,Run Grade,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,
1,1,2024,Jayden Daniels,Cornerstone,15.28,99.50,2.92,LSU,1,12/18/00,24.79,RS SR,23.37,Dual Threat,76,210,4.4,1,90.97%,89.70%,93.84%,77.27%,86.50%,90.17%,90.17%,38.48%,44.88%,44.88%,44.88%,18.71,112.06,71.1%,16.15,79.6%,8.4%,0.6%,69%,10.42,0.39,4.71,9.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,13.8,13.8,1.5,1.5,2943,3235,17,2,339,205,72,4.2,2.4,43.5,515,1802,108,5,3,18,2.0,18,697,777,5,1,84,49,63,5.2,1.7,23.5,267,1103,27,10,4,5,4.22,9,2375,2531,10,10,303,197,76,2.60,2.30,49,844,2675,124,7,6,41,4.52,38,2913,3770,17,3,390,266,77,2.9,0.6,42.9,1079,2804,150,7,11,54,4.55,45,3811,4406,40,4,332,236,80,8.40,1.60,69.10,1250,2785,120,10.42,10,47,4.71,41,
2,1,2021,Trevor Lawrence,Cornerstone,13.05,99.00,2.27,Clemson,4,10/6/99,25.99,JR,21.57,Dual Threat,78,220,4.58,1,0.00%,0.00%,78.33%,84.72%,75.39%,80.06%,72.05%,18.05%,15.60%,16.82%,15.14%,18.92,100.00,67.9%,13.67,77.3%,7.1%,1.6%,51%,7.80,0.26,3.28,8.0,8.0,7.0,6.0,10.0,6.0,6.0,9.0,8.0,7.0,10.0,0.0,10.9,10.9,1.1,1.1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3274,4180,30,4,397,257,75,6.80,1.60,48,266,3867,36,6,1,5,2.66,11,3664,4325,36,8,410,268,74,6.9,3.1,46.6,682,3778,62,8,9,16,3.28,22,3153,4182,24,5,340,231,77,7.10,3.40,51.00,316,2026,44,5.90,8,7,2.65,13,
3,1,2020,Joe Burrow,Elite,12.99,98.50,2.26,LSU,1,12/10/96,28.82,RS SR,23.39,Mobile Passer,75,221,4.83,1,0.00%,8.13%,1.66%,97.31%,94.09%,95.70%,95.70%,23.33%,20.43%,21.88%,21.88%,21.74,81.21,76.3%,14.10,81.9%,7.5%,1.7%,60%,6.00,0.17,2.54,1.0,10.0,10.0,7.0,10.0,10.0,8.0,6.0,4.0,5.0,10.0,0.0,13.8,13.8,0.9,0.6,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,226,2781,2,0,28,22,82,3.6,6.7,100.0,64,3332,11,5,1,0,1.92,3,61,3679,0,0,11,7,70,0.00,16.70,0,3,3576,3,1,0,0,1.00,0,2890,2970,16,5,377,218,71,5.9,4.0,43.8,571,2447,75,6,7,13,2.54,21,5668,6024,60,6,527,402,82,7.50,1.70,60.20,555,2717,45,6.00,5,3,2.32,28,
4,1,2018,Baker Mayfield,Elite,12.99,98.00,2.25,Oklahoma,3,4/14/95,30.48,RS SR,23.05,Mobile Passer,72,216,4.84,1,45.33%,0.00%,92.34%,95.77%,91.49%,93.63%,84.27%,8.68%,14.46%,14.46%,13.01%,20.39,78.72,70.6%,16.20,80.6%,7.3%,2.2%,60%,5.70,0.20,2.67,4.0,10.0,10.0,6.0,9.0,10.0,5.0,5.0,5.0,5.0,10.0,0.0,13.3,13.3,0.8,0.6,2315,5107,0,0,0,0,0,0.0,0.0,0.0,190,1536,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3699,4006,36,7,396,268,77,6.00,2.20,52,598,3124,59,6,7,7,2.63,16,3959,4134,40,8,360,254,80,5.3,2.3,60.3,281,3236,45,4,6,9,1.96,11,4634,5065,43,6,406,286,81,7.30,3.10,60.30,470,3251,58,5.70,5,6,2.67,18,
5,1,2019,Kyler Murray,Elite,12.81,97.50,2.20,Oklahoma,3,8/7/97,28.16,RS JR,21.73,Dual Threat,70,207,4.65,1,0.00%,20.65%,0.00%,7.09%,96.55%,96.55%,86.89%,4.15%,30.09%,30.09%,27.08%,21.08,88.55,69.0%,16.78,78.9%,7.3%,2.2%,52%,7.90,0.16,3.18,2.0,10.0,8.0,6.0,9.0,6.0,9.0,9.0,3.0,7.0,10.0,0.0,11.7,11.7,1.1,1.1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,694,3360,5,7,122,72,65,2.4,5.4,17.4,388,2460,34,8,1,4,0.74,16,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,359,5065,3,0,21,18,90,8.7,0.0,100.0,135,3251,15,8,0,0,0.72,4,4364,4520,42,7,377,260,79,7.30,2.20,51.90,1071,3559,95,7.90,12,15,3.18,41,
6,1,2025,Jaxson Dart,Elite,12.57,97.10,2.13,Ole Miss,1,5/13/03,22.39,SR,21.97,Mobile Passer,74,225,4.6,1,0.00%,37.74%,95.41%,90.57%,93.75%,94.58%,94.58%,23.01%,26.45%,26.45%,26.45%,19.33,100.50,69.2%,15.49,77.7%,7.1%,1.8%,48%,6.50,0.22,3.25,7.0,10.0,7.0,6.0,10.0,4.0,9.0,7.0,6.0,7.0,10.0,0.0,11.1,11.1,1.1,0.8,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1351,3580,9,5,191,117,73,4.3,4.1,39.3,66,1900,18,4,2,5,3.94,3,2974,3117,20,11,362,226,71,6.40,3.30,38,699,3429,121,6,1,24,2.85,28,3363,3713,23,5,361,233,75,5.2,1.8,44.8,568,2469,97,6,8,11,3.25,19,4276,4561,29,6,399,276,78,7.10,2.20,47.70,648,2450,100,6.50,3,22,3.12,28,
7,2,2021,Justin Fields,Elite,12.49,96.60,2.11,Ohio State,2,3/5/99,26.58,JR,22.16,Dual Threat,75,223,4.49,1,0.00%,0.00%,10.74%,88.84%,99.90%,99.90%,99.90%,17.29%,23.27%,23.27%,23.27%,20.50,109.74,66.9%,13.75,75.9%,8.7%,2.3%,50%,8.20,0.13,4.30,4.0,8.0,5.0,9.0,9.0,5.0,8.0,10.0,1.0,10.0,10.0,0.0,10.6,10.6,1.1,1.1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,340,3165,4,0,40,28,80,9.50,0.00,43,289,3433,27,7,4,4,3.98,10,3273,3684,41,3,356,238,76,8.7,2.4,50.0,688,3980,72,6,10,8,3.27,22,2098,2100,22,6,226,158,81,7.80,2.30,59.40,517,2222,63,8.20,5,8,4.30,17,
8,2,2024,Caleb Williams,Elite,12.48,96.10,2.11,USC,5,11/18/01,23.87,JR,22.45,Mobile Passer,73,215,4.57,1,0.00%,0.00%,65.97%,96.66%,91.27%,93.96%,79.87%,23.48%,17.93%,20.71%,17.60%,19.80,98.58,68.0%,13.61,77.5%,6.6%,1.8%,53%,6.64,0.38,3.82,6.0,8.0,7.0,5.0,10.0,6.0,7.0,7.0,10.0,9.0,10.0,0.0,10.6,10.6,1.2,0.9,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,1912,2899,21,4,212,136,73,6.60,2.60,42,559,2631,64,9,6,22,4.95,13,4539,4696,42,5,502,334,76,6.0,1.8,47.7,624,2658,94,7,10,36,3.82,27,3647,3996,30,5,394,268,78,6.20,3.60,53.00,356,1985,94,3.79,11,16,1.97,17,
9,1,2015,Marcus Mariota,Elite,12.39,95.60,2.08,Oregon,5,10/30/93,31.93,JR,21.50,Dual Threat,76,222,4.52,1,0.00%,0.00%,92.69%,96.73%,94.92%,95.82%,81.45%,23.25%,25.47%,25.47%,21.65%,18.85,106.37,68.2%,14.68,76.7%,5.5%,2.8%,51%,11.10,0.17,3.62,9.0,10.0,6.0,3.0,7.0,5.0,8.0,10.0,4.0,8.0,10.0,0.0,9.4,9.4,1.1,1.1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,2677,2888,32,6,336,230,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,3665,3789,31,4,386,245,0,0.0,0.0,0.0,851,3660,77,11,9,17,3.62,33,4449,4687,42,4,444,303,77,5.50,2.80,50.80,942,3698,70,8.80,15,12,3.17,33,
10,3,2024,Drake Maye,Elite,12.39,95.10,2.08,North Carolina,4,8/30/02,23.09,JR,21.67,Mobile Passer,76,230,4.6,1,0.00%,0.00%,8.70%,99.15%,92.77%,95.96%,86.36%,37.58%,21.68%,29.63%,26.67%,20.03,102.74,65.7%,13.41,75.4%,8.4%,1.7%,56%,6.33,0.23,3.50,4.0,7.0,5.0,8.0,10.0,8.0,9.0,6.0,6.0,8.0,10.0,0.0,10.9,10.9,1.1,0.8,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.00,0,89,1023,1,0,10,7,80,9.10,0.00,100,66,3037,5,13,0,2,6.80,3,4293,4330,37,7,516,339,75,8.4,2.3,52.9,899,2392,153,6,7,26,3.50,32,3608,3889,24,9,425,269,75,7.70,1.70,56.00,582,2684,92,6.33,9,21,3.40,24,
11,2,2020,Tua Tagovailoa,Elite,11.83,94.60,1.92,Alabama,1,3/2/98,27.59,JR,22.17,Pocket Passer,72,217,4.7,1,0.00%,0.00%,23.49%,81.29%,63.79%,72.54%,72.54%,9.49%,3.32%,6.40%,6.40%,20.51,88.94,71.4%,15.77,79.0%,8.7%,2.1%,60%,6.30,0.13,3.40,4.0,10.0,9.0,9.0,9.0,10.0,2.0,6.0,2.0,7.0,10.0,0.0,13.8,10.4,0.6,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,636,2708,11,2,77,49,76,5.10,4.50,58,142,3653,26,4,2,3,2.61,5,3946,4854,42,6,357,245,77,8.7,3.5,60.3,294,3099,23,6,5,3,3.23,12,2838,4449,33,3,252,180,79,5.60,2.10,53.80,76,2289,4,5.10,2,0,3.40,2,
12,2,2018,Lamar Jackson,Elite,11.82,94.20,1.91,Louisville,4,1/7/97,28.74,JR,21.32,Dual Threat,74,216,4.53,1,0.00%,0.00%,57.72%,93.51%,93.56%,93.56%,84.20%,54.21%,52.12%,53.16%,47.85%,18.66,102.59,59.1%,14.36,71.7%,4.7%,3.4%,45%,8.80,0.33,4.48,9.0,10.0,1.0,1.0,5.0,2.0,10.0,10.0,10.0,10.0,10.0,0.0,5.8,5.8,1.5,1.5,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,1839,3186,12,8,249,135,64,3.10,5.30,36,1144,2505,101,8,11,37,3.01,45,3532,3777,30,9,410,229,70,4.7,3.4,45.1,1888,3483,165,9,21,51,3.94,64,3647,3898,27,10,430,254,72,4.00,3.70,36.80,1758,3373,151,8.70,18,50,4.48,61,
13,2,2015,Jameis Winston,Elite,11.69,93.70,1.88,Florida State,4,1/6/94,31.75,JR,21.32,Mobile Passer,76,231,4.97,1,0.00%,0.00%,0.00%,91.73%,91.80%,91.80%,82.62%,13.02%,9.38%,11.20%,10.08%,19.66,75.72,66.9%,12.78,73.7%,11.2%,3.4%,57%,6.48,0.21,4.18,6.0,6.0,3.0,10.0,5.0,8.0,4.0,6.0,5.0,10.0,10.0,0.0,9.2,9.2,0.9,0.7,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,4057,4423,40,10,384,257,74,11.2,3.8,57.1,402,3087,62,6,4,13,4.18,13,3898,4246,25,18,467,305,73,4.20,3.40,39.30,204,2175,24,4.30,3,5,3.23,7,
