RK,Class Rk,Year,Player Name,,QB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Archetype,Height,Weight,BMI,40 Time,Draft Cap,PDOM1,PDOM2,PDOM3,PDOM4,PDOM5,TDOM,PDOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,Comp,YPC,ADJ%,BTT%,TWP%,DAA,YPA,MTF/A,YCO/A
1,1,2024,Jayden Daniels,Cornerstone,15.28,99.50,2.92,LSU,1,12/18/00,24.79,RS SR,23.37,Dual Threat,76,210,25.56,4.4,1,90.97%,89.70%,93.84%,77.27%,86.50%,90.17%,90.17%,38.48%,44.88%,44.88%,44.88%,18.71,112.06,71.1%,16.15,79.6%,8.4%,0.6%,69%,10.42,0.39,4.71
2,1,2021,Trevor Lawrence,Cornerstone,13.05,99.00,2.27,Clemson,4,10/6/99,25.99,JR,21.57,Dual Threat,78,220,25.42,4.58,1,0.00%,0.00%,78.33%,84.72%,75.39%,80.06%,72.05%,18.05%,15.60%,16.82%,15.14%,18.92,100.00,67.9%,13.67,77.3%,7.1%,1.6%,51%,7.80,0.26,3.28
3,1,2020,Joe Burrow,Elite,12.99,98.50,2.26,LSU,1,12/10/96,28.82,RS SR,23.39,Mobile Passer,75,221,27.62,4.83,1,0.00%,8.13%,1.66%,97.31%,94.09%,95.70%,95.70%,23.33%,20.43%,21.88%,21.88%,21.74,81.21,76.3%,14.10,81.9%,7.5%,1.7%,60%,6.00,0.17,2.54
4,1,2018,Baker Mayfield,Elite,12.99,98.00,2.25,Oklahoma,3,4/14/95,30.48,RS SR,23.05,Mobile Passer,72,216,29.29,4.84,1,45.33%,0.00%,92.34%,95.77%,91.49%,93.63%,84.27%,8.68%,14.46%,14.46%,13.01%,20.39,78.72,70.6%,16.20,80.6%,7.3%,2.2%,60%,5.70,0.20,2.67
5,1,2019,Kyler Murray,Elite,12.81,97.50,2.20,Oklahoma,3,8/7/97,28.16,RS JR,21.73,Dual Threat,70,207,29.70,4.65,1,0.00%,20.65%,0.00%,7.09%,96.55%,96.55%,86.89%,4.15%,30.09%,30.09%,27.08%,21.08,88.55,69.0%,16.78,78.9%,7.3%,2.2%,52%,7.90,0.16,3.18
6,1,2025,Jaxson Dart,Elite,12.57,97.10,2.13,Ole Miss,1,5/13/03,22.39,SR,21.97,Mobile Passer,74,225,28.89,4.6,1,0.00%,37.74%,95.41%,90.57%,93.75%,94.58%,94.58%,23.01%,26.45%,26.45%,26.45%,19.33,100.50,69.2%,15.49,77.7%,7.1%,1.8%,48%,6.50,0.22,3.25
7,2,2021,Justin Fields,Elite,12.49,96.60,2.11,Ohio State,2,3/5/99,26.58,JR,22.16,Dual Threat,75,223,27.87,4.49,1,0.00%,0.00%,10.74%,88.84%,99.90%,99.90%,99.90%,17.29%,23.27%,23.27%,23.27%,20.50,109.74,66.9%,13.75,75.9%,8.7%,2.3%,50%,8.20,0.13,4.30
8,2,2024,Caleb Williams,Elite,12.48,96.10,2.11,USC,5,11/18/01,23.87,JR,22.45,Mobile Passer,73,215,28.37,4.57,1,0.00%,0.00%,65.97%,96.66%,91.27%,93.96%,79.87%,23.48%,17.93%,20.71%,17.60%,19.80,98.58,68.0%,13.61,77.5%,6.6%,1.8%,53%,6.64,0.38,3.82
9,1,2015,Marcus Mariota,Elite,12.39,95.60,2.08,Oregon,5,10/30/93,31.93,JR,21.50,Dual Threat,76,222,27.02,4.52,1,0.00%,0.00%,92.69%,96.73%,94.92%,95.82%,81.45%,23.25%,25.47%,25.47%,21.65%,18.85,106.37,68.2%,14.68,76.7%,5.5%,2.8%,51%,11.10,0.17,3.62
10,3,2024,Drake Maye,Elite,12.39,95.10,2.08,North Carolina,4,8/30/02,23.09,JR,21.67,Mobile Passer,76,230,28.00,4.6,1,0.00%,0.00%,8.70%,99.15%,92.77%,95.96%,86.36%,37.58%,21.68%,29.63%,26.67%,20.03,102.74,65.7%,13.41,75.4%,8.4%,1.7%,56%,6.33,0.23,3.50
11,2,2020,Tua Tagovailoa,Elite,11.83,94.60,1.92,Alabama,1,3/2/98,27.59,JR,22.17,Pocket Passer,72,217,29.43,4.7,1,0.00%,0.00%,23.49%,81.29%,63.79%,72.54%,72.54%,9.49%,3.32%,6.40%,6.40%,20.51,88.94,71.4%,15.77,79.0%,8.7%,2.1%,60%,6.30,0.13,3.40
12,2,2018,Lamar Jackson,Elite,11.82,94.20,1.91,Louisville,4,1/7/97,28.74,JR,21.32,Dual Threat,74,216,27.73,4.53,1,0.00%,0.00%,57.72%,93.51%,93.56%,93.56%,84.20%,54.21%,52.12%,53.16%,47.85%,18.66,102.59,59.1%,14.36,71.7%,4.7%,3.4%,45%,8.80,0.33,4.48
13,2,2015,Jameis Winston,Elite,11.69,93.70,1.88,Florida State,4,1/6/94,31.75,JR,21.32,Mobile Passer,76,231,28.12,4.97,1,0.00%,0.00%,0.00%,91.73%,91.80%,91.80%,82.62%,13.02%,9.38%,11.20%,10.08%,19.66,75.72,66.9%,12.78,73.7%,11.2%,3.4%,57%,6.48,0.21,4.18
14,1,2023,CJ Stroud,Elite Upside,11.42,93.20,1.80,Ohio State,2,10/3/01,24.00,JR,21.58,Pocket Passer,75,214,26.75,4.65,1,0.00%,0.00%,0.00%,89.34%,95.00%,95.00%,95.00%,2.90%,7.21%,7.21%,7.21%,19.92,91.54,71.6%,14.33,79.0%,7.0%,2.5%,57%,4.50,0.10,1.40
15,3,2020,Justin Herbert,Elite Upside,11.29,92.70,1.76,Oregon,5,3/10/98,27.57,SR,22.15,Distributor,78,236,27.27,4.69,1,0.00%,60.82%,80.32%,97.67%,95.99%,96.83%,82.31%,11.53%,6.32%,8.93%,7.59%,18.49,97.56,66.1%,12.13,77.5%,9.2%,2.0%,55%,4.80,0.15,2.85
16,1,2017,Deshaun Watson,Elite Upside,11.28,92.20,1.76,Clemson,4,9/14/95,30.06,JR,21.63,Dual Threat,74,221,28.37,4.66,1,0.00%,0.00%,43.07%,93.33%,91.54%,92.43%,83.19%,33.39%,26.67%,30.03%,27.03%,19.98,93.73,67.6%,11.82,77.3%,6.7%,2.7%,48%,5.70,0.17,2.74
17,3,2021,Mac Jones,Elite Upside,11.22,91.70,1.74,Alabama,1,9/5/98,27.08,RS JR,22.66,Pocket Passer,74,205,26.32,4.88,1,0.00%,0.00%,2.53%,33.78%,96.52%,96.52%,96.52%,2.23%,3.16%,3.16%,3.16%,22.01,72.29,76.6%,15.49,84.2%,7.4%,2.4%,66%,3.40,0.00,1.20
18,1,2026,Fernando Mendoza,Elite Upside,11.02,91.30,1.68,Indiana,2,10/1/03,22.01,JR,22.59,Distributor,77,225,26.68,4.7,1,0.00%,0.00%,60.23%,89.35%,87.13%,89.35%,89.35%,17.79%,7.75%,12.77%,12.77%,19.93,92.22,75.2%,12.83,83.2%,5.7%,0.8%,54%,6.40,0.21,3.00
19,4,2020,Jalen Hurts,Elite Upside,11.00,90.80,1.67,Oklahoma,3,8/7/98,27.16,SR,21.74,Dual Threat,73,222,29.29,4.59,2,0.00%,87.79%,76.81%,15.76%,92.44%,92.44%,83.19%,26.25%,40.20%,40.20%,36.18%,18.08,100.03,69.5%,16.24,76.9%,5.1%,1.1%,50%,7.40,0.20,3.75
20,2,2023,Bryce Young,Elite Upside,10.88,90.30,1.64,Alabama,1,7/25/01,24.19,JR,21.77,Distributor,70,204,29.27,4.75,1,0.00%,0.00%,3.35%,95.80%,90.85%,93.32%,93.32%,10.73%,11.35%,11.35%,11.35%,20.12,80.15,66.4%,13.57,78.1%,6.3%,2.0%,50%,9.10,0.24,3.53
21,2,2025,Cam Ward,Elite Upside,10.77,89.80,1.61,Miami,4,5/25/02,23.36,RS SR,22.94,Distributor,74,223,28.63,4.87,1,99.33%,99.32%,97.94%,92.41%,95.27%,97.30%,87.57%,30.14%,12.82%,21.48%,19.33%,18.28,79.29,67.2%,14.14,78.6%,6.3%,3.3%,51%,7.60,0.25,3.95
22,4,2024,JJ McCarthy,Elite Upside,10.73,89.30,1.60,Michigan,2,1/20/03,22.70,JR,21.28,Distributor,75,202,25.25,4.48,1,0.00%,0.00%,16.11%,88.50%,93.32%,93.32%,93.32%,11.52%,12.58%,12.58%,12.58%,19.64,100.29,72.1%,12.46,80.0%,5.9%,2.9%,59%,6.00,0.32,3.30
23,2,2026,LaNorris Sellers,Elite Upside,10.65,88.80,1.57,South Carolina,1,6/23/05,20.28,RS SO,20.86,Game Manager,75,240,30.00,4.7,1,0.00%,0.00%,2.58%,86.78%,83.20%,86.78%,86.78%,32.09%,21.89%,26.99%,26.99%,19.21,98.37,64.8%,15.60,75.8%,7.6%,4.0%,57%,6.00,0.33,4.12
24,3,2026,Dante Moore,Elite Upside,10.58,88.40,1.55,Oregon,2,5/24/05,20.36,JR,20.94,Mobile Passer,75,206,25.75,4.7,2,0.00%,0.00%,54.01%,1.25%,89.57%,89.57%,89.57%,-0.17%,9.32%,9.32%,9.32%,20.29,84.43,87.5%,13.55,80.2%,6.9%,0.9%,63%,7.38,0.08,2.54
25,3,2018,Sam Darnold,Elite Upside,10.56,87.90,1.55,USC,5,6/5/97,28.33,RS SO,20.91,Distributor,75,221,27.62,4.85,1,0.00%,0.00%,0.00%,85.89%,98.78%,98.78%,83.96%,11.09%,8.89%,9.99%,8.49%,19.25,79.88,66.5%,13.65,75.8%,7.0%,3.2%,50%,4.90,0.13,2.44
26,4,2021,Zach Wilson,Elite Upside,10.53,87.40,1.54,BYU,7,8/3/99,26.17,JR,21.75,Game Manager,75,203,25.37,4.79,1,0.00%,0.00%,57.32%,64.09%,92.70%,92.70%,69.52%,13.16%,14.57%,14.57%,10.93%,19.09,77.12,61.6%,15.08,74.9%,6.7%,1.0%,60%,6.20,0.26,3.06
27,1,2016,Jared Goff,Elite Upside,10.46,86.90,1.52,California,5,10/14/94,30.98,JR,21.55,Pocket Passer,76,217,26.41,4.82,1,0.00%,0.00%,88.21%,95.44%,96.71%,96.71%,82.20%,6.87%,8.22%,8.22%,6.99%,18.89,80.41,63.8%,13.94,74.0%,6.4%,2.5%,50%,5.50,0.08,1.88
28,2,2017,Patrick Mahomes,Elite Upside,10.32,86.40,1.48,Texas Tech,3,9/17/95,30.05,JR,21.62,Mobile Passer,74,225,28.89,4.8,1,0.00%,0.00%,36.67%,91.82%,91.00%,91.41%,82.27%,21.78%,33.92%,33.92%,30.53%,19.97,84.77,65.4%,13.00,75.5%,6.6%,3.7%,44%,5.10,0.10,1.83
29,5,2024,Bo Nix,Elite Upside,10.28,85.90,1.46,Oregon,5,2/25/00,25.61,RS SR,24.19,Distributor,74,217,27.86,4.62,1,94.10%,99.55%,73.47%,96.95%,91.70%,95.62%,81.28%,18.17%,9.58%,13.87%,11.79%,19.53,95.26,77.3%,12.34,85.5%,5.0%,1.0%,57%,5.70,0.09,1.67
30,4,2018,Josh Allen,Elite Upside,10.07,85.50,1.40,Wyoming,7,5/21/96,29.37,RS JR,21.95,Dual Threat,76,237,28.85,4.75,1,0.00%,72.03%,1.92%,99.84%,78.65%,89.24%,66.93%,23.01%,33.64%,33.64%,25.23%,18.29,93.11,56.1%,11.92,67.0%,10.6%,4.1%,47%,5.70,0.25,3.72
31,2,2016,Paxton Lynch,Upside,10.00,85.00,1.38,Memphis,6,2/12/94,31.64,JR,22.22,Distributor,79,245,27.60,4.86,1,0.00%,0.00%,98.94%,98.54%,94.87%,96.91%,72.68%,16.56%,13.76%,15.16%,11.37%,19.56,87.83,67.0%,12.77,77.1%,6.0%,2.7%,52%,4.10,0.11,1.90
32,3,2017,Mitchell Trubisky,Upside,9.97,84.50,1.37,North Carolina,4,8/20/94,31.13,RS JR,22.70,Mobile Passer,74,222,28.50,4.67,1,0.00%,0.00%,12.70%,15.12%,98.85%,98.85%,88.96%,3.20%,21.58%,21.58%,19.42%,22.05,93.35,85.1%,12.31,85.1%,5.5%,3.7%,41%,6.50,0.21,3.99
33,4,2026,Arch Manning,Upside,9.87,84.00,1.35,Texas,1,4/26/05,20.44,RS SO,21.02,Mobile Passer,76,222,27.02,4.7,1,0.00%,0.00%,0.74%,21.05%,94.07%,94.07%,94.07%,5.28%,15.49%,15.49%,15.49%,20.36,90.99,61.3%,13.66,69.3%,7.2%,4.9%,53%,4.88,0.35,2.77
34,1,2022,Kenny Pickett,Upside,9.80,83.50,1.32,Pittsburgh,3,6/6/98,27.33,RS SR,23.91,Distributor,75,217,27.12,4.73,1,19.18%,99.40%,90.98%,84.25%,91.21%,95.30%,85.77%,16.97%,18.26%,18.26%,16.43%,20.25,86.71,66.9%,12.90,78.8%,5.2%,2.8%,57%,5.60,0.10,3.00
35,5,2026,John Mateer,Upside,9.68,83.00,1.29,Oklahoma,1,4/28/04,21.43,RS JR,22.01,Dual Threat,73,224,29.55,4.7,2,0.00%,0.97%,5.57%,87.38%,99.10%,93.24%,93.24%,42.57%,38.91%,40.74%,40.74%,20.36,91.81,67.6%,12.59,75.8%,5.4%,2.5%,53%,6.80,0.36,4.71
36,6,2024,Michael Penix,Upside,9.54,82.60,1.25,Washington,5,5/8/00,25.41,RS SR,23.99,Pocket Passer,75,213,26.62,4.46,1,35.03%,81.96%,44.59%,96.55%,95.17%,95.86%,81.48%,5.67%,4.29%,4.98%,4.23%,20.33,107.66,65.5%,13.48,74.5%,7.3%,1.3%,47%,2.90,0.07,1.29
37,2,2019,Dwayne Haskins,Upside,9.26,82.10,1.17,Ohio State,2,5/3/97,28.42,JR,22.00,Pocket Passer,75,231,28.87,5.04,1,0.00%,0.00%,0.00%,15.36%,96.32%,96.32%,96.32%,2.88%,5.76%,5.76%,5.76%,21.34,71.60,70.2%,12.93,77.1%,4.8%,2.9%,49%,4.10,0.05,1.87
38,5,2018,Josh Rosen,Upside,9.11,81.60,1.12,UCLA,5,2/10/97,28.65,JR,21.22,Pocket Passer,76,210,25.56,4.85,1,0.00%,0.00%,97.74%,54.02%,83.85%,90.80%,77.18%,2.63%,4.90%,4.90%,4.16%,18.56,75.91,62.5%,13.27,74.8%,5.8%,4.3%,43%,2.90,0.00,0.75
39,3,2016,Carson Wentz,Upside,8.99,81.10,1.09,North Dakota State,11,12/30/92,32.76,JR,23.34,Dual Threat,77,237,28.10,4.77,1,0.00%,0.00%,0.00%,98.70%,59.07%,78.88%,43.39%,20.19%,18.11%,19.15%,10.53%,21.68,91.56,64.3%,12.70,74.1%,6.5%,3.8%,50%,6.02,0.18,3.16
40,6,2026,Drew Allar,Upside,8.91,80.60,1.07,Penn State,2,3/8/04,21.57,SR,22.15,Game Manager,77,236,27.99,4.7,1,0.00%,10.48%,93.99%,91.25%,85.64%,92.62%,92.62%,12.37%,8.13%,10.25%,10.25%,19.50,96.73,66.5%,10.98,73.7%,5.1%,1.1%,51%,7.00,0.26,4.00
41,5,2021,Trey Lance,Upside,8.88,80.10,1.05,North Dakota State,11,5/9/00,25.40,JR,20.98,Run First,75,221,27.62,4.65,1,0.00%,0.00%,0.43%,95.71%,12.16%,53.94%,29.66%,24.77%,7.22%,16.00%,8.80%,19.32,94.54,66.7%,14.52,72.0%,5.6%,1.4%,40%,6.89,0.23,4.67
42,3,2023,Anthony Richardson,Upside,8.81,79.70,1.03,Florida,1,5/22/02,23.37,JR,20.95,Run First,76,244,29.70,4.3,1,0.00%,0.00%,0.59%,15.95%,87.73%,87.73%,87.73%,14.84%,26.25%,26.25%,26.25%,20.30,142.74,58.7%,14.59,66.7%,6.2%,3.3%,42%,8.30,0.40,4.58
43,7,2026,Garrett Nussmeier,Upside,8.75,79.20,1.02,LSU,1,2/7/02,23.65,RS SR,24.23,Pocket Passer,74,200,25.68,4.7,1,9.95%,21.22%,13.39%,98.68%,87.27%,98.68%,98.68%,5.65%,7.33%,7.33%,7.33%,22.58,81.97,68.6%,10.21,78.6%,7.5%,2.6%,50%,3.70,0.04,1.16
44,3,2019,Daniel Jones,Upside,8.71,78.70,1.01,Duke,4,5/27/97,28.36,JR,21.93,Game Manager,77,221,26.21,4.81,1,0.00%,0.00%,98.68%,97.01%,83.46%,91.07%,81.96%,28.74%,21.54%,25.14%,22.62%,19.28,82.57,60.1%,11.31,74.0%,4.7%,3.1%,44%,6.20,0.06,2.56
45,5,2020,Jordan Love,Upside,8.69,78.20,1.00,Nevada,7,11/2/98,26.92,JR,21.50,Distributor,76,224,27.27,4.65,1,0.00%,0.00%,55.51%,92.81%,93.85%,93.85%,70.39%,4.05%,12.52%,12.52%,9.39%,18.84,95.82,64.0%,11.58,72.7%,6.4%,3.0%,41%,3.90,0.14,1.64
46,2,2022,Matt Corral,Upside Lite,8.44,77.70,0.93,Ole Miss,1,1/31/99,26.67,RS JR,23.25,Dual Threat,74,212,27.22,4.75,3,0.00%,5.75%,58.51%,96.84%,93.79%,95.31%,95.31%,26.35%,24.57%,25.46%,25.46%,20.59,83.29,71.0%,12.84,78.9%,7.0%,1.8%,60%,6.30,0.26,3.43
47,8,2026,Sam Leavitt,Upside Lite,8.40,77.20,0.92,Arizona State,3,12/20/04,20.78,JR,21.36,Run First,74,210,26.96,4.7,1,0.00%,0.00%,5.80%,87.77%,100.00%,93.88%,84.50%,17.05%,29.78%,29.78%,26.80%,19.71,86.07,61.4%,10.54,72.3%,6.2%,1.1%,38%,7.97,0.34,6.20
48,3,2022,Sam Howell,Upside Lite,8.29,76.80,0.88,North Carolina,4,9/16/00,25.05,JR,21.62,Dual Threat,73,218,28.76,4.9,5,0.00%,0.00%,97.90%,98.29%,91.79%,95.04%,85.53%,11.09%,36.42%,36.42%,32.78%,18.97,75.63,68.0%,14.13,77.2%,8.8%,2.2%,53%,8.10,0.46,4.76
49,6,2021,Kyle Trask,Upside Lite,7.96,76.30,0.79,Florida,1,3/6/98,27.58,RS SR,23.16,Pocket Passer,77,239,28.34,4.8,2,0.00%,0.00%,5.84%,75.22%,94.17%,94.17%,94.17%,9.07%,10.06%,10.06%,10.06%,21.50,90.05,68.7%,14.21,76.6%,8.9%,2.6%,59%,3.90,0.11,1.96
50,4,2019,Drew Lock,Upside Lite,7.89,75.80,0.77,Missouri,1,11/10/96,28.90,SR,22.47,Distributor,75,228,28.50,4.69,2,0.00%,67.02%,95.18%,98.65%,96.20%,97.43%,97.43%,6.54%,9.49%,9.49%,9.49%,18.82,94.25,62.8%,12.71,73.5%,7.0%,2.0%,55%,5.50,0.12,2.45
51,3,2025,Jalen Milroe,Upside Lite,7.72,75.30,0.72,Alabama,1,12/13/02,22.81,RS JR,22.39,Run First,74,225,28.89,4.4,3,0.00%,0.81%,8.11%,92.00%,92.22%,92.22%,92.22%,28.87%,35.91%,35.91%,35.91%,20.74,120.06,65.6%,13.82,73.0%,9.1%,2.5%,52%,6.20,0.27,3.87
52,4,2023,Will Levis,Upside Lite,7.50,74.80,0.65,Kentucky,1,6/27/99,26.27,RS JR,23.85,Mobile Passer,76,229,27.87,4.75,2,0.00%,7.75%,17.97%,96.39%,89.30%,92.84%,92.84%,18.66%,6.48%,12.57%,12.57%,22.19,89.97,65.9%,13.01,75.6%,4.1%,2.6%,49%,5.30,0.18,3.20
53,4,2016,Dak Prescott,Upside Lite,7.41,74.30,0.63,Mississippi State,1,7/29/93,32.19,SR,22.76,Dual Threat,74,238,30.56,4.79,4,0.00%,6.28%,61.04%,94.52%,92.37%,93.44%,93.44%,33.90%,36.81%,36.81%,36.81%,20.10,90.42,65.8%,14.14,75.3%,5.1%,3.7%,50%,5.50,0.13,2.53
54,4,2017,DeShone Kizer,Upside Lite,7.29,73.90,0.59,Notre Dame,2,1/9/96,29.74,JR,21.31,Mobile Passer,76,233,28.36,4.83,2,0.00%,0.00%,0.00%,85.06%,96.17%,96.17%,96.17%,22.47%,27.92%,27.92%,27.92%,19.65,85.62,62.1%,13.77,71.0%,5.0%,4.4%,51%,5.50,0.12,2.63
55,9,2026,Cade Klubnik,Upside Lite,6.80,73.40,0.45,Clemson,4,10/10/03,21.98,SR,22.56,Distributor,74,210,26.96,4.7,2,0.00%,21.27%,95.49%,93.41%,100.00%,96.70%,87.03%,22.75%,18.00%,20.37%,18.33%,19.91,86.07,62.6%,11.19,74.8%,5.4%,1.8%,51%,5.90,0.16,2.93
56,10,2026,Carson Beck,Upside Lite,6.77,72.90,0.44,Miami,4,11/19/02,22.87,RS SR,23.45,Pocket Passer,76,210,25.56,4.7,2,4.66%,6.58%,92.40%,88.10%,90.00%,90.25%,81.22%,10.16%,4.52%,7.34%,6.61%,20.80,86.07,73.2%,11.85,80.6%,4.8%,1.6%,48%,4.00,0.11,2.00
57,4,2022,Brock Purdy,Upside Lite,6.63,72.40,0.40,Iowa State,3,12/27/99,25.77,SR,22.35,Distributor,73,212,27.97,4.84,7,0.00%,71.68%,98.22%,94.99%,93.29%,95.76%,86.18%,19.06%,16.09%,17.58%,15.82%,18.69,77.27,71.4%,15.48,79.0%,8.3%,2.7%,62%,5.90,0.19,2.59
58,5,2022,Desmond Ridder,Upside Lite,6.62,71.90,0.40,Cincinnati,6,8/31/99,26.09,SR,22.67,Mobile Passer,75,211,26.37,4.52,3,0.00%,85.70%,84.99%,95.98%,98.43%,98.43%,73.82%,31.31%,20.67%,25.99%,19.49%,19.01,101.10,66.4%,13.30,73.9%,6.5%,2.0%,52%,8.20,0.16,2.97
59,5,2016,Christian Hackenberg,Upside Lite,6.43,71.40,0.34,Penn State,2,2/14/95,30.64,JR,21.21,Pocket Passer,76,228,27.75,4.78,2,0.00%,0.00%,95.02%,97.76%,90.49%,94.13%,94.13%,11.86%,6.26%,9.06%,9.06%,18.56,87.35,55.6%,13.14,65.7%,4.7%,2.7%,40%,3.70,0.00,2.56
60,4,2025,Dillon Gabriel,Upside Lite,6.35,71.00,0.32,Oregon,2,12/28/00,24.76,RS SR,24.35,Distributor,72,200,27.12,4.94,3,99.86%,30.37%,96.19%,86.55%,98.49%,99.18%,99.18%,18.31%,12.65%,15.48%,15.48%,18.69,67.17,72.3%,11.82,81.9%,5.6%,1.1%,56%,5.40,0.23,2.50
61,11,2026,Brendan Sorsby,Upside Lite,6.26,70.50,0.29,Cincinnati,3,1/20/04,21.70,RS JR,22.28,Run First,75,235,29.37,4.7,0,0.00%,0.27%,62.16%,99.12%,85.34%,99.12%,89.21%,22.63%,31.45%,31.45%,28.31%,19.63,96.32,69.8%,14.82,77.6%,9.1%,1.3%,55%,6.92,0.32,3.64
