Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %,DOM++,RDOM++,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs
1,1,2023,Bijan Robinson,Cornerstone,15.17,99.60,3.03,Texas,3,1/30/02,23.67,JR,21.25,FREAK,3DOWN,71,215,4.46,1,0.00%,0.00%,18.95%,27.86%,33.83%,33.83%,30.45%,10.83%,10.01%,10.42%,9.38%,18.60,108.67,29.98,0.41,6.10,13.38,0.07,197.10,6.09,64.30,8.00,9.00,9.00,9.00,10.00,5.00,9.00,9.00,10.0,1.00,0,2143,0,24,0,0,0.00,0.00,0.00,0.00,0,3615,0,0,28,0,2295,0,26,0,0,0.00,0.00,0.00,0.00,0,3761,0,0,32,705,1953,4,20,87,29,8.10,197.10,6.09,64.30,196,2801,15,0,32,1127,2392,11,25,195,79,5.80,155.20,3.94,36.70,293,2705,26,0,29,1575,2446,18,29,257,104,6.10,169.10,4.17,38.60,314,3138,19,0,22
2,1,2015,Todd Gurley,Cornerstone,14.39,99.30,2.71,Georgia,1,8/3/94,31.17,JR,20.75,BELL COW,3DOWN,73,222,4.52,1,0.00%,0.00%,22.94%,29.54%,35.21%,35.21%,35.21%,14.04%,4.84%,9.44%,9.44%,18.09,106.37,29.29,0.30,7.41,9.48,0.09,116.60,3.93,48.40,9.00,9.00,10.00,8.00,8.00,8.00,7.00,6.00,10.0,0.50,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,1385,2556,17,0,222,0,6.24,0.00,0.00,0.00,117,3991,16,0,0,989,1699,10,0,165,0,5.99,0.00,0.00,0.00,441,3142,37,6,0,911,1553,9,17,123,37,7.41,116.60,3.93,48.40,58,1199,12,0,11
3,1,2026,Jeremiyah Love,Cornerstone,14.39,99.00,2.71,Notre Dame,2,5/31/05,20.34,JR,20.92,DYNAMIC,3DOWN,72,206,4.40,1,0.00%,0.00%,8.22%,21.19%,27.78%,27.78%,27.78%,7.22%,9.94%,9.94%,9.94%,19.27,109.92,27.94,0.38,6.94,9.12,0.13,180.20,4.39,52.50,7.00,9.00,7.00,9.00,10.00,7.00,8.00,6.00,10.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,378,2414,1,29,72,16,5.25,117.30,3.86,36.50,84,3205,7,1,31,1124,3214,17,45,162,62,6.94,180.20,4.39,52.50,229,3170,28,2,24,293,544,0,0,53,12,5.53,92.30,3.75,27.00,79,795,8,0,0
4,1,2025,Ashton Jeanty,Cornerstone,14.39,98.60,2.70,Boise State,7,12/2/03,21.84,JR,21.42,DYNAMIC,3DOWN,68,211,4.42,1,0.00%,0.00%,18.12%,36.72%,41.90%,41.90%,31.42%,21.77%,4.37%,13.07%,9.80%,18.77,110.57,32.08,0.40,6.92,10.70,0.06,215.10,5.25,52.60,8.00,9.00,9.00,9.00,10.00,7.00,9.00,9.00,10.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,821,2751,7,27,156,49,5.26,122.70,3.88,38.20,161,2668,15,0,20,1344,2579,14,29,217,82,6.19,183.60,4.52,40.60,578,2656,44,5,17,2595,3365,29,38,375,151,6.92,215.10,5.25,52.60,138,3158,23,1,20
5,1,2018,Saquon Barkley,Cornerstone,14.38,98.40,2.70,Penn State,2,2/9/97,28.65,JR,21.22,FREAK,3DOWN,72,233,4.41,1,0.00%,0.00%,27.45%,37.44%,31.70%,34.57%,34.57%,15.17%,16.57%,16.57%,16.57%,18.57,123.21,31.60,0.33,5.90,11.66,0.20,126.70,3.82,56.60,9.00,10.00,9.00,10.00,9.00,4.00,6.00,3.00,10.0,1.00,0,2088,0,0,0,0,0.00,0.00,0.00,0.00,0,3110,0,0,0,0,1325,0,0,0,0,0.00,0.00,0.00,0.00,0,3034,0,0,0,1082,1744,7,0,182,60,5.90,126.70,3.82,53.20,162,2788,20,0,0,1491,2406,18,0,272,72,5.50,87.50,3.28,54.50,402,2650,28,0,0,1272,2212,18,0,218,39,5.80,69.00,3.54,56.60,625,3772,54,0,0
6,2,2023,Jahmyr Gibbs,Cornerstone,13.98,98.10,2.53,Alabama,1,3/20/02,23.54,JR,21.12,JITTERBUG,+RECEIVER,69,199,4.36,1,0.00%,0.00%,19.70%,27.59%,22.09%,24.84%,24.84%,19.75%,12.13%,15.94%,15.94%,18.46,110.14,29.38,0.39,6.10,11.80,0.23,167.50,4.17,52.70,6.00,10.00,9.00,9.00,10.00,5.00,8.00,6.00,10.0,0.50,0,4225,0,46,0,0,0.00,0.00,0.00,0.00,0,1089,0,0,7,0,1829,0,12,0,0,0.00,0.00,0.00,0.00,0,1607,0,0,14,467,1908,4,18,89,35,5.20,167.50,4.17,42.60,301,1991,23,0,14,746,2028,4,15,143,34,5.20,80.80,3.29,44.10,470,2380,36,0,18,926,2542,7,26,151,38,6.10,99.10,3.39,52.70,444,3660,44,0,37
7,1,2016,Ezekiel Elliott,Cornerstone,13.61,97.80,2.37,Ohio State,2,7/22/95,30.21,JR,20.78,FREAK,PLODDER,72,225,4.47,1,0.00%,0.00%,7.95%,27.23%,35.87%,35.87%,35.87%,5.58%,7.94%,7.94%,7.94%,19.13,112.72,30.51,0.18,6.85,7.73,0.08,61.50,3.60,42.90,10.00,8.00,7.00,9.00,5.00,7.00,4.00,5.00,10.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,262,2160,2,22,0,0,0.00,0.00,0.00,0.00,23,1423,3,1,19,1883,3968,18,41,275,41,6.85,58.50,3.60,42.90,207,3707,26,0,42,1829,3189,23,39,291,53,6.29,61.50,3.54,41.00,195,2454,26,0,20
8,1,2017,Christian McCaffrey,Cornerstone,13.14,97.50,2.18,Stanford,5,6/7/96,29.33,JR,20.90,DYNAMIC,SLASHER,71,202,4.49,1,0.00%,0.00%,10.91%,43.64%,39.95%,41.80%,35.53%,21.82%,15.47%,18.64%,15.85%,19.24,99.40,28.17,0.21,7.10,12.16,0.13,73.80,3.29,37.90,10.00,10.00,7.00,5.00,4.00,8.00,4.00,3.00,10.0,1.00,0,2440,0,0,0,0,0.00,0.00,0.00,0.00,0,2802,0,0,0,0,2904,0,0,0,0,0.00,0.00,0.00,0.00,0,2771,0,0,0,300,2064,0,0,42,5,7.10,52.30,2.57,56.30,251,2988,17,0,0,2014,3132,8,0,337,71,6.00,58.40,2.62,33.70,647,2965,45,0,0,1590,2720,13,0,252,44,6.30,73.80,3.29,37.90,318,2056,38,0,0
9,2,2017,Leonard Fournette,Elite,12.96,97.20,2.10,LSU,1,1/18/95,30.71,JR,22.29,BRUISER,SLASHER,73,240,4.51,1,0.00%,0.00%,23.05%,42.23%,19.52%,30.88%,30.88%,11.64%,6.40%,9.02%,9.02%,19.63,116.02,31.66,0.28,6.60,12.30,0.10,108.90,3.65,46.60,8.00,8.00,6.00,10.00,8.00,6.00,7.00,4.00,10.0,0.25,0,2258,0,0,0,0,0.00,0.00,0.00,0.00,0,2607,0,0,0,0,2630,0,0,0,0,0.00,0.00,0.00,0.00,0,3263,0,0,0,1067,2919,10,0,188,31,5.70,37.50,2.20,40.20,94,2118,6,0,0,1964,3082,22,0,299,85,6.50,108.90,3.65,42.50,252,2165,19,0,0,845,2796,8,0,129,21,6.60,49.50,2.85,46.60,146,2281,15,0,0
10,1,2020,Jonathan Taylor,Elite,12.81,96.90,2.04,Wisconsin,2,1/19/99,26.71,JR,21.27,FREAK,3DOWN,70,226,4.39,2,0.00%,0.00%,35.58%,40.06%,37.02%,38.54%,38.54%,2.93%,8.67%,8.67%,8.67%,18.63,121.70,32.42,0.27,7.10,11.06,0.08,104.40,4.53,43.40,10.00,8.00,9.00,10.00,7.00,8.00,4.00,7.00,7.0,0.50,0,1954,0,27,0,0,0.00,0.00,0.00,0.00,0,2968,0,0,14,0,2843,0,31,0,0,0.00,0.00,0.00,0.00,0,2507,0,0,14,1972,3121,13,28,299,66,6.60,101.90,4.53,43.20,95,2689,8,0,25,2185,3554,16,32,306,67,7.10,94.00,4.28,43.40,60,2050,2,0,19,2002,3263,21,38,320,87,6.30,104.40,3.93,39.30,243,2802,26,0,18
11,2,2025,Omarion Hampton,Elite,12.79,96.60,2.03,North Carolina,4,3/16/03,22.55,JR,22.13,FREAK,3DOWN,72,221,4.48,1,0.00%,0.00%,7.30%,26.96%,41.66%,41.66%,37.49%,5.71%,13.85%,13.85%,12.47%,20.48,109.73,29.97,0.26,5.91,8.76,0.12,126.80,4.35,43.90,10.00,9.00,4.00,9.00,7.00,4.00,6.00,6.00,10.0,0.25,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,403,1996,7,22,89,15,4.53,42.90,2.37,39.00,36,4021,5,0,35,1500,2497,15,29,254,67,5.91,116.30,4.22,36.40,222,3890,29,1,26,1660,2188,15,27,281,72,5.91,126.80,4.35,43.90,373,2693,38,2,17
