Rank,Player Name,RB Grade,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,ELU,YCO/A,Break %,DOM++,RDOM+,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break%,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,,,Conferences,multiplier,Season Starts,Draft
1,Christian McCaffrey,12.41,Stanford,5,6/7/96,28.90,JR,20.90,71,202,4.49,1,0.00%,0.00%,10.91%,43.64%,39.95%,41.80%,35.53%,21.82%,15.47%,18.64%,15.85%,19.24,99.40,28.17,0.21,7.10,73.80,3.29,56.30,10.0,10.0,7.0,5.0,4.0,7.0,1.0,1.0,10.0,1.0,,2440,,,,,,,,,,2802,,,,,2904,,,,,,,,,,2771,,,,300,2064,0,,42,5,7.1,52.3,2.57,56.3,251,2988,17,,,2014,3132,8,,337,71,6.0,58.4,2.62,33.70,647,2965,45,,,1590,2720,13,,252,44,6.30,73.80,3.29,37.90,318,2056,38,,,,1,SEC,1,8/31/12,4/27/17
2,Dalvin Cook,11.84,Florida State,4,8/10/95,29.73,JR,21.73,70,210,4.49,2,0.00%,0.00%,19.40%,35.20%,36.96%,36.96%,33.27%,7.34%,13.92%,13.92%,12.53%,19.07,103.34,30.13,0.32,7.40,128.10,4.19,62.90,9.0,9.0,8.0,7.0,8.0,7.0,6.0,6.0,7.0,0.0,,2882,,,,,,,,,,3709,,,,,2844,,,,,,,,,,4423,,,,1006,1933,8,,170,38,5.9,74.5,3.41,50.9,193,4246,22,,,1696,2187,19,,229,56,7.4,107.4,4.00,62.90,244,3325,24,,,1763,2630,19,,288,91,6.10,128.10,4.19,45.20,478,3433,33,,,,2,Big 10,1,8/31/13,
3,Leonard Fournette,11.44,LSU,1,1/18/95,30.29,JR,22.29,73,240,4.51,1,0.00%,0.00%,23.05%,42.23%,19.52%,30.88%,30.88%,11.64%,6.40%,9.02%,9.02%,19.63,116.02,31.66,0.16,6.60,108.90,3.65,46.60,8.0,8.0,6.0,10.0,2.0,5.0,5.0,2.0,10.0,0.0,,2258,,,,,,,,,,2607,,,,,2630,,,,,,,,,,3263,,,,1067,2919,10,,188,31,5.7,37.5,2.20,40.2,94,2118,6,,,1964,3082,22,,299,85,6.5,108.9,3.65,42.50,252,2165,19,,,845,2796,8,,129,21,6.60,49.50,2.85,46.60,146,2281,15,,,,3,Big 12,0.9,9/1/14,
4,Joe Mixon,11.20,Oklahoma,3,7/24/96,28.78,RS SO,20.77,71,226,4.43,2,0.00%,0.00%,0.00%,16.16%,25.31%,25.31%,22.77%,8.94%,13.01%,13.01%,11.71%,19.12,117.36,31.52,0.26,6.90,97.70,3.82,56.20,4.0,9.0,7.0,10.0,6.0,6.0,4.0,3.0,7.0,1.0,,2098,,,,,,,,,,4374,,,,,2911,,,,,,,,,,2588,,,,0,3395,0,,0,0,0.0,0.0,0.00,0.0,0,2646,0,,,756,2887,7,,114,31,6.6,97.7,3.65,47.20,358,4006,28,,,1287,3078,10,,187,48,6.90,97.20,3.82,56.20,538,4134,37,,,,4,ACC,0.9,8/31/15,
5,Kareem Hunt,10.84,Toledo,9,8/6/95,29.74,SR,21.74,70,216,4.62,3,0.00%,21.10%,28.21%,31.35%,44.30%,44.30%,28.79%,2.72%,23.71%,23.71%,15.41%,18.08,94.82,30.99,0.29,7.90,124.00,4.65,49.30,8.0,10.0,10.0,3.0,8.0,8.0,6.0,7.0,6.0,0.0,,3161,,,,,,,,,,2275,,,,866,2189,,,,,,,,,68,2238,12,,,1631,3333,16,,205,57,7.9,124.0,4.65,49.3,34,2570,9,,,974,1593,12,,179,43,5.4,84.3,3.34,41.60,45,1657,11,,,1473,2535,10,,261,76,5.60,112.40,3.46,29.30,403,1700,41,,,,5,Pac 12,0.85,9/5/16,
6,Alvin Kamara,9.99,Tennessee,1,7/25/95,29.78,JR,21.77,70,214,4.56,3,0.00%,0.00%,0.00%,18.18%,20.20%,20.20%,20.20%,11.46%,14.87%,14.87%,14.87%,20.12,98.99,30.70,0.25,6.60,132.10,3.78,47.70,4.0,10.0,4.0,5.0,6.0,5.0,7.0,3.0,6.0,1.0,,1924,,,,,,,,,,3787,,,,,2261,,,,,,,,,,1979,,,,0,1903,0,,0,0,0.0,0.0,0.00,0.0,0,2914,0,,,702,2908,7,,106,28,6.6,109.2,3.75,39.70,296,2582,35,,,596,2257,9,,103,26,5.80,132.10,3.78,47.70,390,2624,40,,,,6,AAC,0.7,,
7,James Conner,9.46,Pitt,4,5/5/95,30.00,RS JR,21.99,71,233,4.65,3,0.00%,17.67%,32.42%,1.71%,23.93%,28.18%,25.36%,0.28%,10.48%,10.48%,9.43%,18.34,99.67,32.49,0.18,9.60,89.40,2.95,51.90,6.0,9.0,10.0,5.0,2.0,10.0,3.0,0.0,6.0,0.0,,1730,,,,,,,,,,3341,,,,799,1634,,,,,,,,,33,3074,3,,,1765,3243,26,,296,90,6.0,89.4,2.89,32.5,70,2417,5,,,77,2430,2,,8,2,9.6,52.8,2.38,51.90,7,2478,1,,,1088,2926,16,,216,39,5.00,52.30,2.95,51.70,302,2882,21,,,,7,Mountain West,0.65,,
8,D'Onta Foreman,8.93,Texas,3,4/24/96,29.02,JR,21.02,72,233,4.45,3,0.00%,0.00%,1.85%,16.72%,35.47%,35.47%,31.92%,3.66%,2.48%,3.07%,2.76%,19.36,118.84,31.60,0.20,7.20,80.90,3.54,67.60,8.0,3.0,7.0,10.0,3.0,7.0,2.0,2.0,6.0,0.0,,2229,,,,,,,,,,3421,,,,,2551,,,,,,,,,,2762,,,,74,1786,0,,16,5,4.6,80.9,2.75,67.6,7,2599,1,,,680,2698,5,,94,24,7.2,77.1,3.05,53.50,64,1751,5,,,2016,2871,15,,323,64,6.20,69.60,3.54,40.70,75,3024,7,,,,8,Sun Belt,0.65,,
9,Aaron Jones,8.77,UTEP,10,12/2/94,30.42,SR,22.42,69,208,4.5,5,0.00%,19.76%,35.51%,7.69%,45.12%,45.12%,27.07%,4.52%,10.57%,10.57%,6.34%,18.76,101.45,30.71,0.18,7.70,151.80,5.19,56.40,7.0,7.0,9.0,6.0,2.0,8.0,7.0,9.0,3.0,0.0,,1782,,,,,,,,,,2688,,,,811,2216,,,,,,,,,14,1959,4,,,1326,2701,11,,242,44,5.5,63.9,3.49,39.7,293,1858,31,,,209,1749,1,,32,7,6.5,151.8,5.19,53.10,106,2346,9,,,1766,2226,17,,228,41,7.70,73.00,3.98,56.40,233,2204,28,,,,9,MAC,0.65,,
10,Jeremy McNichols,7.45,Boise State,7,12/26/95,29.35,JR,21.35,69,212,4.49,5,0.00%,0.00%,4.45%,27.73%,35.49%,35.49%,23.07%,11.46%,12.45%,12.45%,8.10%,19.69,104.32,31.30,0.20,9.40,68.90,3.54,52.40,5.0,8.0,6.0,7.0,3.0,10.0,1.0,2.0,3.0,0.0,,2186,,,,,,,,,,2901,,,,,2578,,,,,,,,,,3610,,,,159,2994,1,,17,1,9.4,9.6,3.06,45.3,149,3926,15,,,1346,2488,20,,238,49,5.7,68.9,3.50,52.40,462,4032,51,,,1698,2268,23,,312,62,5.40,66.50,3.54,38.50,483,3878,39,,,,10,C-USA,0.6,,
