Rank,Player Name,RB Grade,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,ELU,YCO/A,Break %,DOM++,RDOM+,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,,,Conferences,multiplier,Season Starts,Draft
1,Josh Jacobs,11.10,Alabama,1,2/11/98,27.22,JR,21.21,70,220,4.52,1,0.00%,0.00%,10.70%,9.10%,15.33%,15.33%,15.33%,7.78%,6.18%,6.98%,6.98%,20.56,105.41,31.56,0.27,6.20,109.80,4.07,23.60,2.0,7.0,3.0,8.0,7.0,4.0,5.0,5.0,10.0,1.0,0,2893,0,35,0,0,0.00,0.00,0.00,0.00,0,3890,0,,32,0,2999,0,33,0,0,0.00,0.00,0.00,0.00,0,3407,0,,22,564,3675,4,33,86,26,6.60,165.80,4.60,45.20,167,3154,14,,26,284,2808,1,36,46,4,6.20,53.60,3.22,23.60,169,2172,14,,28,900,2976,11,33,121,33,5.30,109.80,4.07,22.80,300,4854,20,,52,,1,SEC,1,8/31/14,4/25/19
2,Miles Sanders,10.43,Penn St,2,5/1/97,28.01,JR,22.00,71,211,4.49,2,0.00%,0.00%,3.43%,3.69%,25.55%,25.55%,25.55%,0.80%,4.55%,4.55%,4.55%,21.35,103.83,29.43,0.21,6.20,201.40,4.97,55.50,6.0,5.0,2.0,7.0,4.0,4.0,9.0,8.0,7.0,1.0,0,1325,0,13,0,0,0.00,0.00,0.00,0.00,0,3034,0,,13,0,1744,0,15,0,0,0.00,0.00,0.00,0.00,0,2788,0,,20,184,2406,1,34,25,7,7.40,148.10,5.00,75.50,24,3650,2,,29,191,2212,2,36,31,12,6.20,201.40,4.97,55.50,30,3772,6,,32,1276,2664,9,34,220,47,5.80,77.50,3.84,35.10,129,2835,23,,21,,2,Big 10,1,8/31/15,
3,Darrell Henderson,9.86,Memphis,6,8/19/97,27.70,JR,21.70,68,208,4.49,3,0.00%,0.00%,11.86%,19.82%,30.09%,30.09%,22.57%,5.19%,8.66%,8.66%,6.50%,20.05,102.35,31.62,0.27,8.90,143.70,5.60,60.30,4.0,7.0,4.0,6.0,7.0,9.0,7.0,9.0,6.0,1.0,0,2479,0,31,0,0,0.00,0.00,0.00,0.00,0,3076,0,,23,0,2333,0,29,0,0,0.00,0.00,0.00,0.00,0,3997,0,,30,478,2071,5,23,86,16,5.60,57.70,3.22,37.20,237,3957,20,,34,1145,2562,9,33,128,34,8.90,143.70,5.60,60.30,226,4355,24,,39,1909,3919,22,48,214,57,8.90,158.60,6.16,70.80,295,3405,19,,28,,3,Big 12,0.9,9/1/16,
4,David Montgomery,9.32,Iowa State,3,6/7/97,27.90,JR,21.90,70,222,4.63,3,0.00%,0.00%,13.58%,28.72%,28.47%,28.59%,25.73%,8.34%,5.01%,6.68%,6.01%,20.25,96.62,31.85,0.39,5.10,127.80,3.67,31.20,6.0,6.0,4.0,4.0,10.0,0.0,6.0,3.0,6.0,1.0,0,1489,0,12,0,0,0.00,0.00,0.00,0.00,0,2981,0,,21,0,2184,0,18,0,0,0.00,0.00,0.00,0.00,0,2716,0,,18,563,1953,2,18,110,22,5.10,87.30,3.67,30.60,124,3106,12,,21,1145,1470,11,16,258,86,4.40,127.20,3.43,30.70,296,3548,36,,27,1216,1691,13,20,256,99,4.80,127.80,3.48,31.20,157,3132,22,,20,,4,ACC,0.9,8/31/17,
5,Devin Singletary,8.99,FAU,1,9/3/97,27.66,JR,21.65,67,203,4.66,3,0.00%,0.00%,24.98%,30.11%,23.86%,26.99%,26.99%,6.81%,1.27%,4.04%,4.04%,19.01,86.10,31.79,0.36,6.30,138.30,3.89,48.30,7.0,4.0,8.0,1.0,9.0,4.0,7.0,4.0,6.0,0.0,0,1963,0,14,0,0,0.00,0.00,0.00,0.00,0,2394,0,,18,0,1961,0,15,0,0,0.00,0.00,0.00,0.00,0,2557,0,,12,1027,2258,12,31,154,24,6.70,87.70,4.62,43.30,167,2521,25,,9,1898,3994,32,52,299,83,6.30,112.50,3.86,48.30,203,2983,20,,21,1335,2902,22,35,264,96,5.10,138.30,3.89,47.20,36,2844,6,,14,,5,Pac 12,0.85,8/31/18,
6,Damien Harris,8.52,Alabama,1,2/11/97,28.22,SR,22.21,70,216,4.57,3,0.00%,2.67%,16.62%,17.53%,13.73%,15.63%,15.63%,3.36%,4.20%,4.20%,4.20%,19.57,99.04,30.99,0.15,7.40,125.20,4.84,45.40,2.0,4.0,6.0,5.0,1.0,7.0,6.0,8.0,6.0,1.0,0,2893,0,35,0,0,0.00,0.00,0.00,0.00,0,3890,0,,32,157,2999,1,33,46,6,3.40,32.30,2.30,26.10,14,3407,4,,22,1036,3675,2,33,145,32,7.10,85.90,3.69,45.80,99,3154,14,,26,999,3509,11,36,135,33,7.40,125.20,4.84,45.40,91,2708,12,,28,871,2976,9,33,149,22,5.80,49.90,3.16,39.50,204,4854,22,,52,,6,AAC,0.75,,
7,Tony Pollard,8.39,Memphis,6,4/30/97,28.01,RS JR,22.00,70,210,4.52,4,0.00%,0.00%,7.58%,11.07%,13.89%,13.89%,10.41%,12.31%,13.45%,13.45%,10.09%,N/A,100.62,30.13,0.24,7.70,120.40,4.97,60.40,0.0,9.0,0.0,6.0,6.0,8.0,6.0,8.0,4.0,1.0,0,2476,0,31,0,0,0.00,0.00,0.00,0.00,0,3076,0,,23,0,2333,0,29,0,0,0.00,0.00,0.00,0.00,0,3997,0,,30,159,2071,1,23,31,7,5.10,85.50,3.42,11.90,298,3957,29,,34,230,2562,2,33,30,9,7.70,120.40,4.97,60.40,536,4355,36,,39,559,3919,6,48,79,19,7.10,87.10,3.54,47.80,458,3405,39,,28,,7,Mountain West,0.75,,
8,Bryce Love,8.18,Stanford,5,7/8/97,27.82,SR,21.81,69,200,4.35,4,0.00%,7.74%,18.05%,39.50%,16.82%,28.16%,23.93%,1.27%,2.79%,2.79%,2.37%,19.16,111.71,29.53,0.26,8.10,125.10,4.30,66.40,5.0,2.0,7.0,9.0,7.0,8.0,6.0,6.0,4.0,0.0,0,2064,0,22,0,0,0.00,0.00,0.00,0.00,0,2988,0,,20,226,3132,2,33,29,8,7.80,156.70,4.31,65.00,246,2965,15,,30,779,2720,3,20,112,31,7.00,134.10,4.60,56.60,83,2056,8,,15,2116,2833,19,31,262,76,8.10,125.10,4.30,66.40,33,2608,6,,23,734,1403,6,16,165,43,4.40,94.10,3.55,41.30,99,3550,20,,29,,8,Sun Belt,0.65,,
9,Trayveon Williams,7.27,Texas A&M,1,10/18/97,27.54,JR,21.53,68,206,4.51,6,0.00%,0.00%,18.88%,18.74%,33.24%,33.24%,33.24%,5.88%,8.59%,8.59%,8.59%,18.88,99.58,31.32,0.17,6.50,74.90,3.79,48.70,9.0,8.0,8.0,5.0,2.0,5.0,1.0,3.0,2.0,0.0,0,1949,0,20,0,0,0.00,0.00,0.00,0.00,0,3971,0,,39,0,2198,0,13,0,0,0.00,0.00,0.00,0.00,0,3323,0,,25,1055,2754,8,28,156,40,6.80,91.40,3.72,47.10,91,3317,19,,25,799,2023,8,26,173,17,4.60,27.30,2.77,34.80,192,3266,20,,22,1756,2847,18,28,270,47,6.50,74.90,3.79,48.70,282,3284,28,,25,,9,MAC,0.65,,
10,Ty Johnson,6.84,Maryland,2,9/17/97,27.62,SR,21.62,69,209,4.34,6,0.00%,6.22%,24.64%,24.10%,11.82%,18.23%,18.23%,3.09%,1.30%,2.20%,2.20%,18.97,117.82,30.86,0.21,7.70,98.70,5.08,58.10,3.0,2.0,8.0,10.0,4.0,8.0,4.0,8.0,2.0,0.0,0,1582,0,21,0,0,0.00,0.00,0.00,0.00,0,2863,0,,19,250,2408,3,20,35,10,7.10,82.40,2.77,58.00,30,2092,2,,15,1004,2594,6,26,110,24,9.10,108.60,5.26,68.70,206,2317,16,,15,875,1940,5,19,137,19,6.40,49.20,3.68,58.10,60,1940,5,,15,505,2762,3,26,66,14,7.70,98.70,5.08,53.50,22,1695,6,,12,,10,C-USA,0.6,,
