Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,BMI,40 Time,Draft Cap,RDOM1,RDOM2,RDOM3,RDOM4,RDOM5,TDOM,RDOM+,DOM1,DOM2,ADOM,DOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %
1,1,2023,Bijan Robinson,Cornerstone,15.17,99.60,3.03,Texas,3,1/30/02,23.67,JR,21.25,FREAK,#DIV/0!,71,215,29.99,4.46,1,0.00%,0.00%,18.95%,27.86%,33.83%,33.83%,30.45%,10.83%,10.01%,10.42%,9.38%,18.60,108.67,29.98,0.41,6.10,#DIV/0!,#DIV/0!,197.10,6.09,64.30
2,1,2015,Todd Gurley,Cornerstone,14.39,99.30,2.71,Georgia,1,8/3/94,31.17,JR,20.75,BELL COW,#DIV/0!,73,222,29.29,4.52,1,0.00%,0.00%,22.94%,29.54%,35.21%,35.21%,35.21%,14.04%,4.84%,9.44%,9.44%,18.09,106.37,29.29,0.30,7.41,#DIV/0!,#DIV/0!,116.60,3.93,48.40
3,1,2026,Jeremiyah Love,Cornerstone,14.39,99.00,2.71,Notre Dame,2,5/31/05,20.34,JR,20.92,DYNAMIC,SLASHER,72,206,27.94,4.40,1,0.00%,0.00%,8.22%,21.19%,27.78%,27.78%,27.78%,7.22%,9.94%,9.94%,9.94%,19.27,109.92,27.94,0.38,6.94,#DIV/0!,#DIV/0!,180.20,4.39,52.50
4,1,2025,Ashton Jeanty,Cornerstone,14.39,98.60,2.70,Boise State,7,12/2/03,21.84,JR,21.42,DYNAMIC,#DIV/0!,68,211,32.08,4.42,1,0.00%,0.00%,18.12%,36.72%,41.90%,41.90%,31.42%,21.77%,4.37%,13.07%,9.80%,18.77,110.57,32.08,0.40,6.92,#DIV/0!,#DIV/0!,215.10,5.25,52.60
5,1,2018,Saquon Barkley,Cornerstone,14.38,98.40,2.70,Penn State,2,2/9/97,28.65,JR,21.22,FREAK,#DIV/0!,72,233,31.60,4.41,1,0.00%,0.00%,27.45%,37.44%,31.70%,34.57%,34.57%,15.17%,16.57%,16.57%,16.57%,18.57,123.21,31.60,0.33,5.90,#DIV/0!,#DIV/0!,126.70,3.82,56.60
6,2,2023,Jahmyr Gibbs,Cornerstone,13.98,98.10,2.53,Alabama,1,3/20/02,23.54,JR,21.12,JITTERBUG,#DIV/0!,69,199,29.39,4.36,1,0.00%,0.00%,19.70%,27.59%,22.09%,24.84%,24.84%,19.75%,12.13%,15.94%,15.94%,18.46,110.14,29.38,0.39,6.10,#DIV/0!,#DIV/0!,167.50,4.17,52.70
7,1,2016,Ezekiel Elliott,Cornerstone,13.61,97.80,2.37,Ohio State,2,7/22/95,30.21,JR,20.78,FREAK,#DIV/0!,72,225,30.52,4.47,1,0.00%,0.00%,7.95%,27.23%,35.87%,35.87%,35.87%,5.58%,7.94%,7.94%,7.94%,19.13,112.72,30.51,0.18,6.85,#DIV/0!,#DIV/0!,61.50,3.60,42.90
8,1,2017,Christian McCaffrey,Cornerstone,13.14,97.50,2.18,Stanford,5,6/7/96,29.33,JR,20.90,DYNAMIC,#DIV/0!,71,202,28.17,4.49,1,0.00%,0.00%,10.91%,43.64%,39.95%,41.80%,35.53%,21.82%,15.47%,18.64%,15.85%,19.24,99.40,28.17,0.21,7.10,#DIV/0!,#DIV/0!,73.80,3.29,37.90
9,2,2017,Leonard Fournette,Elite,12.96,97.20,2.10,LSU,1,1/18/95,30.71,JR,22.29,BRUISER,#DIV/0!,73,240,31.66,4.51,1,0.00%,0.00%,23.05%,42.23%,19.52%,30.88%,30.88%,11.64%,6.40%,9.02%,9.02%,19.63,116.02,31.66,0.28,6.60,#DIV/0!,#DIV/0!,108.90,3.65,46.60
10,1,2020,Jonathan Taylor,Elite,12.81,96.90,2.04,Wisconsin,2,1/19/99,26.71,JR,21.27,FREAK,#DIV/0!,70,226,32.43,4.39,2,0.00%,0.00%,35.58%,40.06%,37.02%,38.54%,38.54%,2.93%,8.67%,8.67%,8.67%,18.63,121.70,32.42,0.27,7.10,#DIV/0!,#DIV/0!,104.40,4.53,43.40
11,2,2025,Omarion Hampton,Elite,12.79,96.60,2.03,North Carolina,4,3/16/03,22.55,JR,22.13,FREAK,#DIV/0!,72,221,29.97,4.48,1,0.00%,0.00%,7.30%,26.96%,41.66%,41.66%,37.49%,5.71%,13.85%,13.85%,12.47%,20.48,109.73,29.97,0.26,5.91,#DIV/0!,#DIV/0!,126.80,4.35,43.90
12,1,2021,Travis Etienne,Elite,12.72,96.30,2.00,Clemson,4,1/26/99,26.69,SR,22.27,FREAK,#DIV/0!,70,215,30.85,4.45,1,0.00%,13.65%,21.91%,25.81%,25.07%,25.44%,22.89%,10.01%,14.06%,14.06%,12.65%,19.61,109.65,30.85,0.44,7.80,#DIV/0!,#DIV/0!,213.90,5.07,59.30
13,3,2017,Dalvin Cook,Elite,12.44,96.00,1.88,Florida State,4,8/10/95,30.15,JR,21.73,DYNAMIC,#DIV/0!,70,210,30.13,4.49,2,0.00%,0.00%,19.40%,35.20%,36.96%,36.96%,33.27%,7.34%,13.92%,13.92%,12.53%,19.07,103.34,30.13,0.32,7.40,#DIV/0!,#DIV/0!,128.10,4.19,62.90
14,1,2022,Breece Hall,Elite,12.31,95.70,1.82,Iowa State,3,5/31/01,24.34,JR,20.92,FREAK,#DIV/0!,71,217,30.27,4.39,2,0.00%,0.00%,19.91%,33.29%,32.07%,32.68%,29.41%,6.25%,9.04%,9.04%,8.13%,18.26,116.85,30.26,0.30,5.80,#DIV/0!,#DIV/0!,103.80,3.58,53.30
15,2,2015,Melvin Gordon,Elite,12.12,95.40,1.74,Wisconsin,2,4/13/93,32.48,SR,22.05,BELL COW,#DIV/0!,73,215,28.37,4.52,1,0.00%,5.21%,12.46%,25.90%,41.84%,41.84%,41.84%,0.27%,7.35%,7.35%,7.35%,20.40,103.02,28.36,0.22,7.81,#DIV/0!,#DIV/0!,77.20,3.58,56.70
16,4,2017,Joe Mixon,Elite Upside,11.91,95.10,1.65,Oklahoma,3,7/24/96,29.20,RS SO,20.77,FREAK,#DIV/0!,71,226,31.52,4.43,2,0.00%,0.00%,0.00%,16.16%,25.31%,25.31%,22.77%,8.94%,13.01%,13.01%,11.71%,19.12,117.36,31.52,0.27,6.90,#DIV/0!,#DIV/0!,97.70,3.82,56.20
17,2,2020,J.K. Dobbins,Elite Upside,11.89,94.80,1.65,Ohio State,2,12/17/98,26.80,JR,21.36,DYNAMIC,#DIV/0!,69,209,30.86,4.39,2,0.00%,0.00%,21.67%,17.55%,30.33%,30.33%,30.33%,5.16%,6.70%,6.70%,6.70%,18.72,112.54,30.86,0.24,6.70,#DIV/0!,#DIV/0!,92.90,4.25,47.50
