Rank,Class Rk,Year,Player Name,Tier,TE Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,BMI,40 Time,Draft,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,BOUT,Y/RR,Y/REC,YAC/R,aDOT,EPA/P,aYPTPA,CC%,Drop %,Speed,HaSS
1,1,2024,Brock Bowers,Cornerstone,15.12,99.50,2.77,Georgia,1,12/13/02,22.81,JR,21.39,76,245,29.82,4.44,1,0.00%,0.00%,23.34%,21.22%,23.49%,23.49%,23.49%,18.74,2.65,12.80,8.70,6.50,0.00,0.00,0.00,0.0%,126.09,132.57
2,1,2021,Kyle Pitts,Cornerstone,15.00,99.00,2.72,Florida,1,10/6/00,24.99,JR,20.58,77,245,29.05,4.44,1,0.00%,0.00%,11.40%,16.60%,25.42%,21.01%,21.01%,18.91,3.26,#DIV/0!,6.00,13.80,0.00,0.00,0.00,6.9%,126.09,135.20
3,1,2017,Evan Engram,Elite,14.59,98.50,2.55,Ole Miss,1,9/2/94,31.09,SR,22.67,75,234,29.25,4.42,1,0.00%,11.82%,24.96%,11.53%,26.73%,26.73%,26.73%,20.01,2.59,#DIV/0!,10.00,9.70,0.00,0.00,0.00,8.5%,122.62,126.39
4,1,2019,T.J. Hockenson,Elite,14.04,98.10,2.32,Iowa,2,7/3/97,28.25,JR,21.82,77,251,29.76,4.7,1,0.00%,0.00%,0.00%,16.86%,25.26%,25.26%,25.26%,20.18,2.21,#DIV/0!,7.30,10.50,0.00,0.00,0.00,2.0%,102.88,110.31
5,2,2017,David Njoku,Elite Upside,13.74,97.60,2.20,Miami,4,7/10/96,29.24,JR,20.81,76,246,29.94,4.64,1,0.00%,0.00%,0.00%,13.06%,21.21%,21.21%,20.15%,20.17,2.34,#DIV/0!,11.20,13.00,0.00,0.00,0.00,10.4%,106.14,111.60
6,2,2019,Noah Fant,Elite Upside,13.74,97.10,2.20,Iowa,2,11/20/97,27.87,JR,21.44,76,249,30.31,4.5,1,0.00%,0.00%,7.62%,21.73%,19.09%,20.41%,20.41%,19.79,2.15,#DIV/0!,6.80,12.20,0.00,0.00,0.00,9.3%,121.44,127.69
7,1,2025,Tyler Warren,Elite Upside,12.88,96.70,1.84,Penn State,2,5/24/02,23.36,SR,22.94,77,256,30.36,4.68,1,0.00%,1.78%,4.06%,16.36%,33.74%,33.74%,33.74%,21.28,2.77,11.83,7.70,6.90,0.00,0.00,0.00,2.8%,106.73,114.44
8,2,2025,Colston Loveland,Elite Upside,12.76,96.20,1.79,Michigan,2,4/9/04,21.48,JR,21.06,77,248,29.41,4.67,1,0.00%,0.00%,7.67%,20.25%,45.08%,45.08%,45.08%,19.40,2.67,10.39,5.20,7.10,0.00,0.00,0.00,3.4%,104.28,111.82
9,3,2017,O.J. Howard,Elite Upside,12.71,95.70,1.77,Alabama,1,11/18/94,30.88,SR,22.45,78,251,29.01,4.51,1,0.00%,10.82%,10.40%,22.05%,18.86%,20.46%,20.46%,20.80,1.81,#DIV/0!,9.20,12.90,0.00,0.00,0.00,4.3%,121.34,132.65
10,1,2015,Maxx Williams,Elite Upside,12.31,95.30,1.60,Minnesota,2,4/12/94,31.48,RS SO,21.05,76,249,30.31,4.78,2,0.00%,0.00%,0.00%,21.66%,30.86%,30.86%,30.86%,19.40,2.78,15.81,8.40,11.80,0.00,0.00,0.08,9539.3%,100.30,10.00
