Rank,Class Rk,Year,Player Name,Tier,WR Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Type,Build,Separator,Height,Weight,BMI,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,Breakout,Y/RR,YAC/R,aDOT,EPA/P,aYPTPA,CTPRR,UCTPRR,Drop%,CC%,Wide %,Slot %,Speed,HaSS
1,1,2024,Marvin Harrison Jr.,Cornerstone,12.79,99.80,2.50,Ohio State,2,8/11/02,23.15,JR,21.73,Wide,PROTO X,Elite Earner,76,220,26.78,4.4,1,0.00%,0.00%,7.30%,35.28%,38.77%,38.77%,38.77%,20.06,3.44,6.40,14.30,1.26,3.08,9%,24%,8.20%,0.0%,83.05%,16.55%,117.39,123.43
2,1,2021,Ja'Marr Chase,Cornerstone,12.77,99.60,2.49,LSU,1,3/1/00,25.59,JR,21.18,Wide,BALL HOG,Elite Earner,72,201,26.97,4.34,1,0.00%,0.00%,10.54%,29.55%,0.00%,29.55%,29.55%,19.51,3.93,8.00,14.30,1.09,3.33,7%,20%,5.60%,0.0%,81.20%,17.20%,113.31,110.73
3,2,2024,Malik Nabers,Cornerstone,12.67,99.50,2.44,LSU,1,7/28/03,22.18,JR,20.76,Hybrid,BALL HOG,Elite Earner,72,199,26.99,4.35,1,0.00%,0.00%,15.36%,26.97%,35.59%,35.59%,35.59%,19.10,3.64,6.60,12.20,0.96,2.12,5%,25%,5.30%,0.0%,53.10%,46.70%,111.15,107.77
4,1,2020,Justin Jefferson,Cornerstone,12.61,99.30,2.40,LSU,1,6/16/99,26.30,JR,20.87,Hybrid,BALL HOG,Elite Separator,74,208,26.71,4.43,1,0.00%,0.00%,0.00%,32.79%,26.38%,29.59%,29.59%,19.22,3.10,8.03,14.50,1.01,2.72,3%,24%,5.90%,0.0%,39.00%,60.25%,108.01,109.12
5,1,2015,Amari Cooper,Cornerstone,12.53,99.10,2.35,Alabama,1,6/17/94,31.30,JR,20.87,Wide,BALL HOG,N/A,73,210,27.71,4.42,1,0.00%,0.00%,32.77%,26.93%,44.39%,44.39%,44.39%,18.22,3.99,7.10,10.00,0.00,0.00,N/A,N/A,5.80%,0.0%,90.90%,8.80%,110.04,108.92
6,2,2020,CeeDee Lamb,Cornerstone,12.51,99.00,2.34,Oklahoma,3,4/8/99,26.49,JR,21.06,Wide,BALL HOG,Elite Separator,74,198,25.42,4.5,1,0.00%,0.00%,15.93%,25.62%,31.87%,31.87%,30.27%,19.41,3.81,11.10,13.20,1.14,3.93,4%,22%,4.60%,0.0%,76.35%,23.15%,96.57,97.56
7,1,2023,Jaxon Smith-Njigba,Elite,12.25,98.80,2.19,Ohio State,2,2/14/02,23.63,JR,21.21,Slot,BALL HOG,Elite Separator,73,196,25.86,4.48,1,0.00%,0.00%,2.33%,32.43%,4.81%,32.43%,32.43%,19.55,4.01,8.30,12.10,1.16,3.25,2%,25%,5.90%,0.0%,11.80%,86.80%,97.31,96.32
8,1,2022,Drake London,Elite,12.22,98.60,2.17,USC,5,7/24/01,24.19,JR,20.78,Hybrid,PROTO X,Elite Earner,77,205,24.31,4.45,1,0.00%,0.00%,12.99%,26.20%,30.28%,30.28%,28.77%,19.13,3.52,6.10,12.00,1.34,3.26,9%,30%,8.30%,0.0%,47.20%,52.20%,104.55,112.11
9,1,2018,D.J. Moore,Elite,12.22,98.50,2.17,Maryland,2,4/14/97,28.47,JR,21.05,Wide,BALL HOG,Elite Earner,72,209,28.35,4.42,1,0.00%,0.00%,20.17%,27.49%,53.25%,53.25%,53.25%,18.39,2.83,9.80,13.00,0.47,3.25,7%,29%,8.00%,0.0%,83.30%,15.30%,109.52,106.18
10,1,2019,A.J. Brown,Elite,12.18,98.30,2.15,Ole Miss,1,6/30/97,28.26,JR,21.83,Slot,PROTO X,Poor Earner,73,226,29.82,4.45,2,0.00%,0.00%,10.90%,35.52%,38.49%,38.49%,38.49%,20.18,3.19,8.70,11.20,1.04,3.21,4%,18%,5.60%,0.0%,20.20%,78.20%,115.27,114.09
11,2,2022,Garrett Wilson,Elite,12.02,98.20,2.06,Ohio State,2,7/22/00,25.20,JR,21.78,Hybrid,BALL HOG,Elite Separator,72,183,24.82,4.38,1,0.00%,0.00%,17.16%,42.86%,25.40%,34.13%,34.13%,20.14,3.86,6.00,13.40,0.97,3.21,3%,21%,7.90%,0.0%,54.75%,45.25%,99.45,96.42
12,1,2026,Jordyn Tyson,Elite,12.02,98.00,2.06,Arizona State,3,8/12/04,21.14,RS JR,21.72,Hybrid,BALL HOG,Elite Separator,73,195,25.73,4.45,1,0.00%,29.95%,0.00%,39.87%,47.73%,47.73%,45.34%,18.07,3.04,5.90,10.00,0.00,0.00,4%,30%,6.10%,0.0%,68.80%,30.50%,99.45,98.44
13,2,2021,Jaylen Waddle,Elite Upside,11.96,97.80,2.02,Alabama,1,11/25/98,26.86,JR,22.44,Slot,RAT,Elite Separator,70,180,26.20,4.37,1,0.00%,0.00%,17.47%,12.59%,27.50%,27.50%,27.50%,21.79,4.68,12.20,11.70,1.37,2.88,3%,22%,3.40%,0.0%,19.15%,79.05%,98.71,90.77
14,3,2021,DeVonta Smith,Elite Upside,11.95,97.70,2.02,Alabama,1,11/14/98,26.89,SR,22.47,Hybrid,BALL HOG,Elite Earner,72,170,22.90,4.4,1,0.00%,5.91%,14.28%,28.23%,39.86%,39.86%,39.86%,20.81,4.21,11.50,10.70,1.09,4.37,5%,28%,2.50%,0.0%,70.15%,29.70%,90.71,88.41
15,3,2022,Jameson Williams,Elite Upside,11.93,97.50,2.01,Alabama,1,3/26/01,24.52,JR,21.10,Wide,DEEP,Elite Separator,74,190,24.39,4.25,1,0.00%,0.00%,3.04%,7.33%,30.99%,30.99%,30.99%,20.45,3.11,9.10,18.60,1.02,2.75,2%,21%,7.10%,0.0%,80.65%,19.25%,116.47,117.66
16,2,2019,Marquise Brown,Elite Upside,11.79,97.30,1.93,Oklahoma,3,7/4/97,28.25,JR,21.82,Wide,RAT,Elite Separator,69,181,26.73,4.32,1,0.00%,0.00%,14.97%,21.62%,29.16%,29.16%,27.70%,20.17,4.09,10.70,14.30,0.98,3.79,3%,29%,8.50%,0.0%,80.80%,17.75%,103.94,94.54
17,3,2024,Brian Thomas Jr.,Elite Upside,11.76,97.20,1.91,LSU,1,10/8/02,22.99,JR,21.57,Wide,PROTO X,Poor Earner,75,209,26.12,4.33,1,0.00%,0.00%,11.76%,10.31%,26.72%,26.72%,26.72%,20.90,2.61,5.70,13.90,1.29,1.29,3%,16%,6.80%,0.0%,87.95%,11.50%,118.91,122.57
18,4,2024,Rome Odunze,Elite Upside,11.63,97.00,1.83,Washington,5,6/3/02,23.33,RS JR,21.92,Wide,PROTO X,Elite Earner,75,212,26.50,4.45,1,0.00%,7.95%,15.37%,25.80%,31.81%,31.81%,30.22%,20.25,2.93,5.60,15.50,1.09,2.11,5%,20%,3.20%,0.0%,82.90%,16.60%,108.12,111.45
19,3,2020,Jerry Jeudy,Elite Upside,11.62,96.90,1.83,Alabama,1,4/24/99,26.45,JR,21.01,Hybrid,BALL HOG,Elite Separator,73,194,25.59,4.46,1,0.00%,0.00%,9.75%,27.09%,26.14%,26.62%,26.62%,19.37,3.46,7.80,14.10,0.89,3.00,2%,26%,8.30%,0.0%,37.00%,62.65%,98.06,97.06
20,4,2021,Rashod Bateman,Elite Upside,11.57,96.70,1.80,Minnesota,2,11/29/99,25.85,JR,21.43,Hybrid,DEEP,Elite Earner,72,190,25.50,4.43,1,0.00%,0.00%,25.94%,37.02%,33.86%,35.44%,35.44%,18.77,3.66,5.80,16.70,1.11,3.77,7%,33%,14.30%,0.0%,56.05%,43.95%,98.67,96.42
21,1,2025,Tetairoa McMillan,Elite Upside,11.57,96.50,1.80,Arizona,3,4/5/03,22.50,JR,22.08,Wide,SLOB,Elite Earner,76,219,26.66,4.53,1,0.00%,0.00%,24.34%,34.83%,44.44%,44.44%,42.22%,19.41,2.87,6.00,13.70,1.36,0.00,7%,22%,7.70%,0.0%,76.70%,22.65%,104.01,109.36
22,2,2018,Calvin Ridley,Elite Upside,11.57,96.40,1.80,Alabama,1,12/20/94,30.79,JR,23.36,Hybrid,BALL HOG,Elite Separator,73,190,25.07,4.44,1,0.00%,0.00%,30.67%,24.38%,41.10%,41.10%,41.10%,20.71,2.78,6.30,11.70,0.63,2.91,4%,20%,10.00%,0.0%,74.60%,23.55%,97.78,96.78
23,4,2022,Treylon Burks,Elite Upside,11.56,96.20,1.80,Arkansas,1,3/23/00,25.53,JR,22.11,Slot,SLOB,Elite Earner,75,225,28.12,4.55,1,0.00%,0.00%,20.52%,34.14%,39.70%,39.70%,39.70%,19.45,3.57,9.30,10.10,0.92,3.76,5%,23%,4.40%,0.0%,17.85%,73.80%,104.99,108.23
24,2,2026,Makai Lemon,Elite Upside,11.51,96.00,1.76,USC,2,6/2/04,21.33,JR,21.92,Slot,PROTO Z,Elite Earner,71,190,26.50,4.48,2,0.00%,0.00%,2.94%,21.81%,33.56%,33.56%,33.56%,20.26,5.06,10.20,9.50,0.00,0.00,5%,21%,1.90%,0.0%,13.70%,85.10%,94.33,89.56
25,5,2022,Chris Olave,Elite Upside,11.50,95.90,1.76,Ohio State,2,6/27/00,25.27,SR,21.85,Wide,RAT,Elite Separator,71,187,26.08,4.26,1,0.00%,3.86%,22.80%,43.95%,22.34%,33.15%,33.15%,19.19,3.39,4.20,14.70,0.99,3.68,4%,21%,7.10%,0.0%,84.90%,15.00%,113.56,107.82
26,3,2019,D.K. Metcalf,Elite Upside,11.46,95.70,1.74,Ole Miss,1,12/14/97,27.81,JR,21.38,Wide,PROTO X,Poor Earner,76,235,28.60,4.33,2,0.00%,0.00%,0.34%,16.39%,23.46%,23.46%,23.46%,20.73,2.83,9.70,14.60,0.84,2.43,3%,9%,10.30%,0.0%,99.55%,0.45%,133.70,140.58
27,5,2024,Xavier Worthy,Elite Upside,11.42,95.60,1.72,Texas,3,4/27/03,22.44,JR,21.02,Hybrid,RAT,Elite Earner,71,165,23.01,4.21,1,0.00%,0.00%,36.27%,24.12%,25.05%,30.66%,29.13%,18.36,2.14,7.60,17.60,0.62,0.62,4%,21%,6.30%,0.0%,68.65%,31.00%,105.05,99.73
28,4,2020,Henry Ruggs III,Elite Upside,11.38,95.40,1.69,Alabama,1,1/24/99,26.69,JR,21.26,Wide,PROTO Z,Poor Earner,72,190,25.77,4.26,1,0.00%,0.00%,8.46%,18.54%,20.23%,20.23%,20.23%,20.63,2.46,10.60,11.70,1.00,1.91,1%,14%,2.40%,0.0%,81.60%,18.30%,115.38,111.87
29,2,2015,Nelson Agholor,Elite Upside,11.35,95.20,1.68,USC,5,5/24/93,32.37,JR,21.94,Hybrid,BALL HOG,N/A,73,190,25.07,4.34,1,0.00%,0.00%,9.29%,28.87%,34.05%,34.05%,32.35%,20.28,2.92,5.60,13.90,0.00,0.00,N/A,N/A,8.00%,0.0%,74.70%,25.30%,107.11,106.02
30,6,2022,George Pickens,Elite Upside,11.35,95.10,1.67,Georgia,1,3/4/01,24.58,JR,21.16,Wide,PROTO X,Poor Earner,75,201,25.12,4.4,2,0.00%,0.00%,23.29%,20.53%,2.83%,21.91%,21.91%,18.50,2.27,9.00,15.50,0.92,1.99,3%,11%,5.30%,0.0%,94.15%,5.85%,107.25,110.55
