Player,Bias,PDOM+,RDOM+,Draft Capital,DOM+,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Trey Lance,-75.0851,9.7115,-5.8425,49.8005,0.3114,-5.4983,0.3738,48.4826,0.3738,15.0000,-26.2288,-41.0000,14.7712
Kellen Mond,-75.0851,-0.6506,13.2839,3.3595,0.5859,2.0097,-2.6180,18.5884,-2.6180,10.3898,-59.1147,-92.0000,32.8853
Nate Sudfeld,-75.0851,-0.8365,-5.4307,-36.5193,0.5859,-7.9898,-7.9527,-50.1904,-7.9527,0.0000,-133.2284,-130.0000,-3.2284
Kyle Trask,-75.0851,0.5560,-8.9644,26.8195,0.8225,-0.1493,5.8670,19.0843,5.8670,11.6488,-50.1338,-49.0000,-1.1338
Jacoby Brissett,-75.0851,-1.0840,6.3587,3.7772,0.8225,-0.6839,5.4108,9.1905,5.4108,10.1979,-60.4839,-162.0000,101.5161
Carson Wentz,-75.0851,7.2986,-7.0580,48.4793,-16.6787,-19.4513,0.2287,12.5899,0.2287,9.9480,-62.2664,-39.0000,-23.2664
Brandon Allen,-75.0851,14.3883,-5.9014,-32.5778,0.5930,-8.9594,6.8909,-32.4573,6.8909,4.5669,-100.6515,-131.0000,30.3485
Brandon Doughty,-75.0851,0.5068,-7.1722,-41.6336,-0.8577,-11.3785,8.2789,-60.5352,8.2789,0.8253,-127.3415,-171.0000,43.6585
Dak Prescott,-75.0851,0.1010,11.9644,-11.4068,0.6925,-6.5921,8.0648,-5.2410,8.0648,8.5468,-72.2614,-53.0000,-19.2614
Davis Webb,-75.0851,4.0321,6.8296,-1.2430,0.5731,9.7886,-0.7927,19.9804,-0.7927,10.8408,-55.8973,-111.0000,55.1027
Spencer Rattler,-75.0851,0.3621,10.7816,-32.8266,0.4963,-9.0615,8.1182,-30.2481,8.1182,5.0486,-97.2150,-106.0000,8.7850
Drake Maye,-75.0851,-0.6906,8.2742,47.8046,0.5859,-6.2224,-2.5537,49.7517,-2.5537,14.7675,-27.8872,-10.0000,-17.8872
Jared Goff,-75.0851,-0.3296,-8.0492,44.1453,0.5731,8.3119,-1.5288,44.6515,-1.5288,14.1962,-31.9624,-27.0000,-4.9624
Tyler Shough,-75.0851,0.0911,9.8491,25.4845,0.6459,0.6919,1.4454,36.7625,1.4454,13.5072,-36.8772,-70.0000,33.1228
Tanner Lee,-75.0851,-3.1449,-8.1495,-34.7303,0.5859,4.0519,-1.2392,-41.3869,-1.2392,2.1753,-117.7113,-182.0000,64.2887
Tanner McKee,-75.0851,0.1977,-6.5191,-37.6827,0.9096,-5.2549,-0.4683,-48.3494,-0.4683,1.3073,-123.9029,-146.0000,22.0971
Davis Mills,-75.0851,0.0989,-5.6211,1.7954,0.6459,0.2564,-1.2974,-2.8245,-1.2974,7.5731,-79.2070,-69.0000,-10.2070
Luke Falk,-75.0851,-3.9466,-7.5214,-36.2912,0.6459,-1.2040,-0.4683,-48.3173,-0.4683,1.3118,-123.8706,-147.0000,23.1294
Chad Kelly,-75.0851,-6.6303,12.6740,-45.3398,1.0089,-4.2093,-3.0037,-42.4965,-3.0037,1.7724,-120.5854,-85.0000,-35.5854
Jalen Hurts,-75.0851,0.0510,9.3192,17.5574,0.2018,10.4397,0.0160,37.5691,0.0160,13.4199,-37.4999,-19.0000,-18.4999
Paxton Lynch,-75.0851,-0.4408,-3.8985,49.4907,0.5859,2.6359,-0.2702,48.3732,-0.2702,14.8944,-26.9822,-31.0000,4.0178
Justin Herbert,-75.0851,-0.4408,-7.6438,44.1453,0.5731,8.8407,-1.5288,45.4745,-1.5288,14.3116,-31.1395,-15.0000,-16.1395
Stetson Bennett,-75.0851,0.0412,2.9768,-16.0751,0.8288,-20.5242,-0.2236,-32.7525,-0.2236,3.5281,-108.0613,-102.0000,-6.0613
Hendon Hooker,-75.0851,-2.8812,13.1795,6.7896,1.0089,-0.4264,0.0906,17.6704,0.0906,10.6408,-57.3241,-72.0000,14.6759
