Player,Bias,PDOM+,RDOM+,Draft Capital,ELU,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-79.4358,-4.0368,-2.8730,-2.9979,-3.4826,12.9946,-6.8751,-0.3957,-6.8751,5.4238,-86.7066,-111.0000,24.2934
Drake Maye,-79.4358,5.1804,9.9396,52.2992,7.2574,-2.4265,-6.2821,72.2501,-6.2821,12.5914,-13.4678,-10.0000,-3.4678
Joe Milton,-79.4358,-1.0056,-9.4688,-39.1252,0.6872,-2.5838,3.0272,-51.4962,3.0272,1.3919,-127.9048,-73.0000,-54.9048
Justin Fields,-79.4358,2.2197,16.2949,51.8862,-8.0309,4.7194,-6.4294,67.0893,-6.4294,12.0720,-18.7760,-7.0000,-11.7760
Paxton Lynch,-79.4358,6.9632,-5.2391,54.1218,1.7861,-2.4232,1.6215,55.2088,1.6215,11.6972,-22.6056,-31.0000,8.3944
Jameis Winston,-79.4358,3.3766,-4.5245,55.3513,6.5533,1.3826,5.9013,62.1393,5.9013,12.7943,-11.3952,-13.0000,1.6048
Dillon Gabriel,-79.4358,4.0480,13.7750,-1.4359,2.6795,17.6384,5.0523,36.7050,5.0523,10.2220,-37.6785,-60.0000,22.3215
Daniel Jones,-79.4358,-10.8454,14.8682,51.1482,3.8209,-5.5857,-1.6793,53.4062,-1.6793,11.1977,-27.7090,-44.0000,16.2910
Josh Rosen,-79.4358,-1.9788,-6.5766,47.2109,-4.5155,12.8089,3.9679,46.9489,3.9679,11.1184,-28.5191,-38.0000,9.4809
Trevor Siemian,-79.4358,-0.2779,-9.6718,-41.8640,-3.9743,-8.6692,1.7662,-64.4572,1.7662,0.0000,-142.1267,-198.0000,55.8733
Jaxson Dart,-79.4358,2.8856,3.7724,52.3869,1.0108,-1.9357,2.7627,58.1200,2.7627,12.0938,-18.5532,-6.0000,-12.5532
Bo Nix,-79.4358,4.8531,14.4902,48.5404,-3.7718,-4.3138,-4.6353,59.7981,-4.6353,11.5340,-24.2729,-29.0000,4.7271
Michael Pratt,-79.4358,-13.5764,22.2104,-38.9525,0.5751,-4.9962,-3.6785,-34.7396,-3.6785,2.3755,-117.8537,-95.0000,-22.8537
James Morgan,-79.4358,8.9061,-8.1085,-10.3346,1.6943,-5.2328,1.7445,-13.0755,1.7445,5.0264,-90.7668,-167.0000,76.2332
Lamar Jackson,-79.4358,4.9109,14.3329,46.4086,13.6003,10.6917,0.6340,89.9444,0.6340,15.0000,11.1427,-12.0000,23.1427
Drew Lock,-79.4358,-33.1707,-5.4999,40.1426,-2.1772,-3.6953,-5.0651,-4.4005,-5.0651,5.2090,-88.9015,-50.0000,-38.9015
Kellen Mond,-79.4358,5.7680,11.3643,-0.5421,2.2339,-3.1101,1.1017,15.7140,1.1017,7.7811,-62.6201,-92.0000,29.3799
Bryce Petty,-79.4358,-11.5327,-8.5138,-9.7199,-4.4966,-10.1307,3.0184,-44.3937,3.0184,2.0861,-120.8111,-81.0000,-39.8111
Shedeur Sanders,-79.4358,2.2315,-7.8759,-36.2367,0.8271,-2.3001,-4.1451,-43.3541,-4.1451,1.4868,-126.9350,-88.0000,-38.9350
Mike White,-79.4358,6.1826,-9.6045,-34.2761,2.1117,-1.0377,4.9486,-36.6240,4.9486,3.0354,-111.1113,-108.0000,-3.1113
Sam Ehlinger,-79.4358,6.4816,20.3751,-32.7438,-3.0803,20.5953,6.5907,11.6279,6.5907,7.9183,-61.2174,-66.0000,4.7826
Will Levis,-79.4358,4.1308,-0.3267,34.2669,0.3685,-5.5927,1.3718,32.8468,1.3718,9.4842,-45.2173,-52.0000,6.7827
Davis Mills,-79.4358,4.1313,-6.5314,1.9746,-4.0107,-4.1327,-2.9516,-8.5689,-2.9516,5.0079,-90.9564,-69.0000,-21.9564
Ian Book,-79.4358,-5.2190,22.8097,-11.2739,-2.5112,-2.3111,1.2477,1.4945,1.2477,6.4037,-76.6936,-64.0000,-12.6936
