Player,Bias,PDOM+,RDOM+,Draft Capital,Breakout Age,DOM+,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.1535,7.1286,-8.0150,-4.8269,5.6936,1.2967,4.2112,1.2770,4.2112,7.1679,-70.6653,-97.0000,26.3347
Tanner Lee,-76.1535,-0.8259,-5.7942,-37.7538,9.2756,1.7241,1.3805,-33.3742,1.3805,2.6151,-108.1473,-182.0000,73.8527
Trace McSorley,-76.1535,1.1348,24.1581,-42.5829,-5.3102,-0.0050,0.2229,-22.6052,0.2229,3.7826,-98.5357,-94.0000,-4.5357
Deshaun Watson,-76.1535,3.6370,9.6680,51.8367,-1.2870,0.0648,-0.9647,63.9195,-0.9647,14.1480,-13.1988,-16.0000,2.8012
DeShone Kizer,-76.1535,-4.8195,-4.4602,25.5481,0.1806,0.3323,1.0466,16.7813,1.0466,8.6667,-58.3257,-54.0000,-4.3257
Davis Mills,-76.1535,5.4196,-6.6648,-5.1112,-4.2244,0.7185,0.4551,-9.8623,0.4551,5.3586,-85.5608,-69.0000,-16.5608
Malik Willis,-76.1535,1.8589,-4.4990,-5.3010,3.2845,1.6580,2.9848,-2.9986,2.9848,6.4995,-76.1674,-82.0000,5.8326
Christian Hackenberg,-76.1535,1.2721,-6.7604,35.0173,7.0814,0.9753,-0.7193,37.5857,-0.7193,10.9792,-39.2870,-59.0000,19.7130
Aidan O'Connell,-76.1535,-3.4013,-6.2851,-14.8247,-0.0694,0.9492,-3.0523,-23.6313,-3.0523,3.2601,-102.8370,-135.0000,32.1630
Dak Prescott,-76.1535,-2.1136,12.6214,-10.0609,-0.0125,-1.0673,2.4982,-0.6329,2.4982,6.7278,-74.2883,-53.0000,-21.2883
Joshua Dobbs,-76.1535,3.8832,15.0473,-16.6312,0.1845,0.8541,-0.4907,3.3379,-0.4907,6.8471,-73.3063,-84.0000,10.6937
Bryce Petty,-76.1535,-0.3677,-19.1640,-17.9558,-4.6469,1.2545,3.8132,-40.8799,3.8132,1.9989,-113.2201,-81.0000,-32.2201
Mitchell Trubisky,-76.1535,-0.3463,18.1620,51.9225,-2.6003,1.0565,1.7746,68.1944,1.7746,15.0000,-6.1845,-32.0000,25.8155
Riley Leonard,-76.1535,1.9153,10.6996,-45.5063,-3.5560,0.2498,1.2587,-36.1976,1.2587,2.2574,-111.0925,-137.0000,25.9075
Spencer Rattler,-76.1535,1.8977,13.1125,-30.3076,-4.5948,0.0359,4.3145,-19.8563,4.3145,4.6135,-91.6953,-106.0000,14.3047
Baker Mayfield,-76.1535,1.7097,-9.9309,58.4984,0.5297,-1.4587,3.0011,49.3482,3.0011,12.8598,-23.8043,-4.0000,-19.8043
Kevin Hogan,-76.1535,1.8940,-9.0040,-33.9358,-7.6871,-5.3646,0.5738,-54.0975,0.5738,0.0000,-129.6771,-121.0000,-8.6771
Cardale Jones,-76.1535,2.2675,-4.8054,-13.5759,2.9574,1.5561,3.6152,-11.6003,3.6152,5.5313,-84.1385,-89.0000,4.8615
Dillon Gabriel,-76.1535,4.1885,13.8133,-11.5247,8.3058,-0.5006,6.8949,14.2823,6.8949,9.0735,-54.9764,-60.0000,5.0236
Jarrett Stidham,-76.1535,2.7971,-5.9243,-11.6793,-4.5274,1.2888,2.8942,-18.0451,2.8942,4.6609,-91.3044,-104.0000,12.6956
Tua Tagovailoa,-76.1535,-2.4266,-6.3151,49.1718,2.0090,1.0398,4.7189,43.4789,4.7189,12.3556,-27.9556,-11.0000,-16.9556
Max Duggan,-76.1535,2.8928,15.3340,-40.6799,14.0880,-0.5357,-8.8868,-8.9008,-8.8868,4.3407,-93.9411,-63.0000,-30.9411
Sam Ehlinger,-76.1535,3.8239,7.8549,-42.2827,17.5405,0.7125,2.2856,-12.3509,2.2856,5.2787,-86.2187,-66.0000,-20.2187
Jake Fromm,-76.1535,2.4708,-9.4100,-33.4749,3.2540,1.7003,2.4732,-35.4598,2.4732,2.4945,-109.1401,-91.0000,-18.1401
