Player,Bias,PDOM+,RDOM+,Draft Capital,Breakout Age,DOM+,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.8936,1.8647,-9.4765,-9.5252,5.8667,0.3220,-2.0046,-10.9483,-2.0046,5.0945,-89.8467,-97.0000,7.1533
Tanner Lee,-76.8936,-4.1861,-7.0212,-37.5632,5.2208,0.8539,-1.3805,-42.6958,-1.3805,0.8883,-120.9699,-182.0000,61.0301
Trace McSorley,-76.8936,0.5889,17.7782,-38.6198,-2.8844,0.8539,-0.1460,-22.2832,-0.1460,3.8138,-99.3229,-94.0000,-5.3229
Deshaun Watson,-76.8936,1.3196,11.6279,46.7373,-0.8927,0.3220,-0.9371,59.1141,-0.9371,14.7075,-18.7167,-16.0000,-2.7167
DeShone Kizer,-76.8936,11.4031,-4.9592,30.8808,-7.8525,0.4844,2.0430,29.9566,2.0430,11.1697,-44.8940,-54.0000,9.1060
Davis Mills,-76.8936,0.9994,-7.9393,-8.1502,-1.2990,0.3220,-0.8569,-16.0671,-0.8569,4.5578,-93.8176,-69.0000,-24.8176
Malik Willis,-76.8936,11.4031,-6.7916,-9.3071,-8.1102,0.4844,2.0430,-12.3214,2.0430,5.4560,-87.1719,-82.0000,-5.1719
Christian Hackenberg,-76.8936,-1.3817,-6.4393,28.7288,11.0675,-0.6627,-1.3821,31.3126,-1.3821,10.8901,-46.9631,-59.0000,12.0369
Aidan O'Connell,-76.8936,-7.6973,-10.3779,-13.0278,-3.8710,0.3220,2.1219,-34.6520,2.1219,2.4487,-109.4239,-135.0000,25.5761
Dak Prescott,-76.8936,-1.9411,16.6811,-7.5182,2.4927,-0.6627,2.7906,9.0518,2.7906,8.4455,-65.0512,-53.0000,-12.0512
Joshua Dobbs,-76.8936,1.1353,16.2858,-8.9505,1.2058,-0.6627,-0.5914,9.0137,-0.5914,7.9833,-68.4714,-84.0000,15.5286
Bryce Petty,-76.8936,-7.1898,-7.4017,-13.0278,-7.4383,0.3220,-2.3529,-34.7356,-2.3529,1.8326,-113.9822,-81.0000,-32.9822
Mitchell Trubisky,-76.8936,-5.1378,13.9059,48.4973,1.0265,0.8457,1.2037,59.1376,1.2037,15.0000,-16.5523,-32.0000,15.4477
Riley Leonard,-76.8936,-3.5514,15.3900,-37.0247,-1.0190,0.8539,-0.3727,-25.3512,-0.3727,3.3686,-102.6174,-137.0000,34.3826
Spencer Rattler,-76.8936,0.5256,9.1556,-34.0842,2.2858,0.4040,3.4931,-21.7132,3.4931,4.3827,-95.1138,-106.0000,10.8862
Baker Mayfield,-76.8936,1.3229,-5.5934,52.8036,3.1221,-0.6437,1.8198,51.0115,1.8198,13.9851,-24.0622,-4.0000,-20.0622
Kevin Hogan,-76.8936,0.6695,-8.0396,-37.0616,-4.4853,-0.9089,-0.8230,-49.8259,-0.8230,0.0000,-127.5426,-121.0000,-6.5426
Cardale Jones,-76.8936,11.3089,-6.4764,-13.6239,-8.4538,0.4844,2.8571,-16.7608,2.8571,4.9660,-90.7973,-89.0000,-1.7973
Dillon Gabriel,-76.8936,1.0806,12.6327,-10.8165,15.3325,0.3220,1.3689,18.5513,1.3689,9.5372,-56.9735,-60.0000,3.0265
Jarrett Stidham,-76.8936,-1.5598,-7.8075,-12.1740,-1.1549,0.3220,1.9525,-22.3742,1.9525,4.0851,-97.3154,-104.0000,6.6846
Tua Tagovailoa,-76.8936,1.0898,-5.1465,50.8013,2.8314,0.4181,2.7793,49.9941,2.7793,13.9772,-24.1202,-11.0000,-13.1202
Max Duggan,-76.8936,1.0667,15.0122,-34.3784,25.1715,1.3983,-4.7043,8.2703,-4.7043,7.3270,-73.3276,-63.0000,-10.3276
Sam Ehlinger,-76.8936,0.4639,17.5463,-31.3297,25.6120,1.0495,3.9608,13.3420,3.9608,9.1835,-59.5909,-66.0000,6.4091
Jake Fromm,-76.8936,0.5605,-7.2163,-35.9889,7.0318,0.4040,4.0831,-35.2089,4.0831,2.6385,-108.0195,-91.0000,-17.0195
