Player,Bias,PDOM+,RDOM+,Draft Capital,DOM+,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.8936,2.8630,-22.0342,-11.2660,0.9421,-16.2678,-29.4951,-16.2678,1.6986,-122.6565,-97.0000,-25.6565
Tanner Lee,-76.8936,-1.4196,-26.0821,-37.1821,1.7625,2.8407,-62.9213,2.8407,0.0000,-136.9743,-182.0000,45.0257
Trace McSorley,-76.8936,6.6358,19.3762,-35.4840,0.0440,-1.2909,-9.4280,-1.2909,5.8560,-87.6125,-94.0000,6.3875
Deshaun Watson,-76.8936,7.8299,13.7432,47.4303,-0.3160,-2.3295,68.6874,-2.3295,15.0000,-10.5359,-16.0000,5.4641
DeShone Kizer,-76.8936,13.3880,-17.0356,29.8922,0.9434,-3.0106,27.1880,-3.0106,9.9959,-52.7162,-54.0000,1.2838
Davis Mills,-76.8936,6.5770,-7.7298,-10.6583,0.9896,-2.3744,-10.8215,-2.3744,5.5622,-90.0895,-69.0000,-21.0895
Malik Willis,-76.8936,21.9668,-0.9976,-10.5172,0.9516,0.2854,11.4036,0.2854,8.5144,-65.2046,-82.0000,16.7954
Christian Hackenberg,-76.8936,-8.4694,-8.1160,30.9021,-0.2602,0.6146,14.0565,0.6146,8.8682,-62.2225,-59.0000,-3.2225
Aidan O'Connell,-76.8936,-11.2862,-7.2128,-15.6060,1.0262,0.7714,-33.0788,0.7714,3.2949,-109.2011,-135.0000,25.7989
Dak Prescott,-76.8936,-6.1089,27.2171,-10.8965,6.7387,-15.8986,16.9504,-15.8986,7.2524,-75.8419,-53.0000,-22.8419
Joshua Dobbs,-76.8936,7.8742,24.6174,-11.3375,8.8655,-0.6642,30.0196,-0.6642,10.6102,-47.5382,-84.0000,36.4618
Bryce Petty,-76.8936,-8.5273,-29.1987,-15.6037,1.1685,6.5263,-52.1612,6.5263,1.7138,-122.5285,-81.0000,-41.5285
Mitchell Trubisky,-76.8936,-4.9593,15.1493,43.5324,1.4180,4.6939,55.1404,4.6939,14.2261,-17.0593,-32.0000,14.9407
Riley Leonard,-76.8936,-0.3613,14.6457,-36.9051,0.4363,2.3439,-22.1844,2.3439,4.7739,-96.7341,-137.0000,40.2659
Spencer Rattler,-76.8936,9.5062,8.5567,-30.3820,0.8874,8.6609,-11.4317,8.6609,6.7989,-79.6644,-106.0000,26.3356
Baker Mayfield,-76.8936,9.4045,-4.3225,51.1991,-2.4181,2.3012,53.8630,2.3012,13.7907,-20.7293,-4.0000,-16.7293
Kevin Hogan,-76.8936,6.0077,-11.0659,-36.4685,-0.2394,2.8633,-41.7661,2.8633,2.5124,-115.7964,-121.0000,5.2036
Cardale Jones,-76.8936,22.6923,-1.1690,-15.7241,1.2142,-0.1192,7.0134,-0.1192,7.9455,-69.9995,-89.0000,19.0005
Dillon Gabriel,-76.8936,7.9975,6.3283,-9.0423,0.5778,7.5470,5.8613,7.5470,8.7184,-63.4853,-60.0000,-3.4853
Jarrett Stidham,-76.8936,-10.9731,-2.4897,-16.0812,1.1685,7.3007,-28.3755,7.3007,4.6275,-97.9684,-104.0000,6.0316
Tua Tagovailoa,-76.8936,8.2915,-1.2248,50.0210,0.8784,5.2143,57.9661,5.2143,14.6231,-13.7132,-11.0000,-2.7132
Max Duggan,-76.8936,7.3998,19.4729,-44.1327,0.5343,-13.5633,-16.7257,-13.5633,3.5343,-107.1826,-63.0000,-44.1826
Sam Ehlinger,-76.8936,19.5152,16.8410,-37.6374,1.6102,8.8567,0.3290,8.8567,8.2174,-67.7080,-66.0000,-1.7080
Jake Fromm,-76.8936,9.6689,-6.6302,-35.8476,1.1863,9.2172,-31.6226,9.2172,4.4696,-99.2990,-91.0000,-8.2990
