Player,Bias,PDOM+,RDOM+,Draft Capital,ELU,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Trey Lance,-74.9285,5.5000,-5.0051,50.9875,0.3330,-0.6399,0.7258,51.1755,0.7258,14.9067,-23.0272,-41.0000,17.9728
Kellen Mond,-74.9285,0.0013,8.5351,2.3035,-0.4909,0.7840,-4.1807,11.1330,-4.1807,9.0920,-67.9762,-92.0000,24.0238
Nate Sudfeld,-74.9285,-0.9219,-0.7428,-36.7230,-7.5444,-3.6182,-0.6019,-49.5503,-0.6019,1.7047,-125.0808,-130.0000,4.9192
Kyle Trask,-74.9285,0.0879,-13.8989,28.0089,1.0168,-2.3098,6.5920,12.9049,6.5920,10.7148,-55.4317,-49.0000,-6.4317
Jacoby Brissett,-74.9285,-1.3180,7.7661,3.5385,0.5082,-4.2491,6.5001,6.2457,6.5001,9.8414,-62.1827,-162.0000,99.8173
Carson Wentz,-74.9285,2.3663,-6.3906,47.3362,0.2971,-45.6200,-0.9793,-2.0110,-0.9793,7.8058,-77.9187,-39.0000,-38.9187
Brandon Allen,-74.9285,10.2840,-6.7378,-31.9817,-1.2390,-3.5925,5.6445,-33.2670,5.6445,4.6192,-102.5511,-131.0000,28.4489
Brandon Doughty,-74.9285,-1.5561,-6.3105,-42.3656,-6.4243,-13.0297,6.3561,-69.6862,6.3561,0.0000,-138.2587,-171.0000,32.7413
Dak Prescott,-74.9285,-0.9939,-3.0205,-14.5466,5.0511,-3.4694,7.7339,-16.9793,7.7339,6.9966,-84.1740,-53.0000,-31.1740
Davis Webb,-74.9285,4.1042,6.2993,0.0804,-4.5070,10.5190,-2.1052,16.4959,-2.1052,10.0542,-60.5378,-111.0000,50.4622
Spencer Rattler,-74.9285,-0.0600,7.9921,-33.8796,-5.3645,-4.8964,7.6547,-36.2084,7.6547,4.4988,-103.4821,-106.0000,2.5179
Drake Maye,-74.9285,0.2402,5.2098,48.6538,2.6346,-2.3502,-1.7656,54.3882,-1.7656,15.0000,-22.3060,-10.0000,-12.3060
Jared Goff,-74.9285,-0.2177,-4.2222,43.5258,-7.5855,8.2710,0.1884,39.7714,0.1884,13.3619,-34.9687,-27.0000,-7.9687
Tyler Shough,-74.9285,-0.3508,8.6461,26.3979,-5.8648,-2.2708,-1.6121,26.5576,-1.6121,11.4196,-49.9831,-70.0000,20.0169
Tanner Lee,-74.9285,-2.2344,-4.0607,-35.2920,9.7506,1.6465,-1.4522,-30.1900,-1.4522,4.0993,-106.5706,-182.0000,75.4294
Tanner McKee,-74.9285,-0.7010,-0.7286,-38.0725,-6.9917,-6.6811,0.2048,-53.1749,0.2048,1.3402,-127.8987,-146.0000,18.1013
Davis Mills,-74.9285,0.1349,-0.0731,3.2614,-12.8874,-3.1562,-2.0110,-12.7204,-2.0110,6.2869,-89.6599,-69.0000,-20.6599
Luke Falk,-74.9285,-1.5232,-5.5048,-37.9468,-1.8901,-0.1766,-0.8680,-47.0415,-0.8680,1.9949,-122.8380,-147.0000,24.1620
Chad Kelly,-74.9285,-3.5015,9.0845,-41.8334,5.9890,-6.6540,-4.7916,-36.9154,-4.7916,2.7972,-116.6356,-85.0000,-31.6356
Jalen Hurts,-74.9285,-0.8784,-4.3617,20.9349,0.8406,8.9791,0.4013,25.5145,0.4013,11.5451,-49.0126,-19.0000,-30.0126
Paxton Lynch,-74.9285,-0.5032,-0.0333,50.6609,0.1278,0.6834,-0.2035,50.9356,-0.2035,14.7555,-24.1964,-31.0000,6.8036
Justin Herbert,-74.9285,-0.0777,-3.4200,42.9533,-8.1197,8.3307,0.0981,39.6666,0.0981,13.3367,-35.1639,-15.0000,-20.1639
Stetson Bennett,-74.9285,-0.2357,7.3916,-17.4854,-7.3086,-20.0861,-0.9997,-37.7242,-0.9997,3.1831,-113.6525,-102.0000,-11.6525
Hendon Hooker,-74.9285,-3.2135,9.4170,4.4013,5.4440,-5.5857,-0.4822,10.4631,-0.4822,9.4837,-64.9477,-72.0000,7.0523
