Player,Bias,PDOM+,RDOM+,Draft Capital,Breakout Age,ELU,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Trey Lance,-75.0851,4.1844,-3.3768,51.8615,-1.6191,0.5042,-0.2114,51.5542,-0.2114,14.9540,-23.7425,-41.0000,17.2575
Kellen Mond,-75.0851,0.2380,7.8640,2.4598,0.8791,-1.1026,-1.7348,10.3383,-1.7348,9.3053,-66.4816,-92.0000,25.5184
Nate Sudfeld,-75.0851,0.0075,-1.4904,-36.5863,-4.6199,-15.4984,-3.6142,-58.1875,-3.6142,0.0000,-136.8868,-130.0000,-6.8868
Kyle Trask,-75.0851,0.1176,-4.3125,27.6532,0.4199,0.8446,7.9937,24.7228,7.9937,12.4922,-42.3685,-49.0000,6.6315
Jacoby Brissett,-75.0851,-1.7814,8.7566,4.0227,0.6403,5.2610,7.5779,16.8992,7.5779,11.4033,-50.6080,-162.0000,111.3920
Carson Wentz,-75.0851,4.0729,-7.6801,49.5019,-21.1732,0.5042,-0.8904,25.2257,-0.8904,11.3845,-50.7498,-39.0000,-11.7498
Brandon Allen,-75.0851,8.4523,-4.2490,-31.4616,-4.7973,-0.7872,5.6423,-32.8428,5.6423,4.5732,-102.2856,-131.0000,28.7144
Brandon Doughty,-75.0851,-0.5539,-6.9227,-40.9219,-7.2733,-6.6640,8.2828,-62.3358,8.2828,1.0241,-129.1381,-171.0000,41.8619
Dak Prescott,-75.0851,-0.1362,4.9426,-13.3874,-4.4404,4.9337,9.3712,-8.0877,9.3712,8.3378,-73.8018,-53.0000,-20.8018
Davis Webb,-75.0851,3.8755,7.2795,0.5484,8.5085,-7.1100,-1.9164,13.1019,-1.9164,9.6465,-63.8996,-111.0000,47.1004
Spencer Rattler,-75.0851,-0.1589,6.7466,-35.7058,-5.8700,-7.0984,9.8592,-42.0865,9.8592,3.9088,-107.3124,-106.0000,-1.3124
Drake Maye,-75.0851,0.3326,5.3153,48.7136,-3.2079,2.8471,-2.3101,54.0007,-2.3101,15.0000,-23.3945,-10.0000,-13.3945
Jared Goff,-75.0851,1.3832,-3.3608,44.1403,8.2965,-6.8742,0.2802,43.5850,0.2802,13.9657,-31.2199,-27.0000,-4.2199
Tyler Shough,-75.0851,0.0895,7.7798,26.0138,-2.2716,-9.0239,-3.2239,22.5876,-3.2239,10.7274,-55.7214,-70.0000,14.2786
Tanner Lee,-75.0851,-0.7121,-4.1854,-35.1426,2.6242,10.6352,-1.2871,-26.7807,-1.2871,4.4585,-103.1528,-182.0000,78.8472
Tanner McKee,-75.0851,-0.1039,-1.7123,-36.8421,-6.5358,-9.8349,-1.3491,-55.0290,-1.3491,0.7168,-131.4632,-146.0000,14.5368
Davis Mills,-75.0851,0.1238,0.2398,3.4619,-3.0195,-7.7042,-1.9541,-6.8982,-1.9541,6.9982,-83.9373,-69.0000,-14.9373
Luke Falk,-75.0851,-0.7416,-3.9170,-36.1258,-0.3667,-1.7904,-1.3085,-42.9415,-1.3085,2.3198,-119.3352,-147.0000,27.6648
Chad Kelly,-75.0851,-11.1922,9.2143,-46.1740,-5.9588,5.4030,-1.9602,-48.7077,-1.9602,1.4715,-125.7529,-85.0000,-40.7529
Jalen Hurts,-75.0851,-0.1288,2.3501,21.0673,6.8933,-0.5332,-0.7603,29.6487,-0.7603,11.9863,-46.1967,-19.0000,-27.1967
Paxton Lynch,-75.0851,0.1908,-0.0788,51.1494,1.3074,0.2214,-1.2642,52.7902,-1.2642,14.9782,-23.5592,-31.0000,7.4408
Justin Herbert,-75.0851,0.2099,-2.8241,44.1403,8.1455,-7.0125,0.1542,42.6591,0.1542,13.8267,-32.2718,-15.0000,-17.2718
Stetson Bennett,-75.0851,0.0185,9.4176,-16.9524,-16.4783,-9.7652,-1.3043,-33.7598,-1.3043,3.5338,-110.1492,-102.0000,-8.1492
Hendon Hooker,-75.0851,-6.3398,9.3612,5.7496,0.2318,5.1093,-0.8213,14.1121,-0.8213,9.9248,-61.7943,-72.0000,10.2057
