Player,Bias,PDOM+,RDOM+,Draft Capital,Breakout Age,ELU,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Trey Lance,-74.8171,5.6044,-6.7935,50.8307,-0.4141,1.1004,0.9335,50.3279,0.9335,14.9274,-23.5556,-41.0000,17.4444
Kellen Mond,-74.8171,0.6154,9.6357,1.5260,1.8090,-0.0758,-2.0794,13.5103,-2.0794,9.8048,-63.3861,-92.0000,28.6139
Nate Sudfeld,-74.8171,-0.3699,-0.2224,-37.0079,-2.4745,-7.8600,-0.4634,-47.9347,-0.4634,2.1103,-123.2151,-130.0000,6.7849
Kyle Trask,-74.8171,0.8955,-9.6876,26.5628,-3.8667,0.9657,4.8784,14.8697,4.8784,10.8745,-55.0690,-49.0000,-6.0690
Jacoby Brissett,-74.8171,-2.1620,9.8221,2.8268,-5.3382,3.0506,4.7699,8.1993,4.7699,10.0026,-61.8480,-162.0000,100.1520
Carson Wentz,-74.8171,2.1215,-9.4312,50.4074,-46.4076,0.9649,-0.9861,-2.3450,-0.9861,7.9063,-78.1482,-39.0000,-39.1482
Brandon Allen,-74.8171,8.4627,-7.5820,-33.5289,-3.2363,-0.3392,5.1480,-36.2237,5.1480,4.3381,-105.8928,-131.0000,25.1072
Brandon Doughty,-74.8171,-0.4320,-7.7706,-42.6414,-15.2502,-4.6855,5.9731,-70.7797,5.9731,0.0000,-139.6236,-171.0000,31.3764
Dak Prescott,-74.8171,-0.0273,3.2798,-14.6994,-3.7090,3.8004,6.7349,-11.3555,6.7349,7.7404,-79.4377,-53.0000,-26.4377
Davis Webb,-74.8171,0.3189,7.4352,-1.5731,11.1473,-5.1540,-2.2163,12.1743,-2.2163,9.6154,-64.8592,-111.0000,46.1408
Spencer Rattler,-74.8171,0.4401,8.8539,-31.4911,-4.2507,-6.2178,6.5039,-32.6656,6.5039,4.9701,-100.9787,-106.0000,5.0213
Drake Maye,-74.8171,0.6323,5.1513,48.5489,-2.5622,2.1219,-2.9772,53.8922,-2.9772,14.8828,-23.9020,-10.0000,-13.9020
Jared Goff,-74.8171,0.9986,-5.3422,42.9239,8.4996,-6.2384,-0.5567,40.8415,-0.5567,13.5157,-34.5323,-27.0000,-7.5323
Tyler Shough,-74.8171,-0.4547,8.8974,25.8287,-3.1759,-6.5669,-0.3747,24.5286,-0.3747,11.4411,-50.6632,-70.0000,19.3368
Tanner Lee,-74.8171,-3.4151,-5.8991,-36.6451,2.1493,7.9603,-1.4746,-35.8497,-1.4746,3.5345,-112.1414,-182.0000,69.8586
Tanner McKee,-74.8171,-0.4595,-2.2610,-37.9719,-6.4682,-7.0174,0.8616,-54.1780,0.8616,1.4777,-128.1334,-146.0000,17.8666
Davis Mills,-74.8171,0.6985,0.1152,2.0264,-4.0091,-18.6250,-2.5216,-19.7940,-2.5216,5.4647,-97.1327,-69.0000,-28.1327
Luke Falk,-74.8171,-4.4484,-6.3794,-37.9144,-2.6855,-0.6633,-3.1190,-52.0910,-3.1190,1.2342,-130.0271,-147.0000,16.9729
Chad Kelly,-74.8171,-5.7541,10.2052,-43.0566,-8.8818,4.2633,-2.6606,-43.2240,-2.6606,2.4335,-120.7018,-85.0000,-35.7018
Jalen Hurts,-74.8171,-0.1073,1.8238,20.7060,9.4373,0.5635,0.8145,32.4233,0.8145,12.6094,-41.5793,-19.0000,-22.5793
Paxton Lynch,-74.8171,-0.2043,1.1477,50.5887,1.5137,0.0806,-1.3002,53.1264,-1.3002,15.0000,-22.9908,-31.0000,8.0092
Justin Herbert,-74.8171,0.6692,-3.3633,43.0127,8.7281,-6.6804,-0.2474,42.3663,-0.2474,13.7515,-32.6982,-15.0000,-17.6982
Stetson Bennett,-74.8171,0.5465,10.1239,-16.1341,-15.7552,-7.6458,-2.7808,-28.8647,-2.7808,4.2648,-106.4626,-102.0000,-4.4626
Hendon Hooker,-74.8171,-4.1519,12.2099,4.0391,-6.4213,5.2559,-0.8064,10.9317,-0.8064,9.6369,-64.6917,-72.0000,7.3083
