Player,Bias,PDOM+,RDOM+,Draft Capital,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.8936,3.4166,-5.8377,-5.5861,4.5626,0.3076,-3.4446,0.3076,6.5529,-80.0306,-97.0000,16.9694
Tanner Lee,-76.8936,-1.1378,-5.9104,-38.1803,8.4615,2.0284,-36.7670,2.0284,2.6890,-111.6323,-182.0000,70.3677
Trace McSorley,-76.8936,1.2600,24.8410,-40.8983,-3.5478,-4.7868,-18.3451,-4.7868,4.1081,-100.0255,-94.0000,-6.0255
Deshaun Watson,-76.8936,4.5075,8.0285,50.1757,-3.1343,-0.2173,59.5774,-0.2173,14.1945,-17.5335,-16.0000,-1.5335
DeShone Kizer,-76.8936,-2.8448,-3.2010,32.5242,-0.7183,-2.0731,25.7601,-2.0731,9.8327,-53.2066,-54.0000,0.7934
Davis Mills,-76.8936,3.6946,-7.4843,-5.7586,-4.3441,-1.0268,-13.8924,-1.0268,5.1123,-91.8128,-69.0000,-22.8128
Malik Willis,-76.8936,1.2854,-1.5657,-4.3968,4.2393,1.9819,-0.4378,1.9819,7.1253,-75.3496,-82.0000,6.6504
Christian Hackenberg,-76.8936,-0.3357,-4.1896,33.1527,7.4408,-2.7940,36.0682,-2.7940,11.0050,-43.6194,-59.0000,15.3806
Aidan O'Connell,-76.8936,-4.8297,-7.0275,-10.5331,-3.5380,-4.5907,-25.9283,-4.5907,3.2049,-107.4126,-135.0000,27.5874
Dak Prescott,-76.8936,-3.3639,-2.6396,-14.5127,-2.8866,-5.0746,-23.4028,-5.0746,3.4545,-105.3709,-53.0000,-52.3709
Joshua Dobbs,-76.8936,6.8711,11.1090,-11.3491,0.9238,-1.5444,7.5548,-1.5444,7.6714,-70.8831,-84.0000,13.1169
Bryce Petty,-76.8936,-4.2212,-26.7803,-17.3710,-12.6462,4.2884,-61.0187,4.2884,0.0000,-133.6240,-81.0000,-52.6240
Mitchell Trubisky,-76.8936,-2.7405,15.0391,49.2156,0.2693,4.1640,61.7835,4.1640,15.0000,-10.9461,-32.0000,21.0539
Riley Leonard,-76.8936,-0.1629,6.3439,-47.6391,-8.8180,-3.7297,-50.2761,-3.7297,0.3331,-130.8993,-137.0000,6.1007
Spencer Rattler,-76.8936,3.8724,11.6622,-34.6472,-7.0496,-0.1555,-26.1622,-0.1555,3.7186,-103.2113,-106.0000,2.7887
Baker Mayfield,-76.8936,3.9863,-6.0218,49.1888,2.8142,3.3745,49.9675,3.3745,13.4587,-23.5516,-4.0000,-19.5516
Kevin Hogan,-76.8936,0.2749,-9.0460,-37.3965,-5.3811,-1.5093,-51.5487,-1.5093,0.4490,-129.9516,-121.0000,-8.9516
Cardale Jones,-76.8936,5.2616,-1.2712,-11.1701,3.8482,-1.6460,-3.3315,-1.6460,6.3279,-81.8711,-89.0000,7.1289
Dillon Gabriel,-76.8936,8.2508,13.0698,-9.6030,11.3375,3.0194,23.0551,3.0194,10.1247,-50.8192,-60.0000,9.1808
Jarrett Stidham,-76.8936,3.3519,-1.8826,-11.6474,-5.3985,3.9347,-15.5766,3.9347,5.5130,-88.5355,-104.0000,15.4645
Tua Tagovailoa,-76.8936,-2.4565,-0.7476,49.4539,5.2963,3.5662,51.5461,3.5662,13.6752,-21.7813,-11.0000,-10.7813
Max Duggan,-76.8936,2.8673,15.4060,-43.1409,14.3790,-8.6479,-10.4886,-8.6479,4.5966,-96.0302,-63.0000,-33.0302
Sam Ehlinger,-76.8936,8.0990,9.6281,-36.1029,24.5054,7.3706,6.1296,7.3706,8.5872,-63.3933,-66.0000,2.6067
Jake Fromm,-76.8936,1.2196,-8.1696,-34.2012,2.8368,4.4221,-38.3144,4.4221,2.7924,-110.7859,-91.0000,-19.7859
