Player,Bias,PDOM+,RDOM+,Draft Capital,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.8936,5.1272,-6.5267,-7.4046,4.8415,-0.8348,-3.9626,-0.8348,6.3285,-81.6910,-97.0000,15.3090
Tanner Lee,-76.8936,-2.7864,-5.4830,-37.4967,8.8093,0.3719,-36.9568,0.3719,2.5723,-113.4784,-182.0000,68.5216
Trace McSorley,-76.8936,1.2609,22.2607,-41.2007,-5.6199,-4.5566,-23.2990,-4.5566,3.6038,-104.7492,-94.0000,-10.7492
Deshaun Watson,-76.8936,4.1007,9.8923,49.8824,-1.9716,-0.9943,61.9038,-0.9943,14.0929,-15.9842,-16.0000,0.0158
DeShone Kizer,-76.8936,-1.2804,-6.1824,28.8320,-0.3349,-2.5298,21.0343,-2.5298,9.0820,-58.3891,-54.0000,-4.3891
Davis Mills,-76.8936,2.4032,-8.8682,-7.8926,-6.2946,-1.8343,-20.6522,-1.8343,4.2382,-99.3800,-69.0000,-30.3800
Malik Willis,-76.8936,1.2730,-3.8388,-7.4470,5.4005,-0.9215,-4.6123,-0.9215,6.2415,-82.4274,-82.0000,-0.4274
Christian Hackenberg,-76.8936,-0.5475,-4.1216,31.6086,12.4837,-2.0366,39.4232,-2.0366,11.3133,-39.5070,-59.0000,19.4930
Aidan O'Connell,-76.8936,-5.3922,-8.8806,-10.7899,-5.4343,-1.9415,-30.4970,-1.9415,3.0622,-109.3321,-135.0000,25.6679
Dak Prescott,-76.8936,-2.5403,5.1731,-9.0508,-1.4332,2.6891,-7.8512,2.6891,6.2854,-82.0557,-53.0000,-29.0557
Joshua Dobbs,-76.8936,5.2205,12.8131,-9.6560,-0.2164,-2.1013,8.1612,-2.1013,7.6115,-70.8338,-84.0000,13.1662
Bryce Petty,-76.8936,-1.3444,-18.7751,-13.3753,-9.2031,9.5293,-42.6979,9.5293,2.9760,-110.0622,-81.0000,-29.0622
Mitchell Trubisky,-76.8936,0.5235,15.5588,49.5615,-0.3297,3.2716,65.3141,3.2716,15.0000,-8.3079,-32.0000,23.6921
Riley Leonard,-76.8936,0.6037,7.5547,-47.4026,-6.1234,-4.9922,-45.3676,-4.9922,0.9445,-127.2534,-137.0000,9.7466
Spencer Rattler,-76.8936,3.0597,12.0649,-33.9991,-6.8558,7.8210,-25.7303,7.8210,4.7791,-94.8029,-106.0000,11.1971
Baker Mayfield,-76.8936,4.2078,-6.1119,49.0227,5.8501,2.1185,52.9687,2.1185,13.4049,-21.8064,-4.0000,-17.8064
Kevin Hogan,-76.8936,-0.2174,-10.5096,-37.5517,-7.9690,-2.1051,-56.2477,-2.1051,0.0000,-135.2464,-121.0000,-14.2464
Cardale Jones,-76.8936,5.5449,-3.5145,-10.2223,5.9304,2.3197,-2.2615,2.3197,6.9023,-76.8353,-89.0000,12.1647
Dillon Gabriel,-76.8936,5.7551,11.5756,-11.1372,13.5381,4.1189,19.7316,4.1189,9.7138,-53.0431,-60.0000,6.9569
Jarrett Stidham,-76.8936,2.1074,-3.5844,-9.6663,-7.5482,4.7545,-18.6915,4.7545,5.2485,-90.8306,-104.0000,13.1694
Tua Tagovailoa,-76.8936,0.3595,-0.6341,47.6774,9.0375,5.4762,56.4403,5.4762,14.2119,-14.9772,-11.0000,-3.9772
Max Duggan,-76.8936,1.2034,16.9871,-41.4324,20.4185,-9.5600,-2.8234,-9.5600,5.4321,-89.2771,-63.0000,-26.2771
Sam Ehlinger,-76.8936,5.9166,10.0835,-35.4545,23.1373,10.9131,3.6829,10.9131,8.6202,-62.2976,-66.0000,3.7024
Jake Fromm,-76.8936,1.7445,-8.6234,-34.8371,4.3531,6.4507,-37.3629,6.4507,3.2426,-107.8058,-91.0000,-16.8058
