Player,Bias,PDOM+,RDOM+,Draft Capital,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.1044,-1.7343,-14.1035,-9.8729,-12.1391,-25.7107,-12.1391,1.7203,-113.9542,-97.0000,-16.9542
Tanner Lee,-76.1044,-1.9111,-11.1673,-37.9286,-0.2648,-51.0070,-0.2648,0.0000,-127.3762,-182.0000,54.6238
Trace McSorley,-76.1044,6.9781,22.4921,-34.0671,-0.6502,-4.5969,-0.6502,5.8992,-81.3514,-94.0000,12.6486
Deshaun Watson,-76.1044,7.5561,15.2044,45.0564,-2.0599,67.8169,-2.0599,15.0000,-10.3474,-16.0000,5.6526
DeShone Kizer,-76.1044,3.0117,-13.3665,30.8777,-4.5842,20.5229,-4.5842,8.6146,-60.1656,-54.0000,-6.1656
Davis Mills,-76.1044,7.3233,-10.6144,-10.1541,-2.5307,-13.4452,-2.5307,4.5240,-92.0802,-69.0000,-23.0802
Malik Willis,-76.1044,5.6678,-7.6096,-9.0564,2.9555,-10.9982,2.9555,5.5408,-84.1471,-82.0000,-2.1471
Christian Hackenberg,-76.1044,-4.9924,-5.6754,32.0249,-1.7957,21.3571,-1.7957,9.0789,-56.5430,-59.0000,2.4570
Aidan O'Connell,-76.1044,-12.1846,-9.1204,-15.3267,1.9813,-36.6317,1.9813,2.1304,-110.7547,-135.0000,24.2453
Dak Prescott,-76.1044,-3.1576,23.0663,-10.8978,3.7986,9.0109,3.7986,8.2135,-63.2949,-53.0000,-10.2949
Joshua Dobbs,-76.1044,6.9125,20.6954,-13.2923,-0.4776,14.3156,-0.4776,8.3453,-62.2665,-84.0000,21.7335
Bryce Petty,-76.1044,-12.6740,-17.6265,-14.2727,5.8409,-44.5732,5.8409,1.6072,-114.8368,-81.0000,-33.8368
Mitchell Trubisky,-76.1044,-3.0599,12.0260,43.3800,1.8010,52.3461,1.8010,13.5119,-21.9573,-32.0000,10.0427
Riley Leonard,-76.1044,2.2048,22.1428,-34.2024,-0.9385,-9.8548,-0.9385,5.1883,-86.8977,-137.0000,50.1023
Spencer Rattler,-76.1044,8.6687,18.7142,-27.4694,5.7141,-0.0865,5.7141,7.2930,-70.4768,-106.0000,35.5232
Baker Mayfield,-76.1044,7.4508,-6.5666,50.4020,5.9076,51.2862,5.9076,13.9024,-18.9105,-4.0000,-14.9105
Kevin Hogan,-76.1044,7.4903,-9.3950,-34.4230,-3.4396,-36.3277,-3.4396,1.4746,-115.8717,-121.0000,5.1283
Cardale Jones,-76.1044,10.9713,-7.0162,-15.6224,3.3826,-11.6673,3.3826,5.5098,-84.3891,-89.0000,4.6109
Dillon Gabriel,-76.1044,7.7059,15.4337,-9.1509,3.6302,13.9887,3.6302,8.8300,-58.4854,-60.0000,1.5146
Jarrett Stidham,-76.1044,-3.7538,-6.2008,-15.0545,5.0714,-25.0091,5.0714,4.0162,-96.0422,-104.0000,7.9578
Tua Tagovailoa,-76.1044,2.8961,-5.2139,51.2817,3.0486,48.9639,3.0486,13.2383,-24.0919,-11.0000,-13.0919
Max Duggan,-76.1044,9.4848,20.1066,-41.1620,-3.9706,-11.5706,-3.9706,4.5797,-91.6455,-63.0000,-28.6455
Sam Ehlinger,-76.1044,7.9542,22.6794,-32.8168,6.1360,-2.1832,6.1360,7.0783,-72.1517,-66.0000,-6.1517
Jake Fromm,-76.1044,7.2314,-14.1157,-33.7366,0.2465,-40.6209,0.2465,1.3968,-116.4787,-91.0000,-25.4787
