Player,Bias,PDOM+,RDOM+,Draft Capital,ELU,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-80.2068,-4.0985,2.4371,-4.5639,-2.8399,-3.3379,-9.0652,-3.3379,3.7015,-92.6100,-111.0000,18.3900
Drake Maye,-80.2068,8.6536,6.4097,49.4346,3.1114,-4.6370,67.6093,-4.6370,11.9514,-17.2345,-10.0000,-7.2345
Joe Milton,-80.2068,1.8905,-8.8464,-38.2084,-1.1962,2.7437,-46.3605,2.7437,0.2852,-123.8237,-73.0000,-50.8237
Justin Fields,-80.2068,-1.1002,13.4980,48.1422,-4.7959,-3.6519,55.7441,-3.6519,10.7605,-28.1146,-7.0000,-21.1146
Paxton Lynch,-80.2068,8.3088,-5.0326,55.5323,-1.1203,1.9953,57.6882,1.9953,11.5914,-20.5234,-31.0000,10.4766
Jameis Winston,-80.2068,6.0468,-4.6818,54.7297,3.6392,3.6934,59.7339,3.6934,12.0012,-16.7795,-13.0000,-3.7795
Dillon Gabriel,-80.2068,5.8131,12.6156,-0.5175,-0.5590,3.5304,17.3522,3.5304,7.3447,-59.3242,-60.0000,0.6758
Daniel Jones,-80.2068,-10.5493,12.8012,53.1029,8.6542,-4.2717,64.0090,-4.2717,11.5973,-20.4695,-44.0000,23.5305
Josh Rosen,-80.2068,-4.7357,-4.6226,53.9915,-3.4591,0.5749,41.1741,0.5749,9.6285,-38.4578,-38.0000,-0.4578
Trevor Siemian,-80.2068,2.0391,-8.9560,-36.3118,-3.0391,0.0454,-46.2678,0.0454,0.0000,-126.4293,-198.0000,71.5707
Jaxson Dart,-80.2068,5.2173,4.6213,51.6090,-1.0048,3.5225,60.4428,3.5225,12.0601,-16.2414,-6.0000,-10.2414
Bo Nix,-80.2068,7.9188,12.9063,49.2681,-7.5125,-2.0751,62.5807,-2.0751,11.6814,-19.7012,-29.0000,9.2988
Michael Pratt,-80.2068,-10.7921,19.0075,-33.5478,-1.4927,-4.3673,-26.8251,-4.3673,1.6450,-111.3993,-95.0000,-16.3993
James Morgan,-80.2068,8.9000,-7.4510,-11.4311,-1.5476,1.4153,-11.5297,1.4153,3.9520,-90.3213,-167.0000,76.6787
Lamar Jackson,-80.2068,5.6393,18.6286,53.0838,13.3079,0.1669,90.6596,0.1669,15.0000,10.6197,-12.0000,22.6197
Drew Lock,-80.2068,-34.2493,-5.2713,36.1439,4.8144,-3.8302,1.4377,-3.8302,4.7972,-82.5993,-50.0000,-32.5993
Kellen Mond,-80.2068,8.7704,12.8864,-0.7619,-1.3750,-0.2842,19.5199,-0.2842,7.1644,-60.9710,-92.0000,31.0290
Bryce Petty,-80.2068,-9.5157,-6.4883,-10.3756,-4.3504,4.8631,-30.7300,4.8631,2.2279,-106.0738,-81.0000,-25.0738
Shedeur Sanders,-80.2068,0.2600,-9.0361,-34.0386,3.2012,-2.4814,-39.6135,-2.4814,0.4518,-122.3016,-88.0000,-34.3016
Mike White,-80.2068,8.5661,-9.1008,-35.0353,-1.1265,2.3210,-36.6965,2.3210,1.2967,-114.5823,-108.0000,-6.5823
Sam Ehlinger,-80.2068,8.2560,17.6250,-41.4944,-11.3447,5.5816,-26.9581,5.5816,2.7194,-101.5833,-66.0000,-35.5833
Will Levis,-80.2068,5.7921,2.6580,30.5026,-0.9447,3.0129,38.0080,3.0129,9.5488,-39.1860,-52.0000,12.8140
Davis Mills,-80.2068,5.8188,-5.2965,0.5433,-8.0022,-1.8017,-6.9366,-1.8017,4.1026,-88.9451,-69.0000,-19.9451
Ian Book,-80.2068,-9.4770,18.9195,-9.3217,4.6406,2.3110,4.7614,2.3110,5.8331,-73.1344,-64.0000,-9.1344
