Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,BTT%,RYPA,Breakout Age,TWP%,REC%,Y/REC,PYPA,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Trey Lance,-75.7616,0.8889,-4.9051,49.7255,3.1192,-0.1618,0.8328,-1.8068,-0.7737,0.0223,0.2572,-0.9477,2.6102,5.2160,48.8610,5.2160,14.7608,-21.6846,-41.0000,19.3154
Kellen Mond,-75.7616,1.3122,3.0184,-1.0585,3.7995,-7.2566,0.0718,3.2061,1.8442,0.0295,0.2722,-4.3577,-8.8221,1.4420,-7.9410,1.4420,8.0630,-82.2606,-92.0000,9.7394
Nate Sudfeld,-75.7616,0.4986,-0.1436,-36.2770,-9.9893,8.4223,-0.4192,-1.5931,-0.7258,0.0278,0.3143,3.4075,-7.4828,0.1824,-43.9603,0.1824,3.9410,-119.5395,-130.0000,10.4605
Kyle Trask,-75.7616,0.3813,1.4635,30.7061,3.3204,3.4001,-0.7829,-5.0570,-0.6975,0.0255,0.3624,9.6224,-5.0070,1.0304,37.7373,1.0304,13.0681,-36.9940,-49.0000,12.0060
Jacoby Brissett,-75.7616,2.0568,1.9728,-6.2103,-19.0525,-6.1663,0.3777,-4.3851,-1.1301,0.0286,0.4321,-15.8888,5.1779,-0.2758,-42.7872,-0.2758,4.0201,-118.8246,-162.0000,43.1754
Carson Wentz,-75.7616,-0.1933,-4.7055,49.3374,3.1309,-0.1399,0.7737,-3.6139,-0.5979,-0.2179,-3.2356,-0.8655,3.0761,-0.1353,42.7486,-0.1353,13.4933,-33.1484,-39.0000,5.8516
Brandon Allen,-75.7616,0.4362,-8.5671,-34.5716,4.4290,0.0564,0.0339,-5.5614,-1.0324,0.0221,0.2712,3.2270,3.8874,1.6552,-37.3693,1.6552,4.8327,-111.4756,-131.0000,19.5244
Brandon Doughty,-75.7616,0.4270,-3.1531,-38.7777,8.9715,-1.9121,-0.6442,-8.3850,-1.2542,0.0192,-0.7583,4.1807,-10.5824,0.8092,-51.8686,0.8092,3.1359,-126.8209,-171.0000,44.1791
Dak Prescott,-75.7616,0.8946,5.5817,-13.4879,6.4641,-0.3521,-0.0208,-2.9778,-1.0576,-0.2874,-4.7407,3.7591,4.3859,1.7067,-1.8389,1.7067,8.7670,-75.8937,-53.0000,-22.8937
Davis Webb,-75.7616,2.3600,1.6279,-6.7983,-13.9922,2.4513,-0.9837,13.8119,-0.9037,0.0167,0.2320,-13.1668,-5.9117,-1.6853,-21.2566,-1.6853,6.2449,-98.7035,-111.0000,12.2965
Spencer Rattler,-75.7616,1.6591,2.5978,-30.0509,8.9583,-4.4040,-0.0057,-5.8496,1.5146,0.0278,0.4761,-4.4403,7.3947,1.9349,-22.1221,1.9349,6.5495,-95.9489,-106.0000,10.0511
Drake Maye,-75.7616,0.4839,2.7493,43.7189,2.5648,3.5136,1.1627,-2.0088,-0.0346,-0.2700,0.2071,-1.7636,3.3893,-3.1837,53.7126,-3.1837,14.3685,-25.2326,-10.0000,-15.2326
Jared Goff,-75.7616,0.8935,-3.1039,45.6377,1.3294,3.3465,0.3354,7.9161,-0.5178,0.0188,-3.0558,-0.0221,-5.5455,-1.4928,47.2323,-1.4928,13.8389,-30.0222,-27.0000,-3.0222
Tyler Shough,-75.7616,-1.1107,2.3673,30.7621,0.7795,-2.4778,0.7040,-4.3767,1.3416,0.0309,0.3456,9.3907,6.2510,-1.4665,44.0075,-1.4665,13.4853,-33.2206,-70.0000,36.7794
Tanner Lee,-75.7616,1.2516,-1.9035,-40.1381,-16.1505,-9.4599,-0.5693,3.0461,-1.4750,0.0205,0.3771,-7.2018,-7.6455,0.4272,-79.8483,0.4272,0.0000,-155.1827,-182.0000,26.8173
Tanner McKee,-75.7616,-2.2906,-1.8048,-37.8971,3.0173,-3.3795,-0.3085,-9.7245,1.8388,0.0306,0.5790,-12.1107,-7.5149,-0.6544,-69.5649,-0.6544,1.0174,-145.9809,-146.0000,0.0191
Davis Mills,-75.7616,-0.3376,-1.0453,-3.5202,3.8919,3.2338,-0.8696,-5.9998,2.1164,0.0283,0.5762,-6.6901,3.0443,-0.5093,-5.5717,-0.5093,8.1092,-81.8426,-69.0000,-12.8426
Luke Falk,-75.7616,-1.3828,-2.7270,-38.0665,9.0376,-6.4030,-0.4037,-6.1810,-1.6229,0.0297,0.4412,-15.5815,-9.3320,-2.5882,-72.1919,-2.5882,0.5132,-150.5417,-147.0000,-3.5417
Chad Kelly,-75.7616,-1.0789,6.1328,-36.8836,5.6928,2.0631,0.0521,-5.7770,-0.8957,0.0194,0.4155,5.1955,8.3487,0.5282,-16.7153,0.5282,6.9918,-91.9484,-85.0000,-6.9484
Jalen Hurts,-75.7616,-1.2633,4.1383,25.2382,4.3227,0.5084,1.3747,9.3926,-0.6954,0.0163,-3.6042,8.4892,3.8690,4.4536,51.7865,4.4536,15.0000,-19.5214,-19.0000,-0.5214
Paxton Lynch,-75.7616,-0.6155,-1.0451,48.3855,4.1674,-4.9987,-0.9867,1.4741,-0.3740,0.0293,0.3461,-0.0024,-4.4812,-0.5844,41.8988,-0.5844,13.3497,-34.4470,-31.0000,-3.4470
Justin Herbert,-75.7616,1.2999,-1.4566,40.7552,0.5541,0.3251,0.5386,9.2502,-0.3101,0.0169,0.2722,-6.9295,2.6230,-1.7787,46.9390,-1.7787,13.7749,-30.6012,-15.0000,-15.6012
Stetson Bennett,-75.7616,0.7626,3.2857,-11.9480,5.5330,4.3261,-0.1943,-4.2314,0.9704,0.0298,0.2927,6.0266,-8.3175,-1.6479,-3.4643,-1.6479,8.2163,-80.8737,-102.0000,21.1263
Hendon Hooker,-75.7616,-1.5162,4.0275,-3.6645,6.8125,-0.0637,0.2670,-3.8029,1.6700,0.0308,0.4232,7.8903,5.2721,-0.7072,17.3461,-0.7072,10.6213,-59.1228,-72.0000,12.8772
