Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,Breakout Age,TWP%,BTT%,CC%,YAC/R,REC%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.2123,3.2703,-5.2143,-8.8911,-11.9508,6.6223,0.8788,7.6512,0.0000,-0.4952,0.0000,-0.2280,-8.1288,-0.2280,7.0579,-84.5692,-97.0000,12.4308
Tanner Lee,-76.2123,-0.4825,-2.4723,-40.5017,-20.2948,5.1128,-4.8159,-11.3990,0.0000,-0.3284,0.0000,0.7633,-75.1818,0.7633,0.0000,-150.6309,-182.0000,31.3691
Trace McSorley,-76.2123,1.9552,7.8378,-38.3737,-24.0045,-9.5463,-1.1223,11.7737,0.0000,-0.3234,0.0000,-2.8471,-51.8035,-2.8471,2.1120,-130.8630,-94.0000,-36.8630
Deshaun Watson,-76.2123,1.7661,9.1093,44.0345,6.9238,0.2325,0.1561,3.3625,0.0000,-0.4148,0.0000,0.8110,65.1700,0.8110,15.0000,-10.2314,-16.0000,5.7686
DeShone Kizer,-76.2123,-0.3232,-5.0752,37.0861,-11.2872,1.3687,-0.6109,-4.1994,0.0000,-0.5429,0.0000,-0.5840,16.4160,-0.5840,9.6422,-60.3802,-54.0000,-6.3802
Davis Mills,-76.2123,0.5699,-3.8927,-5.7524,10.1892,-6.1681,4.2108,11.9121,0.0000,-0.2263,0.0000,-0.7257,10.8425,-0.7257,9.0316,-66.0956,-69.0000,2.9044
Malik Willis,-76.2123,0.9161,-6.5459,-4.7224,15.2833,2.0587,3.2080,-4.1905,0.0000,-0.2198,0.0000,-0.5290,5.7875,-0.5290,8.5125,-70.9538,-82.0000,11.0462
Christian Hackenberg,-76.2123,2.2193,-2.5549,35.7265,-13.9074,15.6945,1.0077,-8.9744,0.0000,-0.8250,0.0000,-2.2675,28.3863,-2.2675,10.7412,-50.0934,-59.0000,8.9066
Aidan O'Connell,-76.2123,-2.2183,-9.9338,-19.8844,6.0889,-9.6432,-5.3234,-10.8685,0.0000,-0.2863,0.0000,-1.8172,-52.0690,-1.8172,2.1936,-130.0986,-135.0000,4.9014
Dak Prescott,-76.2123,1.9542,11.8413,-17.2121,7.6333,-0.1837,-0.5688,-3.8768,0.0000,-1.9756,0.0000,1.5640,-2.3882,1.5640,7.8627,-77.0365,-53.0000,-24.0365
Joshua Dobbs,-76.2123,0.6001,10.4204,-20.2778,-3.5443,4.1640,-0.3534,-7.6351,0.0000,2.7984,0.0000,-4.3090,-13.8277,-4.3090,6.0130,-94.3492,-84.0000,-10.3492
Bryce Petty,-76.2123,-1.1591,-3.4779,-17.5737,-2.3865,-11.0961,-0.4834,7.9410,0.0000,-0.3580,0.0000,-0.5691,-28.5937,-0.5691,4.8350,-105.3752,-81.0000,-24.3752
Mitchell Trubisky,-76.2123,1.8279,7.0933,43.0815,7.6485,-6.4399,-0.3620,1.2654,0.0000,-1.4535,0.0000,3.4467,52.6612,3.4467,13.9452,-20.1044,-32.0000,11.8956
Riley Leonard,-76.2123,2.5332,9.5486,-34.4728,3.1187,1.0682,3.6892,-10.4636,0.0000,-0.2309,0.0000,-2.7747,-25.2094,-2.7747,4.9610,-104.1964,-137.0000,32.8036
Spencer Rattler,-76.2123,1.9285,8.2149,-29.5066,11.8583,-0.2661,1.0914,-5.3155,0.0000,-0.1950,0.0000,2.4776,-12.1901,2.4776,6.9131,-85.9248,-106.0000,20.0752
Baker Mayfield,-76.2123,1.5586,-4.6459,45.3278,8.1729,1.9620,-0.2791,5.3546,0.0000,2.9555,0.0000,0.3564,60.4064,0.3564,14.4425,-15.4495,-4.0000,-11.4495
Kevin Hogan,-76.2123,1.1204,-2.5475,-29.6840,9.4719,-9.3412,-1.1033,7.1687,0.0000,0.5770,0.0000,-2.2796,-24.3380,-2.2796,5.1070,-102.8299,-121.0000,18.1701
Cardale Jones,-76.2123,0.0489,-1.8459,-21.4884,-17.9968,0.7133,-0.2551,-8.1609,0.0000,-0.3106,0.0000,0.3614,-49.2955,0.3614,2.7227,-125.1464,-89.0000,-36.1464
Dillon Gabriel,-76.2123,1.7834,6.5086,-8.5926,5.7555,13.1181,1.0727,4.7141,0.0000,-0.3832,0.0000,4.4442,23.9766,4.4442,10.9872,-47.7913,-60.0000,12.2087
Jarrett Stidham,-76.2123,0.9930,-1.3165,-18.3619,-3.8957,-9.6841,-1.6818,-1.5834,0.0000,-0.4045,0.0000,4.6051,-35.9349,4.6051,4.6035,-107.5421,-104.0000,-3.5421
Tua Tagovailoa,-76.2123,-0.6220,-1.7251,45.7859,7.9408,2.5112,2.2354,8.8472,0.0000,-0.2785,0.0000,-0.1005,64.6949,-0.1005,14.8519,-11.6179,-11.0000,-0.6179
Max Duggan,-76.2123,1.7882,8.9333,-33.9061,5.1902,19.0693,-0.4833,-2.0376,0.0000,-0.2667,0.0000,-2.6498,-1.7127,-2.6498,7.4846,-80.5748,-63.0000,-17.5748
Sam Ehlinger,-76.2123,2.0706,10.4096,-31.2929,-2.4393,17.4806,2.7674,6.0416,0.0000,-0.8571,0.0000,0.3990,4.1805,0.3990,8.4400,-71.6329,-66.0000,-5.6329
Jake Fromm,-76.2123,1.0360,-2.3058,-32.7956,-20.0014,9.0443,2.4739,-1.4101,0.0000,-0.4021,0.0000,0.3523,-44.3608,0.3523,3.2490,-120.2207,-91.0000,-29.2207
