Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,RYPA,Breakout Age,CC%,BTT%,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.8936,0.4662,-6.2701,-9.6751,-5.3034,-8.2706,5.8425,0.0000,7.9581,-7.0532,1.5573,-22.3056,1.5573,5.8570,-97.6420,-97.0000,-0.6420
Tanner Lee,-76.8936,-1.4846,0.1898,-39.4920,-20.8964,-4.7558,6.4716,0.0000,-9.2438,-10.1745,-0.2385,-79.3857,-0.2385,0.0000,-156.5180,-182.0000,25.4820
Trace McSorley,-76.8936,0.1012,3.6017,-39.3166,-19.5956,-0.7931,-7.2614,0.0000,10.7745,7.3195,-2.5236,-45.1698,-2.5236,3.1765,-124.5871,-94.0000,-30.5871
Deshaun Watson,-76.8936,0.0901,2.7230,44.6705,5.0948,-2.0020,-1.0510,0.0000,1.6026,4.1733,1.0551,55.3013,1.0551,13.5274,-20.5372,-16.0000,-4.5372
DeShone Kizer,-76.8936,-1.9820,-3.6948,34.7547,-7.6808,-3.9765,-0.8784,0.0000,-0.8062,4.1649,0.3890,19.9009,0.3890,9.9395,-56.6036,-54.0000,-2.6036
Davis Mills,-76.8936,-0.0561,0.5241,-6.0538,6.7001,-0.6984,-6.2664,0.0000,6.5123,-0.2598,-0.8004,0.4020,-0.8004,7.8814,-77.2920,-69.0000,-8.2920
Malik Willis,-76.8936,-1.0253,-0.6980,-6.8565,18.8999,2.4189,-0.5357,0.0000,-3.3582,6.8517,0.5799,15.6968,0.5799,9.5403,-60.6168,-82.0000,21.3832
Christian Hackenberg,-76.8936,0.3297,-1.3053,28.7030,-18.0197,-1.7297,12.1415,0.0000,-4.2385,-3.1914,-0.9402,12.6896,-0.9402,9.0899,-65.1442,-59.0000,-6.1442
Aidan O'Connell,-76.8936,0.1902,-5.4137,-14.7169,7.0705,-2.1176,-6.8544,0.0000,-6.7725,-13.1872,-1.2700,-41.8016,-1.2700,3.6363,-119.9652,-135.0000,15.0348
Dak Prescott,-76.8936,0.3996,3.6425,-10.5501,8.1050,-0.9487,-1.7990,0.0000,-1.0408,4.8097,-1.9187,2.6182,-1.9187,7.9907,-76.1939,-53.0000,-23.1939
Joshua Dobbs,-76.8936,0.4512,2.9928,-15.5251,-3.4519,2.6800,5.6666,0.0000,-4.2052,7.6438,-1.8083,-3.7478,-1.8083,7.3683,-82.4495,-84.0000,1.5505
Bryce Petty,-76.8936,-0.7350,0.0779,-13.5593,-3.8089,-0.5792,-9.0326,0.0000,5.0667,-9.9642,-0.0225,-32.5346,-0.0225,4.6823,-109.4506,-81.0000,-28.4506
Mitchell Trubisky,-76.8936,0.1750,1.4396,42.0101,5.0127,-0.5055,-4.8175,0.0000,1.0519,6.4507,1.1659,50.8170,1.1659,13.0923,-24.9107,-32.0000,7.0893
Riley Leonard,-76.8936,2.6614,2.9143,-36.3353,9.2410,2.8681,-4.5877,0.0000,-4.4968,11.6559,-1.8763,-16.0791,-1.8763,6.1348,-94.8490,-137.0000,42.1510
Spencer Rattler,-76.8936,0.2898,1.2290,-32.5544,10.4686,-0.7794,-2.7526,0.0000,-4.4745,10.4144,-1.8624,-18.1591,-1.8624,5.9293,-96.9152,-106.0000,9.0848
Baker Mayfield,-76.8936,-0.0931,0.3256,46.4419,4.3060,-1.6408,4.0953,0.0000,5.3389,3.8343,2.4724,62.6081,2.4724,14.3953,-11.8133,-4.0000,-7.8133
Kevin Hogan,-76.8936,0.0769,0.8084,-29.7772,8.2671,1.0412,-7.2096,0.0000,5.7878,12.1016,-1.6998,-8.9038,-1.6998,6.8662,-87.4974,-121.0000,33.5026
Cardale Jones,-76.8936,1.2661,-0.1528,-16.9157,-18.7369,-0.7850,-2.1547,0.0000,-5.0455,7.9597,0.8849,-34.5648,0.8849,4.5706,-110.5735,-89.0000,-21.5735
Dillon Gabriel,-76.8936,0.3167,1.2886,-9.2259,4.7263,-0.8497,10.3787,0.0000,4.2996,-4.2406,1.6345,6.6937,1.6345,8.7495,-68.5653,-60.0000,-8.5653
Jarrett Stidham,-76.8936,0.0663,-0.2194,-14.1248,-3.2591,-0.6267,-7.3845,0.0000,-1.5247,1.4871,2.4544,-25.5858,2.4544,5.6199,-100.0249,-104.0000,3.9751
Tua Tagovailoa,-76.8936,-0.0167,0.4404,46.1057,3.9892,-0.8207,7.9582,0.0000,5.2749,6.0996,2.1288,69.0306,2.1288,15.0000,-5.7342,-11.0000,5.2658
Max Duggan,-76.8936,0.6802,3.0932,-29.8353,6.5250,-0.5711,24.7392,0.0000,0.5884,6.2963,-3.0902,11.5159,-3.0902,8.7592,-68.4680,-63.0000,-5.4680
Sam Ehlinger,-76.8936,0.8447,4.3234,-30.8021,-3.1102,0.8032,25.0536,0.0000,3.1929,7.9939,-2.3343,8.2994,-2.3343,8.5145,-70.9285,-66.0000,-4.9285
Jake Fromm,-76.8936,0.4814,-0.7044,-39.1777,-15.4318,-1.3979,6.7315,0.0000,-0.6204,-7.1335,0.9581,-57.2528,0.9581,2.3208,-133.1884,-91.0000,-42.1884
