Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,10+,PYPA,RYPA,Breakout Age,ADJ%,BTT%,REC%,YAC/R,Y/REC,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-76.0337,2.6789,-3.3007,-11.6864,-4.8563,-4.7533,-17.1760,-2.7719,6.1554,-4.8109,2.4288,-0.1036,-0.2457,-0.1801,0.9371,-38.6218,0.9371,3.7890,-113.7183,-97.0000,-16.7183
Tanner Lee,-76.0337,1.2870,0.5847,-40.8443,-12.8980,-6.0814,-2.7261,-2.3830,5.8152,-4.5476,-6.8318,-0.1237,-0.1213,-0.1474,-0.6614,-69.0177,-0.6614,0.0000,-145.7129,-182.0000,36.2871
Trace McSorley,-76.0337,1.7295,-0.7370,-38.6003,-18.8688,6.8829,-0.2163,-0.8730,-9.4468,-4.9650,5.5245,-0.1017,-0.1567,-0.1456,-1.7905,-59.9743,-1.7905,0.9373,-137.7982,-94.0000,-43.7982
Deshaun Watson,-76.0337,0.4092,0.5176,43.0275,3.9469,5.6762,-0.3577,-1.9401,-0.1228,0.8494,1.2409,-0.1181,-0.1373,-0.2157,-0.1469,52.7760,-0.1469,14.4843,-23.4046,-16.0000,-7.4046
DeShone Kizer,-76.0337,-2.2305,-3.0070,37.1475,-4.2591,2.2281,2.9662,-1.9311,-0.3484,-3.5876,-1.2528,-0.1114,-0.2243,-0.2429,-0.8505,25.1467,-0.8505,11.1290,-51.7374,-54.0000,2.2626
Davis Mills,-76.0337,-0.0333,-0.3403,-6.5523,6.8266,-1.8188,-5.5810,-1.6715,-7.9051,4.3854,5.8185,-0.1225,-0.2173,-0.1319,-0.2568,-7.3435,-0.2568,7.3517,-83.6340,-69.0000,-14.6340
Malik Willis,-76.0337,-0.9679,-2.7267,-5.8454,6.9504,-2.0010,-4.4311,4.9472,-0.0617,3.6778,0.0217,-0.1285,-0.0847,-0.1083,-1.1747,-0.7582,-1.1747,8.0229,-77.9665,-82.0000,4.0335
Christian Hackenberg,-76.0337,0.9346,1.1136,38.5782,-7.9007,-1.5779,-14.5724,-2.5206,15.2947,-4.2168,-3.5954,0.7634,-1.4978,-0.2241,-1.4277,20.5788,-1.4277,10.5197,-56.8826,-59.0000,2.1174
Aidan O'Connell,-76.0337,-1.6392,-5.5047,-20.9727,4.2297,-5.5504,-12.4451,-1.4577,-10.3950,-0.5388,-5.8234,-0.1036,-0.0242,-0.1679,-0.1851,-60.3930,-0.1851,1.0778,-136.6117,-135.0000,-1.6117
Dak Prescott,-76.0337,1.1713,3.3165,-13.7986,5.9208,5.7731,3.1570,-1.2344,-0.9094,-0.0471,-0.1929,0.8504,-2.2020,-0.1478,-0.8730,1.6569,-0.8730,8.3446,-75.2498,-53.0000,-22.2498
Joshua Dobbs,-76.0337,1.5133,2.8502,-17.5714,0.2255,5.6281,0.8970,5.2671,4.8264,-0.1038,-5.1092,-0.0975,1.8395,0.9072,-2.6232,1.0724,-2.6232,8.0681,-77.5844,-84.0000,6.4156
Bryce Petty,-76.0337,-2.6913,-0.8555,-15.6922,-1.1244,-3.0697,2.3146,-1.6701,-10.9984,-1.1330,3.9474,-0.1114,-0.1704,-0.1362,-0.4673,-31.3906,-0.4673,4.4790,-107.8915,-81.0000,-26.8915
Mitchell Trubisky,-76.0337,2.1903,0.3971,41.3050,3.8180,0.3680,2.0380,0.5885,-7.6289,-1.1465,-0.2117,1.0415,-1.9978,-0.2193,2.4724,40.5422,2.4724,13.3458,-33.0190,-32.0000,-1.0190
Riley Leonard,-76.0337,0.0477,2.8933,-35.2744,1.0728,6.0212,-2.4232,5.2244,1.5417,-4.9046,-4.9944,-0.1003,-0.0912,-0.1447,-1.3306,-31.1317,-1.3306,4.4074,-108.4960,-137.0000,28.5040
Spencer Rattler,-76.0337,1.8184,2.8595,-31.6538,7.7366,3.2505,-1.6933,-1.2226,-0.2754,4.2557,-1.3138,-0.1357,-0.0359,-0.1004,1.5766,-16.5102,1.5766,6.4833,-90.9671,-106.0000,15.0329
Baker Mayfield,-76.0337,-0.1406,-1.6891,43.8087,2.3663,0.3643,5.9006,-2.0160,-0.2717,3.4264,2.0479,-0.1211,2.5617,0.9823,-0.2362,57.2197,-0.2362,15.0000,-19.0502,-4.0000,-15.0502
Kevin Hogan,-76.0337,-0.3146,0.3306,-31.9938,7.1715,0.0402,3.8985,3.3428,-9.0058,0.1314,3.3770,1.0806,-0.0499,-0.1419,-2.4326,-22.1334,-2.4326,5.3425,-100.5997,-121.0000,20.4003
Cardale Jones,-76.0337,-1.9049,1.2073,-18.4486,-9.4337,0.1881,1.7743,-1.2792,-0.6655,-0.0504,-3.1396,-0.1343,-0.1117,-0.1020,0.3007,-32.1002,0.3007,4.4859,-107.8331,-89.0000,-18.8331
Dillon Gabriel,-76.0337,2.7493,1.8520,-7.6064,3.5115,-0.1199,3.0016,-0.7763,14.4675,1.3006,1.5505,-0.1173,-0.2147,-0.1442,4.2258,19.4542,4.2258,11.0560,-52.3537,-60.0000,7.6463
Jarrett Stidham,-76.0337,1.0921,2.1624,-17.0503,-2.1052,-1.1643,-1.5221,-1.2891,-10.3980,-0.4850,1.2420,1.6616,-0.1182,-0.1345,4.9142,-28.1086,4.9142,5.5050,-99.2281,-104.0000,4.7719
Tua Tagovailoa,-76.0337,-2.4297,3.0003,43.7236,1.9489,-2.6326,5.3040,0.3283,2.3101,1.0148,4.5197,-0.1119,-0.2528,-0.2041,-0.5258,56.5186,-0.5258,14.8827,-20.0409,-11.0000,-9.0409
Max Duggan,-76.0337,1.5958,3.1095,-32.1450,5.0750,6.3820,2.3174,-0.7752,17.8819,-0.0568,0.3259,-0.0965,-0.4134,0.7516,-1.9598,3.9522,-1.9598,8.4877,-74.0411,-63.0000,-11.0411
Sam Ehlinger,-76.0337,-0.1039,2.6153,-32.6948,-0.5044,6.6516,-0.6961,1.8990,16.5690,-4.1242,2.6059,-0.1018,-1.4610,-0.1186,0.0204,-9.4640,0.0204,7.1334,-85.4772,-66.0000,-19.4772
Jake Fromm,-76.0337,2.2892,0.8068,-36.1941,-14.8113,-2.5388,0.8668,-1.6778,9.6982,-5.1043,1.1814,-0.1303,-0.1875,-0.1634,0.1439,-45.9651,0.1439,2.8254,-121.8548,-91.0000,-30.8548
