Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,PYPA,ADJ%,TWP%,10+,YCO/A,Breakout Age,Y/REC,YAC/R,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-80.3617,1.0534,-2.9511,-7.2980,-12.6790,-20.7782,-3.2443,-4.4050,-7.0723,-4.2940,23.9760,-0.2699,0.2065,-0.6793,-37.7559,-0.6793,4.7441,-118.7967,-111.0000,-7.7967
Drake Maye,-80.3617,1.8781,1.8423,44.4961,4.1482,0.1093,-0.8672,-0.1032,6.3925,4.3255,-0.4004,-0.3727,-0.0603,0.0738,61.3882,0.0738,13.7100,-18.8997,-10.0000,-8.8997
Joe Milton,-80.3617,-3.3306,0.0012,-33.9937,3.5061,1.0850,-0.7749,-0.3189,-2.0914,3.5254,-3.0392,-0.7046,0.2038,0.5863,-35.9318,0.5863,5.0214,-115.7072,-73.0000,-42.7072
Justin Fields,-80.3617,-5.6801,1.0402,51.1867,2.6661,8.2858,8.1117,0.4948,-0.7762,4.3505,-0.7535,-0.4760,-0.0653,0.3750,68.3847,0.3750,14.3650,-11.6020,-7.0000,-4.6020
Paxton Lynch,-80.3617,0.0891,0.6000,50.6938,4.1590,1.8853,0.4401,-0.5452,-1.5150,-2.2450,1.0029,-0.6871,0.0993,0.8014,53.9772,0.8014,13.1102,-25.5829,-31.0000,5.4171
Jameis Winston,-80.3617,-0.3129,0.4959,47.9881,4.7633,-0.7393,-0.1847,0.8654,-1.5429,4.1741,0.2661,-0.3763,0.0148,5.8858,55.4116,5.8858,13.6953,-19.0642,-13.0000,-6.0642
Dillon Gabriel,-80.3617,1.5766,-0.0178,-1.1627,4.3627,4.3912,0.5784,-0.5587,-2.0520,-2.6672,18.9552,-0.4326,0.1839,1.3450,23.1570,1.3450,10.3928,-55.8597,-60.0000,4.1403
Daniel Jones,-80.3617,1.5216,-2.8182,42.5338,-14.0954,-30.7082,-0.4372,1.0047,4.7947,1.4094,6.0812,1.9466,-0.0588,-0.3593,11.1742,-0.3593,9.1644,-69.5468,-44.0000,-25.5468
Josh Rosen,-80.3617,-0.6774,1.5762,46.4506,-9.7694,-0.2145,-0.0731,-1.1714,-1.3920,-4.0067,20.9917,-0.3225,0.1243,1.4851,51.5158,1.4851,12.9507,-27.3607,-38.0000,10.6393
Trevor Siemian,-80.3617,0.7783,-0.2060,-30.5718,-11.0331,-21.1482,-3.4099,1.1771,-1.9926,-9.2119,-9.8289,-1.1936,-5.3093,0.6564,-91.9499,0.6564,0.0000,-171.6551,-198.0000,26.3449
Jaxson Dart,-80.3617,1.3805,-0.0809,48.8848,0.4898,11.4101,0.5147,-0.4398,6.4204,3.8212,3.1844,-0.4839,-0.0341,0.7673,75.0672,0.7673,15.0000,-4.5273,-6.0000,1.4727
Bo Nix,-80.3617,1.1156,0.2077,48.2396,4.5198,0.3075,0.4950,0.4581,-1.4888,1.8261,0.2455,-0.3492,-0.0289,0.4231,55.5480,0.4231,13.2172,-24.3906,-29.0000,4.6094
Michael Pratt,-80.3617,0.0494,0.9543,-30.3841,5.1222,3.7893,-0.8856,-0.1610,-1.3361,6.3311,-7.1201,-0.6581,0.1617,0.0238,-24.1370,0.0238,6.0295,-104.4751,-95.0000,-9.4751
James Morgan,-80.3617,-4.0327,1.3943,-5.7278,-10.3626,-7.1103,-0.6504,1.6854,-7.0837,-6.7458,-10.5746,-0.5669,0.2816,0.7421,-49.4935,0.7421,3.8182,-129.1133,-167.0000,37.8867
Lamar Jackson,-80.3617,-0.7718,-0.7762,37.4530,-15.3485,1.9571,-0.9933,-0.0911,5.2674,2.6049,15.8040,-0.4088,-0.0564,0.5261,44.6403,0.5261,12.2475,-35.1953,-12.0000,-23.1953
Drew Lock,-80.3617,-5.3445,0.8713,36.2678,-13.5385,3.3497,-0.3549,0.0856,-1.6273,-2.1878,-1.1615,-0.4879,0.2063,-0.1109,16.0783,-0.1109,9.6268,-64.3944,-50.0000,-14.3944
Kellen Mond,-80.3617,1.8695,-2.4492,2.4818,-2.4191,-2.8072,-0.7347,0.7243,-0.8896,-4.2565,6.7633,-0.3578,0.1647,0.4113,-1.9105,0.4113,8.0592,-81.8609,-92.0000,10.1391
Bryce Petty,-80.3617,0.4005,-0.9496,-7.0337,-0.7628,4.2639,-0.2325,-0.4230,-2.0749,-6.3494,-10.4028,-0.6948,0.2879,5.5048,-23.9712,5.5048,6.5363,-98.8281,-81.0000,-17.8281
Shedeur Sanders,-80.3617,1.9406,-0.1914,-30.4514,1.5227,3.8187,8.8537,0.6236,-2.0635,7.4825,-7.5429,-0.4375,0.1634,0.9092,-16.2815,0.9092,6.8140,-95.7340,-88.0000,-7.7340
