Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,YAC/R,REC%,TWP%,RYPA,YCO/A,10+,CC%,Y/REC,BTT%,Breakout Age,ADJ%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-80.3617,0.6155,-1.0989,-6.9190,-18.8664,-0.0924,-0.3270,-7.5966,2.2916,-6.0309,-5.4325,0.0000,-0.6193,1.3443,21.4119,-3.2049,-3.1512,-24.5246,-3.1512,6.0507,-108.0375,-111.0000,2.9625
Drake Maye,-80.3617,0.6134,5.3217,45.0080,2.7870,-0.2251,2.1728,-0.1681,-0.1755,4.3568,7.3956,0.0000,-0.5435,12.3254,-0.5848,-0.8289,-1.9766,77.4548,-1.9766,14.8438,-4.8836,-10.0000,5.1164
Joe Milton,-80.3617,-3.2891,0.7425,-33.2479,3.7484,-0.1581,-0.3270,-0.9285,-0.5425,3.3526,-2.5755,0.0000,-0.9848,-0.8824,-3.7092,-0.5625,0.8339,-39.3640,0.8339,5.1255,-118.8919,-73.0000,-45.8919
Justin Fields,-80.3617,-0.9310,0.9746,51.4068,6.9218,-0.1863,-0.2006,1.5485,-0.2981,3.5722,-0.2835,0.0000,-0.7125,13.1158,-0.1403,4.2609,-1.7373,79.0483,-1.7373,15.0000,-3.0508,-7.0000,3.9492
Paxton Lynch,-80.3617,0.3271,0.8373,48.2250,4.6609,-0.1744,-0.3270,-1.1141,0.1972,0.3986,-1.2416,0.0000,-0.7611,-11.1957,3.3237,1.1590,0.5531,44.3149,0.5531,12.2345,-35.4935,-31.0000,-4.4935
Jameis Winston,-80.3617,-0.2133,-0.1216,45.6317,4.7308,-0.1636,-0.3270,2.2581,-0.1442,5.0458,-1.3764,0.0000,-0.4136,-13.7498,3.5590,1.1645,6.5480,45.8804,6.5480,12.8790,-27.9332,-13.0000,-14.9332
Dillon Gabriel,-80.3617,-0.0127,0.4923,-3.3159,3.9495,-0.1411,-0.2280,-0.8465,-1.2613,-2.2774,-3.0089,0.0000,-0.7040,4.8871,18.6736,0.7469,1.7453,16.9536,1.7453,10.0038,-61.6627,-60.0000,-1.6627
Daniel Jones,-80.3617,-0.6601,-0.8812,40.0229,-20.9209,-0.1111,-0.3270,0.4756,-1.2843,3.6065,5.4064,0.0000,3.1452,-16.7102,4.9343,1.2576,-1.1564,17.9537,-1.1564,9.8417,-63.5644,-44.0000,-19.5644
Josh Rosen,-80.3617,-0.2133,0.0821,41.3965,-14.4102,-0.2024,-0.2280,-6.6982,0.3211,-6.5121,-2.4503,0.0000,-0.6498,10.1463,20.5279,0.9572,2.0063,42.0668,2.0063,12.1667,-36.2886,-38.0000,1.7114
Trevor Siemian,-80.3617,0.2351,0.7074,-30.9619,-16.4065,-0.9238,-0.2917,-0.2220,1.3217,-12.8631,-2.1046,0.0000,-0.6200,-20.2082,-13.1990,-4.2047,1.0829,-99.7413,1.0829,0.0000,-179.0200,-198.0000,18.9800
Jaxson Dart,-80.3617,-0.1947,0.4201,44.8687,5.2080,-0.1744,-0.2280,-0.8330,-0.4114,3.7654,7.4101,0.0000,-0.5586,12.1512,2.8732,1.1344,-0.0471,75.4310,-0.0471,14.8357,-4.9780,-6.0000,1.0220
Bo Nix,-80.3617,0.4018,0.9523,46.1410,5.2833,-0.1647,2.9471,3.4311,-0.5148,4.4103,-1.0647,0.0000,-0.6367,-13.2449,2.7462,1.4191,-0.3418,52.1064,-0.3418,12.8224,-28.5973,-29.0000,0.4027
Michael Pratt,-80.3617,-0.6987,1.0167,-30.5898,4.3151,-0.1416,-0.2917,-1.5158,-0.2204,5.7527,-1.9659,0.0000,-0.8973,-2.2457,-10.5995,-0.6015,-1.3848,-38.6834,-1.3848,4.9944,-120.4297,-95.0000,-25.4297
James Morgan,-80.3617,-2.8365,0.0266,-7.8938,-16.4100,-0.1236,-0.2917,1.5101,2.0822,-11.1922,-4.9529,0.0000,-0.8686,-18.4569,-12.1621,-3.9249,1.3617,-75.4943,1.3617,2.0906,-154.4943,-167.0000,12.5057
Lamar Jackson,-80.3617,-0.2986,-0.5721,34.2719,-19.5194,-0.2190,-0.3343,2.0306,-0.2725,4.3756,4.8444,0.0000,-0.4026,-18.5048,20.0531,-6.0370,0.7538,19.4153,0.7538,10.1291,-60.1927,-12.0000,-48.1927
Drew Lock,-80.3617,-1.0973,1.2313,37.8583,-16.6976,-0.1599,-0.2280,-0.4862,-0.9810,-2.3116,-2.6616,0.0000,-0.7630,11.6689,-1.2967,1.1808,-2.0496,25.2564,-2.0496,10.3880,-57.1551,-50.0000,-7.1551
Kellen Mond,-80.3617,0.5976,-1.3110,0.9591,0.0672,-0.1383,-0.3188,3.6235,1.4573,-8.6891,-1.2890,0.0000,-0.6793,-16.0770,7.3835,-4.0861,0.8931,-18.5004,0.8931,6.9090,-97.9690,-92.0000,-5.9690
Bryce Petty,-80.3617,0.3511,-2.3660,-9.8009,-0.0471,-0.1520,-0.1927,-0.8009,-0.1335,-6.7974,-3.1816,0.0000,-0.8393,8.0035,-13.8065,1.1762,3.9952,-28.5871,3.9952,6.3136,-104.9535,-81.0000,-23.9535
Shedeur Sanders,-80.3617,0.6249,0.7524,-31.0643,7.7405,-0.1282,-0.2642,2.7303,-0.0041,5.3395,-2.2864,0.0000,-0.7630,-2.2921,-11.8573,4.2318,-1.0088,-27.2402,-1.0088,6.0018,-108.6106,-88.0000,-20.6106
Mike White,-80.3617,-2.8138,-0.3026,-34.1078,3.7953,-0.0449,-0.3270,1.3791,1.9312,-9.8093,-5.7299,0.0000,-0.6945,0.5982,2.4525,-0.3023,1.4528,-43.9758,1.4528,4.7851,-122.8847,-108.0000,-14.8847
Sam Ehlinger,-80.3617,-0.0003,1.8023,-23.4628,-1.9637,-0.0792,-0.2280,-1.7881,-1.1543,4.1841,10.9745,0.0000,-0.3749,7.7418,29.3485,-4.3566,5.9223,20.6433,5.9223,10.6744,-53.7962,-66.0000,12.2038
Will Levis,-80.3617,-0.2657,0.3700,32.2717,5.2236,-0.9857,-0.2917,-0.6867,-0.1115,3.9659,-1.5589,0.0000,-0.5212,-9.7354,-13.0575,-0.2425,0.9640,14.3744,0.9640,9.7173,-65.0231,-52.0000,-13.0231
Davis Mills,-80.3617,-0.1297,-2.7366,-0.8952,3.7510,-0.0966,-0.1845,3.6558,0.2653,2.4947,-3.2679,0.0000,-0.8851,12.2060,-6.7845,1.2451,0.1412,8.6378,0.1412,9.1582,-71.5826,-69.0000,-2.5826
Ian Book,-80.3617,-0.0836,1.3635,-9.5406,5.4879,-0.1562,-0.2917,-0.5289,-1.1842,4.4748,9.0663,0.0000,-0.7672,-11.3015,-10.5784,-0.2566,0.6979,-14.2964,0.6979,7.2507,-93.9602,-64.0000,-29.9602
