Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,YCO/A,Breakout Age,BMI,TWP%,Speed,MTF,BTT%,aDOT,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Dorian Thompson-Robinson,-77.8174,0.7458,7.0885,-31.1855,7.8080,5.0345,0.2513,-11.1136,-2.3650,-0.1785,4.9907,-9.1835,-3.7445,-31.8518,0.0000,3.3337,-109.6693,-103.0000,-6.6693
Cam Ward,-77.8174,-4.0148,0.2020,52.7141,4.0902,3.6979,-0.9411,0.3420,-2.6142,0.0911,1.4315,5.8309,0.9053,61.7349,0.0000,14.2928,-16.0825,-21.0000,4.9175
Lamar Jackson,-77.8174,0.6273,3.6329,43.1275,-18.9142,5.2310,7.3151,0.0121,-2.4554,-0.2333,2.4094,-5.6151,0.9720,36.1093,0.0000,11.2920,-41.7081,-12.0000,-29.7081
Trey Lance,-77.8174,-4.9402,1.0579,47.4414,1.0724,0.8816,-0.6349,-1.1963,0.5143,0.7766,-0.1339,-0.6907,0.2098,44.3580,0.0000,12.2580,-33.4594,-41.0000,7.5406
Sean Clifford,-77.8174,0.6069,-1.7872,-31.3592,-4.7842,-1.8429,-6.6213,0.3534,2.9399,-0.3536,2.6525,-7.5138,2.2092,-45.5003,0.0000,1.7355,-123.3176,-177.0000,53.6824
Patrick Mahomes,-77.8174,0.5232,4.2903,39.9329,1.3116,-3.1351,-0.5005,3.8118,-3.7331,1.0327,2.2473,1.4173,-2.3252,44.8732,0.0000,12.3183,-32.9442,-28.0000,-4.9442
Jared Goff,-77.8174,0.7391,1.6516,46.3373,2.6260,-2.2920,8.2488,-4.4884,-4.0901,1.0739,-0.9486,6.2871,1.5496,56.6943,0.0000,13.7026,-21.1231,-27.0000,5.8769
Alex McGough,-77.8174,-1.1772,-4.3024,-32.0484,5.1474,-1.5855,14.2122,-0.8745,-4.5212,-0.4308,-0.3404,-5.0243,-2.9381,-33.8832,0.0000,3.0958,-111.7005,-98.0000,-13.7005
Shedeur Sanders,-77.8174,1.2736,-5.2281,-33.5468,9.5064,4.5112,-5.3695,-0.5306,3.0458,-0.5920,2.5096,0.9064,-2.5016,-26.0156,0.0000,4.0171,-103.8330,-88.0000,-15.8330
Trevor Lawrence,-77.8174,-0.0388,-1.3799,48.0644,3.2646,5.2059,7.5099,-3.6149,-1.4753,-0.7784,1.6738,6.8880,1.3639,66.6832,0.0000,14.8723,-11.1342,-2.0000,-9.1342
Brock Purdy,-77.8174,0.7350,-1.8917,-32.4048,5.5474,5.4247,13.5302,0.4274,-3.5094,0.9326,2.7913,-7.0223,-2.7648,-18.2044,0.0000,4.9318,-96.0218,-57.0000,-39.0218
Tua Tagovailoa,-77.8174,0.1247,-2.2009,48.5122,6.3810,4.0499,-1.4518,2.0260,1.7660,0.8566,-0.9193,6.4035,0.9744,66.5223,0.0000,14.8534,-11.2949,-11.0000,-0.2949
Jordan Travis,-77.8174,0.4620,1.1822,-31.9325,3.6400,4.2629,-3.4484,-4.6023,1.8067,-0.4310,5.0252,5.9257,1.9829,-16.1266,0.0000,5.1751,-93.9440,-77.0000,-16.9440
Mason Rudolph,-77.8174,0.5061,-1.7654,-0.0796,3.0606,-3.1763,-0.2100,-0.3876,-3.7370,0.0171,0.2351,2.9641,1.3722,-1.2007,0.0000,6.9230,-79.0182,-62.0000,-17.0182
Bo Nix,-77.8174,0.4791,3.7297,45.1326,5.1739,1.7353,1.4296,0.8895,1.8881,-0.6981,-0.0788,-3.2710,-5.2714,51.1385,0.0000,13.0520,-26.6788,-29.0000,2.3212
Brandon Allen,-77.8174,-3.9336,-0.0541,-34.3280,3.2302,2.5379,-2.2168,3.5994,1.9512,1.2485,-0.2362,1.0102,0.1415,-27.0498,0.0000,3.8960,-104.8673,-131.0000,26.1327
Kurtis Rourke,-77.8174,0.4942,-2.0765,-37.0415,4.7758,4.3420,-0.5211,-2.9828,-4.6758,-0.2426,0.1056,-5.6684,-0.5759,-44.0670,0.0000,1.9033,-121.8843,-122.0000,0.1157
Daniel Jones,-77.8174,0.0805,1.1535,47.8870,-9.1421,4.0774,2.2178,-6.2862,-2.8345,0.8432,1.5459,-8.2849,-3.7823,27.4753,0.0000,10.2810,-50.3419,-44.0000,-6.3419
Cole McDonald,-77.8174,-4.2050,4.0550,-34.3539,-6.3358,-0.6283,-4.0165,-2.9040,-4.0955,-0.4319,0.0648,0.8397,1.9108,-50.1006,0.0000,1.1967,-127.9182,-164.0000,36.0818
Connor Cook,-77.8174,0.7419,-3.7881,-17.3422,-19.9145,-10.6669,-2.5280,-3.7307,-4.3986,0.0937,-3.4569,10.4493,1.8087,-52.7323,0.0000,0.8886,-130.5497,-93.0000,-37.5497
