Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,Breakout Age,BTT%,MTF,Speed,aDOT,TWP%,BMI,YCO/A,Y/RR,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Dorian Thompson-Robinson,-77.5941,0.4039,7.7159,-34.4350,9.9606,-0.0807,-7.7621,7.7208,-1.0547,-3.1250,-4.2457,-6.1954,3.7671,-0.1263,-27.4566,0.0000,3.5900,-105.0507,-103.0000,-2.0507
Cam Ward,-77.5941,-3.3330,1.5194,49.6812,4.1325,-1.4871,5.5960,0.9564,-0.8907,1.5035,-3.5765,0.5379,3.4612,0.0860,58.1868,0.0000,13.6277,-19.4074,-21.0000,1.5926
Lamar Jackson,-77.5941,0.7378,2.4557,51.1488,-20.1407,5.0183,-5.1133,3.5739,-0.3291,2.8877,-3.7037,0.7635,4.0555,-0.1101,41.2443,0.0000,11.6420,-36.3499,-12.0000,-24.3499
Trey Lance,-77.5941,-3.6778,1.9369,46.3562,1.3927,-1.3841,-0.8789,-0.9203,-0.3042,0.4048,0.1812,-1.2519,0.5724,-0.0579,42.3691,0.0000,11.7739,-35.2250,-41.0000,5.7750
Sean Clifford,-77.5941,0.2959,-1.2355,-32.8111,-4.7681,-3.6279,-12.1355,2.1477,0.1254,3.8195,3.7828,-0.7982,-2.1793,0.1371,-47.2472,0.0000,1.2705,-124.8414,-177.0000,52.1586
Patrick Mahomes,-77.5941,-0.0192,3.6690,42.1946,3.5480,0.8251,2.6611,4.1431,0.3756,-1.4598,-2.3723,2.6840,-2.6801,0.1237,53.6928,0.0000,13.1010,-23.9015,-28.0000,4.0985
Jared Goff,-77.5941,0.8308,1.7264,48.3580,3.3803,6.1672,5.1170,-1.4342,0.7132,1.5257,-3.6720,-2.7942,-2.5619,-0.1153,57.2410,0.0000,13.5169,-20.3531,-27.0000,6.6469
Alex McGough,-77.5941,-2.2380,-4.4995,-33.6729,7.4897,10.1744,-6.3494,-1.1172,-0.1930,-3.4774,-4.4843,-1.4402,-1.9153,-0.0674,-41.7905,0.0000,1.9100,-119.3845,-98.0000,-21.3845
Shedeur Sanders,-77.5941,2.4021,-4.9551,-33.0244,10.4938,-2.8696,1.4153,2.3249,-1.5178,-4.2934,2.8213,-2.3740,2.2705,-0.0675,-27.3739,0.0000,3.5997,-104.9680,-88.0000,-16.9680
Trevor Lawrence,-77.5941,-0.7870,-1.7783,48.0673,3.8440,5.7986,5.2319,3.4771,-0.5873,1.4200,-1.3970,-2.3055,4.6042,0.1453,65.7333,0.0000,14.5122,-11.8608,-2.0000,-9.8608
Brock Purdy,-77.5941,0.4459,-2.0289,-33.6730,8.7857,9.5313,-8.4020,3.2157,1.3173,-3.1954,-1.4413,-0.5478,5.1326,-0.0413,-20.9012,0.0000,4.3583,-98.4954,-57.0000,-41.4954
Tua Tagovailoa,-77.5941,-0.7589,-1.5778,47.5600,8.4346,-1.4998,5.6283,-1.0507,-0.2351,1.6651,2.5223,1.3066,4.5443,-0.0570,66.4819,0.0000,14.6000,-11.1123,-11.0000,-0.1123
Jordan Travis,-77.5941,-1.1450,2.0131,-32.4930,2.3218,-3.5108,7.6429,7.2537,-1.4435,3.0550,2.8026,-3.8108,3.2594,0.4259,-13.6287,0.0000,5.2107,-91.2228,-77.0000,-14.2228
