Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,BTT%,Breakout Age,BMI,YCO/A,ATT,aDOT,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Dorian Thompson-Robinson,-77.8714,1.3204,7.9498,-31.0940,9.8604,-6.9475,0.1095,-12.7265,5.9478,1.1767,-5.4088,-29.8122,0.0000,3.8199,-107.6837,-103.0000,-4.6837
Cam Ward,-77.8714,-2.2353,-0.6121,52.9580,5.0779,6.8212,-0.4400,0.6723,2.8808,1.7112,0.2265,67.0605,0.0000,15.0000,-10.8108,-21.0000,10.1892
Lamar Jackson,-77.8714,0.6962,5.1167,41.1458,-20.3536,-7.1384,7.2354,0.4181,4.1743,1.1783,1.4054,33.8782,0.0000,11.1704,-43.9932,-12.0000,-31.9932
Trey Lance,-77.8714,-2.9515,-0.1254,48.4098,1.0956,-1.3086,-0.3531,-1.4143,3.0505,-2.7238,-0.0860,43.5932,0.0000,12.2916,-34.2782,-41.0000,6.7218
Sean Clifford,-77.8714,1.0331,-0.9966,-31.6187,-6.1379,-7.7162,-7.9032,-0.4674,-0.9385,0.1437,2.1855,-52.4162,0.0000,1.2112,-130.2878,-177.0000,46.7122
Patrick Mahomes,-77.8714,0.5491,5.0181,43.0403,2.0531,2.3470,0.9864,4.3583,-1.5946,3.3681,-0.7120,59.4138,0.0000,14.1175,-18.4576,-28.0000,9.5424
Jared Goff,-77.8714,0.8630,1.3642,45.3409,0.8547,7.4022,8.3923,-4.9564,-0.7749,-1.5277,1.0763,58.0346,0.0000,13.9583,-19.8371,-27.0000,7.1629
Alex McGough,-77.8714,-0.2554,-5.3311,-31.6109,4.9722,-6.2777,17.7730,-0.7718,-3.4928,-0.0199,-3.4155,-28.4299,0.0000,3.9794,-106.3014,-98.0000,-8.3014
Shedeur Sanders,-77.8714,1.0978,-6.4841,-33.9091,12.1293,0.5583,-6.0136,-2.5323,5.1879,0.1524,-2.4034,-32.2168,0.0000,3.5424,-110.0883,-88.0000,-22.0883
Trevor Lawrence,-77.8714,-0.0261,-1.2127,45.3168,3.7424,7.4108,6.9417,-6.3302,4.7450,-1.6405,1.1168,60.0640,0.0000,14.1925,-17.8074,-2.0000,-15.8074
Brock Purdy,-77.8714,1.1219,-2.1084,-32.6203,6.1724,-5.0110,14.8012,0.3250,7.2025,-0.7812,-3.5087,-14.4066,0.0000,5.5979,-92.2779,-57.0000,-35.2779
Tua Tagovailoa,-77.8714,-0.0814,-2.2441,47.6405,7.4967,6.9455,-0.8396,1.9273,3.2564,-2.0570,0.3879,62.4322,0.0000,14.4658,-15.4392,-11.0000,-4.4392
Jordan Travis,-77.8714,0.5951,2.4349,-31.7627,2.0254,6.7517,-3.1569,-3.8091,5.3077,0.8400,1.9084,-18.8655,0.0000,5.0833,-96.7369,-77.0000,-19.7369
Mason Rudolph,-77.8714,1.0531,-1.3608,0.6660,3.4668,2.3280,-0.8107,-0.2453,-1.8347,0.2696,1.9360,5.4680,0.0000,7.8916,-72.4034,-62.0000,-10.4034
Bo Nix,-77.8714,0.5802,4.1145,44.4263,5.8706,-4.6258,1.4145,1.6109,4.2525,-2.1374,-3.0022,52.5041,0.0000,13.3200,-25.3673,-29.0000,3.6327
Brandon Allen,-77.8714,-3.5311,-3.2293,-36.5205,2.7525,0.1735,-2.2831,4.8544,4.4912,-1.5573,-0.1034,-34.9531,0.0000,3.2266,-112.8244,-131.0000,18.1756
Kurtis Rourke,-77.8714,0.6326,-2.1473,-37.5933,4.3847,-4.8951,-0.1643,-2.2548,6.1706,0.2071,0.5647,-35.0951,0.0000,3.2102,-112.9666,-122.0000,9.0334
Daniel Jones,-77.8714,-0.3101,2.1099,46.2536,-9.9253,-7.2304,1.9221,-8.2409,4.3198,-1.0053,-4.3660,23.5274,0.0000,9.9758,-54.3440,-44.0000,-10.3440
Cole McDonald,-77.8714,-2.6372,8.8505,-34.2036,-6.6395,0.2588,-3.4756,-2.8858,-0.2564,-0.0677,2.7498,-38.3067,0.0000,2.8396,-116.1779,-164.0000,47.8221
Connor Cook,-77.8714,1.1205,-5.1422,-14.9421,-18.8277,12.6247,-2.1793,-3.3589,-12.3649,-0.6754,2.4630,-41.2823,0.0000,2.4962,-119.1538,-93.0000,-26.1538
Brandon Doughty,-77.8714,0.5712,-2.7503,-37.5405,12.1789,-8.2236,-7.2657,-2.8955,-13.9734,0.1284,-3.1405,-62.9110,0.0000,0.0000,-140.7824,-171.0000,30.2176
Jacoby Brissett,-77.8714,1.1400,-1.2530,-0.5979,-16.5186,-7.8208,-5.2021,1.7124,8.1337,0.0114,-0.5050,-20.8999,0.0000,4.8485,-98.7714,-162.0000,63.2286
Joe Milton,-77.8714,-1.3117,-6.5130,-36.9232,2.7692,0.0666,-2.6753,-0.5866,5.0821,-1.2838,-0.0651,-41.4408,0.0000,2.4779,-119.3123,-73.0000,-46.3123
Jayden Daniels,-77.8714,0.5330,3.2437,41.2978,3.2763,7.1250,6.8515,-7.1626,2.7963,-1.9921,0.9269,56.8958,0.0000,13.8269,-20.9757,-1.0000,-19.9757
