Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,BTT%,ADJ%,Breakout Age,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Sean Mannion,-75.9951,1.4561,-6.5130,-11.9707,-7.7203,6.2113,-6.9673,6.7503,-18.7536,0.0000,5.2084,-94.7487,-97.0000,2.2513
Tanner Lee,-75.9951,0.7538,-1.0802,-40.9870,-7.1370,-10.3787,-9.9524,5.6040,-63.1775,0.0000,0.0000,-139.1726,-182.0000,42.8274
Trace McSorley,-75.9951,0.7585,9.4553,-40.2285,-12.0343,9.3541,-11.7974,-9.4878,-53.9801,0.0000,1.0783,-129.9753,-94.0000,-35.9753
Deshaun Watson,-75.9951,2.3569,8.4097,43.3712,5.3878,0.6520,2.2538,-1.3769,61.0545,0.0000,14.5654,-14.9406,-16.0000,1.0594
DeShone Kizer,-75.9951,1.8301,-4.3249,35.1335,-5.8083,-2.6932,-6.7254,-0.6126,16.7992,0.0000,9.3767,-59.1959,-54.0000,-5.1959
Davis Mills,-75.9951,1.9731,-2.3317,-4.2542,9.1289,12.9039,5.1554,-7.1732,15.4022,0.0000,9.2129,-60.5930,-69.0000,8.4070
Malik Willis,-75.9951,4.5560,-4.3969,-5.2932,11.7179,-2.9137,9.2834,0.1239,13.0774,0.0000,8.9403,-62.9179,-82.0000,19.0821
Christian Hackenberg,-75.9951,1.7278,-2.4109,33.2943,-3.9150,-6.3156,-10.1812,16.6176,28.8170,0.0000,10.7857,-47.1781,-59.0000,11.8219
Aidan O'Connell,-75.9951,-3.5613,-12.5254,-19.8637,6.5692,-9.5619,-0.1811,-8.1946,-47.3188,0.0000,1.8593,-123.3140,-135.0000,11.6860
Dak Prescott,-75.9951,0.3818,12.3264,-16.5288,7.5612,-3.5812,1.7433,-0.8314,1.0713,0.0000,7.5327,-74.9239,-53.0000,-21.9239
Joshua Dobbs,-75.9951,0.7943,12.4467,-18.2677,-0.7243,-6.6937,-0.0583,4.4467,-8.0563,0.0000,6.4626,-84.0515,-84.0000,-0.0515
Bryce Petty,-75.9951,-0.7249,-4.5474,-19.2830,-2.0379,4.3349,0.9612,-12.7975,-34.0946,0.0000,3.4098,-110.0897,-81.0000,-29.0897
Mitchell Trubisky,-75.9951,0.3274,8.4784,42.0248,3.0443,-0.8911,-0.3803,-6.3563,46.2472,0.0000,12.8293,-29.7479,-32.0000,2.2521
Riley Leonard,-75.9951,9.0116,8.4562,-39.8601,3.4040,-10.8969,-10.6895,-0.4739,-41.0486,0.0000,2.5945,-117.0438,-137.0000,19.9562
Spencer Rattler,-75.9951,1.1519,6.7575,-31.3600,9.4652,-4.7815,6.8350,-1.4577,-13.3896,0.0000,5.8373,-89.3847,-106.0000,16.6153
Baker Mayfield,-75.9951,2.2567,-3.4034,44.9789,3.2661,4.1698,5.4501,0.0131,56.7313,0.0000,14.0585,-19.2638,-4.0000,-15.2638
Kevin Hogan,-75.9951,1.3433,-0.9269,-31.6606,7.5664,5.9824,1.5516,-10.2876,-26.4314,0.0000,4.3082,-102.4265,-121.0000,18.5735
Cardale Jones,-75.9951,9.7748,-1.9154,-21.4101,-13.3858,-8.3592,0.8279,-1.2836,-35.7514,0.0000,3.2155,-111.7466,-89.0000,-22.7466
Dillon Gabriel,-75.9951,1.2694,6.8663,-7.7968,4.6051,4.1290,3.4214,15.8831,28.3775,0.0000,10.7342,-47.6177,-60.0000,12.3823
Jarrett Stidham,-75.9951,-0.9469,-1.0751,-18.0358,-4.0994,-1.5604,0.4353,-10.4946,-35.7769,0.0000,3.2125,-111.7722,-104.0000,-7.7722
Tua Tagovailoa,-75.9951,-0.3498,-0.8504,47.0367,3.0445,10.4151,3.0228,2.4428,64.7617,0.0000,15.0000,-11.2334,-11.0000,-0.2334
Max Duggan,-75.9951,0.8950,9.2241,-32.0184,6.8048,-1.0586,1.1968,22.9681,8.0118,0.0000,8.3465,-67.9834,-63.0000,-4.9834
Sam Ehlinger,-75.9951,2.7697,10.3731,-33.8294,0.4167,3.1653,-10.9111,18.1169,-9.8988,0.0000,6.2466,-85.8939,-66.0000,-19.8939
Jake Fromm,-75.9951,1.4155,-3.0701,-35.0438,-11.9013,-0.6190,-9.1095,8.3790,-49.9492,0.0000,1.5509,-125.9444,-91.0000,-34.9444
