Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,MTF,ATT,YCO/A,Y/RR,TWP%,BTT%,Breakout Age,ADJ%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-79.8692,2.1485,-1.1126,-4.8634,-11.8685,-2.6909,-1.1250,-8.4131,0.2412,0.5945,5.3791,17.3533,-5.6879,-10.0448,0.0000,7.4544,-89.9141,-111.0000,21.0859
Drake Maye,-79.8692,0.8546,2.9972,44.3556,2.2410,3.2820,0.0884,4.1460,0.0207,0.8895,11.3944,0.1524,0.0978,70.5196,0.0000,14.1591,-9.3498,-10.0000,0.6502
Joe Milton,-79.8692,-7.6858,-2.3669,-36.5199,1.1775,-2.8936,-0.3912,3.5285,0.0778,0.3776,1.1039,-2.4596,0.1121,-45.9396,0.0000,4.4672,-125.8088,-73.0000,-52.8088
Justin Fields,-79.8692,2.6698,3.0634,45.8341,4.2491,3.3264,0.0210,4.2816,0.0239,0.9110,11.9693,-0.4662,4.7401,80.6235,0.0000,15.0000,0.7542,-7.0000,7.7542
Paxton Lynch,-79.8692,-0.7662,-0.5715,49.3463,3.6744,0.5059,0.2811,-0.0272,0.1143,1.6770,-12.8185,3.3454,4.1058,48.8668,0.0000,12.3571,-31.0025,-31.0000,-0.0025
Jameis Winston,-79.8692,0.6518,-0.9764,43.2383,3.8203,-0.8465,-0.1268,4.1015,0.0631,-0.4621,-11.7023,3.5584,-1.1678,40.1515,0.0000,11.6318,-39.7177,-13.0000,-26.7177
Dillon Gabriel,-79.8692,1.7602,2.7945,-4.4355,3.1240,-0.2918,-0.3422,-3.1983,0.2406,0.7046,5.2384,16.2812,1.3304,23.2061,0.0000,10.2216,-56.6630,-60.0000,3.3370
Daniel Jones,-79.8692,-0.6084,0.3283,47.8862,-13.9615,0.3429,-0.9926,2.7000,-0.1859,-0.7291,-17.9264,4.9156,-1.1825,20.5866,0.0000,10.0036,-59.2828,-44.0000,-15.2828
Josh Rosen,-79.8692,-0.1279,-0.0656,44.4788,-7.1155,-2.7353,0.7355,-8.9453,0.2649,-4.7204,8.2700,12.9860,-1.8056,41.2196,0.0000,11.7207,-38.6496,-38.0000,-0.6496
Trevor Siemian,-79.8692,0.0076,-1.7137,-34.2415,-11.9407,-3.8834,0.5139,-13.5957,-0.3405,0.4847,-17.4615,-10.9373,-6.5090,-99.6171,0.0000,0.0000,-179.4864,-198.0000,18.5136
