Player,Bias,PDOM+,RDOM+,Draft Capital,Comp%,Y/RR,TWP%,Breakout Age,BTT%,ADJ%,YCO/A,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-79.6876,1.5285,-0.6247,-5.9272,-14.3872,0.2066,0.3585,16.8008,4.3449,-6.5051,-9.7491,-13.9540,0.0000,7.2809,-93.6415,-111.0000,17.3585
Drake Maye,-79.6876,1.0433,5.0443,43.2999,1.2639,0.0862,0.6678,0.2754,12.2596,0.0430,5.2241,69.2075,0.0000,14.0071,-10.4801,-10.0000,-0.4801
Joe Milton,-79.6876,-7.7227,-4.3896,-36.1395,1.6587,0.0842,1.1089,-2.8977,-0.2367,0.3475,4.8001,-43.3868,0.0000,4.9003,-123.0745,-73.0000,-50.0745
Justin Fields,-79.6876,2.5804,4.3768,46.1073,4.8626,0.0784,0.8751,-0.0266,12.6946,5.1306,4.8048,81.4840,0.0000,15.0000,1.7963,-7.0000,8.7963
Paxton Lynch,-79.6876,-0.8338,-1.4789,48.5362,3.5046,0.1503,0.9543,3.3985,-12.8028,3.4847,-0.9284,43.9847,0.0000,11.9670,-35.7030,-31.0000,-4.7030
Jameis Winston,-79.6876,0.6672,-2.2206,42.1335,3.7677,0.1013,-0.5465,3.4475,-13.0124,-0.8418,4.9281,38.4240,0.0000,11.5173,-41.2636,-13.0000,-28.2636
Dillon Gabriel,-79.6876,1.1662,4.7705,-4.4576,3.3840,0.2791,0.4418,16.4822,5.9901,0.7020,-4.3954,24.3629,0.0000,10.3800,-55.3249,-60.0000,4.6751
Daniel Jones,-79.6876,-0.4590,0.7529,45.5478,-14.2062,-0.1582,-0.7713,4.9265,-17.7747,-1.1724,4.0620,20.7474,0.0000,10.0876,-58.9401,-44.0000,-14.9401
Josh Rosen,-79.6876,0.1726,-0.5648,44.1428,-8.2385,0.2515,-4.6964,13.7308,8.3872,-1.3723,-9.8931,41.9198,0.0000,11.8000,-37.7678,-38.0000,0.2322
Trevor Siemian,-79.6876,0.1084,-3.4096,-35.0335,-13.1759,-0.3999,0.7562,-12.6781,-17.9926,-6.3930,-15.7558,-103.9738,0.0000,0.0000,-183.6614,-198.0000,14.3386
Jaxson Dart,-79.6876,0.9622,2.2746,45.4440,4.0381,0.1397,0.5879,2.7313,12.3523,2.7800,4.9995,76.3096,0.0000,14.5815,-3.3779,-6.0000,2.6221
Bo Nix,-79.6876,1.0856,2.1304,45.1325,5.4605,0.1428,0.5407,3.5472,-13.8870,3.1677,2.6203,49.9407,0.0000,12.4487,-29.7470,-29.0000,-0.7470
Michael Pratt,-79.6876,-0.7761,6.5177,-30.4361,2.4369,0.0669,1.1954,-9.9781,0.7710,1.3736,8.4599,-20.3689,0.0000,6.7620,-100.0566,-95.0000,-5.0566
James Morgan,-79.6876,-4.0043,1.9707,-10.2951,-13.0339,0.0926,-3.1601,-11.2051,-20.3491,-3.6906,-10.3784,-74.0533,0.0000,2.4200,-153.7409,-167.0000,13.2591
Lamar Jackson,-79.6876,0.7453,0.6446,42.3651,-12.7969,0.2181,-0.9692,15.1629,-17.1604,-7.1352,4.5884,25.6627,0.0000,10.4851,-54.0250,-12.0000,-42.0250
Drew Lock,-79.6876,2.8017,-2.0195,37.0231,-10.2118,0.1324,1.0554,2.2621,11.6629,-1.3201,-2.3242,39.0620,0.0000,11.5689,-40.6258,-50.0000,9.3742
Kellen Mond,-79.6876,2.2298,-0.7225,-4.4317,-0.1952,0.2263,-0.1216,6.5227,-18.1553,-6.2282,-10.2125,-31.0882,0.0000,5.8950,-110.7760,-92.0000,-18.7760
Bryce Petty,-79.6876,-0.0667,-4.3131,-8.9836,0.6243,0.1145,0.2619,-11.8250,8.0207,-0.9007,-8.4188,-25.4865,0.0000,6.3481,-105.1742,-81.0000,-24.1742
Shedeur Sanders,-79.6876,1.4140,-4.6590,-31.9047,5.4163,0.0682,0.9050,-11.5648,-0.9833,3.6217,7.7651,-29.9215,0.0000,5.9894,-109.6090,-88.0000,-21.6090
Mike White,-79.6876,-6.5631,-2.2457,-33.5045,3.9529,0.1503,0.9768,4.2590,1.4690,0.5297,-9.3006,-40.2762,0.0000,5.1519,-119.9639,-108.0000,-11.9639
Sam Ehlinger,-79.6876,1.2230,6.5775,-26.4642,-0.8777,-0.2767,0.4627,20.3628,8.1112,-5.3551,6.0345,9.7980,0.0000,9.2020,-69.8896,-66.0000,-3.8896
Will Levis,-79.6876,0.6580,0.5377,32.4827,4.0435,-0.2078,1.0451,-10.8520,-13.1691,0.4048,4.7755,19.7184,0.0000,10.0044,-59.9691,-52.0000,-7.9691
Davis Mills,-79.6876,0.3750,-4.0050,-2.2442,4.2720,0.1203,-0.5332,-6.0361,11.2286,3.9203,3.4110,10.5087,0.0000,9.2595,-69.1788,-69.0000,-0.1788
Ian Book,-79.6876,1.1940,3.4590,-10.2167,5.6670,0.0978,-0.3609,-12.0937,-14.5558,1.5336,7.3795,-17.8962,0.0000,6.9620,-97.5839,-64.0000,-33.5839
