position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
QB,56,40,15,50,25,GB,0.7891144305350436,0.8337379185824645,14.128769722251548,19.33733843863572,10,PDOM+|RDOM+|Draft Capital|Comp%|Y/RR|TWP%|Breakout Age|BTT%|ADJ%|YCO/A,,1.7962747437213937
QB,56,40,15,50,23,GB,0.7931284837694483,0.829521275224931,15.161577809410906,19.58101435215744,9,PDOM+|RDOM+|Draft Capital|Comp%|ADJ%|Breakout Age|YCO/A|BTT%|BMI,,2.1184297395317286
QB,56,40,15,50,11,GB,0.7839043513918476,0.817976547259387,14.483963778224153,20.233162323959146,12,PDOM+|RDOM+|Draft Capital|Comp%|MTF|ATT|YCO/A|Y/RR|TWP%|BTT%|Breakout Age|ADJ%,,0.7541791804788831
QB,56,40,15,50,15,GB,0.8003983837113455,0.8149153069305131,15.060806670895277,20.402591923484245,11,PDOM+|RDOM+|Draft Capital|Comp%|Breakout Age|ADJ%|BTT%|Speed|ATT|YCO/A|MTF,,-3.8948998670500874
QB,56,40,15,50,13,GB,0.7747803487467453,0.808815942078781,15.243199017507706,20.73604512922781,15,PDOM+|RDOM+|Draft Capital|Comp%|Y/RR|BTT%|Breakout Age|TWP%|ADJ%|Speed|ATT|MTF|BMI|YCO/A,SpeedxBMI,-0.054424637363492824
QB,56,40,15,50,19,GB,0.643199592242782,0.807282281652512,16.061059883926458,20.8190502930227,8,PDOM+|RDOM+|Draft Capital|Comp%|TWP%|ATT|YCO/A|BTT%,,-2.7765998147778435
QB,56,40,15,50,30,GB,0.6446680332136595,0.8023450574960109,14.9480011262167,21.084044833039286,10,PDOM+|RDOM+|Draft Capital|Comp%|aDOT|Y/RR|YCO/A|MTF|ADJ%|BTT%,,-3.397068263296805
QB,56,40,15,50,14,GB,0.6304806788242766,0.8022635220381837,15.251846455856878,21.088393117921804,9,PDOM+|RDOM+|Draft Capital|Comp%|Y/RR|BMI|aDOT|BTT%,SpeedxBMI,-7.972835305455224
QB,56,40,15,50,27,GB,0.7683890007958329,0.7977346407698839,15.5918580705831,21.328526200207385,16,PDOM+|RDOM+|Draft Capital|Comp%|MTF|Speed|aDOT|YCO/A|BMI|Breakout Age|Y/RR|ADJ%|TWP%|BTT%|ATT,SpeedxBMI,0.5079460371085666
QB,56,40,15,50,18,GB,0.6512656792668,0.7948587288428028,16.137163909206592,21.47962093636252,5,PDOM+|RDOM+|Draft Capital|Comp%|BTT%,,-8.98808613211017
QB,56,40,15,50,4,GB,0.7803864913195377,0.7924313110789776,15.650037291491481,21.606330391281354,15,PDOM+|RDOM+|Draft Capital|Comp%|ADJ%|YCO/A|BMI|aDOT|TWP%|BTT%|Y/RR|ATT|MTF|Breakout Age,SpeedxBMI,-7.198280246558687
QB,56,40,15,50,26,GB,0.7295874844606677,0.7846133313575283,16.85930780539128,22.009465775046756,11,PDOM+|RDOM+|Draft Capital|Comp%|ADJ%|BMI|ATT|Breakout Age|aDOT|YCO/A|Speed,,-5.736305847363533
QB,56,40,15,50,7,GB,0.7734073271969891,0.784170519784491,17.165858952195578,22.032078692927687,12,PDOM+|RDOM+|Draft Capital|Comp%|BMI|ATT|TWP%|Speed|Breakout Age|Y/RR|BTT%|ADJ%,,-0.1966208743064518
QB,56,40,15,50,34,GB,0.7672517139720312,0.7826171631455427,16.585525362846802,22.111220611036924,13,PDOM+|RDOM+|Draft Capital|Comp%|ADJ%|aDOT|BTT%|MTF|ATT|TWP%|BMI|Breakout Age|Y/RR,,0.6431870271908066
QB,56,40,15,50,12,GB,0.7692693350913051,0.7804234146202448,16.18084446572804,22.222509741661884,16,PDOM+|RDOM+|Draft Capital|Comp%|Speed|ADJ%|aDOT|MTF|ATT|TWP%|BTT%|YCO/A|Breakout Age|BMI|Y/RR,SpeedxBMI,-5.294984355265899
