Player,Bias,DOM+,ADJ%,MTF/A,RDOM+,BTT%,YCO/A,YPA,DAA,Draft Capital,YPC,Comp%,TWP%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Grade,Actual_QB_Grade,Error
Kyler Murray,6.4166,-0.0459,0.6237,0.0843,0.2295,0.0087,0.0508,0.5028,0.2087,3.8240,0.2752,0.1339,-0.0333,-0.1564,5.8624,-0.1564,12.1225,12.8100,-0.6875
Brad Kaaya,6.4166,-0.1026,-0.7141,0.0444,-0.3125,0.0117,-0.2158,-0.1541,-0.2389,-2.2797,0.4130,0.0846,-0.0366,-0.2267,-3.5006,-0.2267,2.6893,3.8000,-1.1107
Nate Stanley,6.4166,0.5022,0.0765,-0.0896,-0.2645,0.0115,0.0679,-0.3283,0.1477,-2.2708,-0.0857,0.0933,-0.0331,-0.1347,-2.1729,-0.1347,4.1090,3.7100,0.3990
Josh Allen,6.4166,0.0135,-0.9269,-0.1439,0.0786,0.0120,0.0840,-0.0233,-0.3254,3.9406,0.0154,0.1260,-0.0310,-0.1353,2.8196,-0.1353,9.1008,10.0700,-0.9692
Garrett Nussmeier,6.4166,-0.2238,0.3573,-0.0382,-0.1173,-0.1495,0.0158,-0.4237,0.1921,3.6417,-1.0337,-0.4389,0.0417,0.0327,1.8235,0.0327,8.2729,8.7500,-0.4771
Dillon Gabriel,6.4166,0.4506,0.5263,-0.0851,0.0038,-0.0959,0.1100,-0.1096,0.1628,-1.5025,-0.1783,-0.6024,0.0508,0.0109,-1.2695,0.0109,5.1580,6.3500,-1.1920
Matt Corral,6.4166,-0.1759,0.3220,-0.1706,0.2077,0.0088,0.0467,0.1394,0.5870,-1.4912,-0.1710,0.1375,-0.0320,0.1073,-0.5916,0.1073,5.9323,8.4400,-2.5077
Jayden Daniels,6.4166,-0.1831,0.5719,-0.0673,1.1375,-0.1030,-0.1730,0.4432,0.5642,3.3487,0.3493,-0.6032,0.0359,0.2405,5.3211,0.2405,11.9783,15.2800,-3.3017
C.J. Beathard,6.4166,-0.0861,0.0445,0.0200,-0.3652,0.0118,0.0539,-0.1028,-0.3016,-1.2460,-0.3653,0.1289,-0.0339,-0.0292,-2.2418,-0.0292,4.1455,3.4300,0.7155
Michael Penix,6.4166,0.0680,-0.2274,-0.0468,-0.1829,-0.1782,0.0408,-0.5493,-0.2786,3.6475,0.2987,-0.5691,0.0533,0.2380,2.0760,0.2380,8.7306,9.5400,-0.8094
Sam Darnold,6.4166,0.3715,-0.0105,0.1012,-0.1521,0.0115,0.1000,-0.2957,0.1765,3.8795,0.2953,0.1321,-0.0315,-0.0281,4.5778,-0.0281,10.9663,10.5600,0.4063
Kurtis Rourke,6.4166,-0.1270,0.3767,0.0469,-0.2063,-0.1424,-0.0280,-0.2718,0.1481,-2.1926,0.4953,-0.3440,0.4382,-0.1521,-1.8069,-0.1521,4.4577,3.7300,0.7277
Aidan O'Connell,6.4166,-0.1721,-0.0332,-0.0624,-0.2054,0.0113,-0.2350,-0.3277,0.1386,-1.6660,-0.8984,0.0859,-0.0344,-0.2342,-3.3988,-0.2342,2.7836,3.3900,-0.6064
Mitchell Trubisky,6.4166,-0.2130,0.6221,0.0390,0.0449,0.0080,0.0310,0.3600,-0.8136,3.9323,-0.0539,0.1313,-0.0331,0.0715,4.0550,0.0715,10.5430,9.9700,0.5730
Marcus Mariota,6.4166,0.1023,0.0440,0.1423,0.1384,0.0108,0.1076,0.4032,0.1957,3.8909,0.2714,0.1287,-0.0265,0.0645,5.4088,0.0645,11.8899,12.3900,-0.5001
Jaxson Dart,6.4166,-0.2587,0.5744,-0.0691,0.2388,0.0098,0.0399,0.3922,-0.2864,3.7916,0.3080,0.1339,-0.0331,0.0458,4.8413,0.0458,11.3038,12.5700,-1.2662
Mac Jones,6.4166,-0.1552,0.7317,0.0736,-0.1882,0.0077,-0.0038,-0.4728,0.7782,3.7978,0.2779,0.1256,-0.0332,0.0809,4.9393,0.0809,11.4368,11.2200,0.2168
CJ Stroud,6.4166,-0.2372,0.4879,0.0753,-0.1630,0.0089,0.0144,-0.3245,0.3257,3.9080,0.6430,0.1342,-0.0342,-0.2044,4.8385,-0.2044,11.0508,11.4200,-0.3692
Rocco Becht,6.4166,-0.0715,-0.3384,0.1110,-0.2909,0.0124,-0.0439,-0.1765,-0.2821,-2.1987,0.2203,0.0903,-0.0366,0.0338,-3.0046,0.0338,3.4458,3.6500,-0.2042
Devin Leary,6.4166,0.4836,-0.0644,-0.1375,-0.2796,-0.1602,0.0878,-0.3953,0.1611,-2.1523,-0.0322,-0.3795,0.0701,-0.1586,-2.7984,-0.1586,3.4597,3.0100,0.4497
Bo Nix,6.4166,-0.0075,0.6272,0.0393,-0.3246,-0.0983,0.0567,-0.0087,0.3157,4.0431,-0.0869,-0.6050,0.0421,0.0855,3.9931,0.0855,10.4949,10.2800,0.2149
