Player,Bias,DOM+,Draft Capital,Breakout Age,YPA,ADJ%,DAA,Comp%,MTF/A,YPC,TWP%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Grade,Actual_QB_Grade,Error
Kyler Murray,6.3876,-0.0639,3.6817,-0.3793,0.3183,0.6520,0.1821,0.0295,0.1813,0.6971,0.0000,-0.0530,5.2988,-0.0530,11.6334,12.8100,-1.1766
Brad Kaaya,6.3876,-0.1041,-2.2573,0.2519,-0.6031,-0.7943,-0.3049,0.0117,0.0176,0.5912,0.0000,0.0390,-3.1913,0.0390,3.2353,3.8000,-0.5647
Nate Stanley,6.3876,-0.0359,-2.3315,0.2367,-0.5364,-0.0364,0.1238,0.0144,-0.0543,-0.3462,0.0000,-0.0057,-2.9658,-0.0057,3.4162,3.7100,-0.2938
Josh Allen,6.3876,-0.2160,3.8269,0.2680,0.0064,-0.8286,-0.2103,0.0116,-0.0709,-0.3272,0.0000,0.0858,2.4599,0.0858,8.9332,10.0700,-1.1368
Garrett Nussmeier,6.3876,0.0097,4.0326,-0.2666,-0.2545,0.5011,-0.0223,-0.1084,0.0524,-0.5292,0.0000,0.0425,3.4148,0.0425,9.8450,8.7500,1.0950
Dillon Gabriel,6.3876,-0.1294,-0.9420,0.2568,-0.2281,0.4317,0.4141,-0.1070,-0.0690,-0.5426,0.0000,0.0569,-0.9155,0.0569,5.5290,6.3500,-0.8210
Matt Corral,6.3876,0.0391,-1.0500,0.1123,0.4714,0.5051,0.4314,0.0297,-0.0084,-0.2724,0.0000,0.1293,0.2582,0.1293,6.7751,8.4400,-1.6649
Jayden Daniels,6.3876,-0.0860,3.5663,0.2878,0.4391,0.5667,0.2425,-0.1132,-0.1105,0.8333,0.0000,0.0795,5.6260,0.0795,12.0931,15.2800,-3.1869
C.J. Beathard,6.3876,0.0581,-1.0974,-0.3657,-0.1531,-0.1075,-0.3910,0.0152,0.0231,-0.5448,0.0000,0.0033,-2.5631,0.0033,3.8278,3.4300,0.3978
Michael Penix,6.3876,-0.0670,4.0156,0.2711,-0.4054,-0.0403,-0.1347,-0.0541,-0.0208,0.4861,0.0000,0.0282,4.0505,0.0282,10.4662,9.5400,0.9262
Sam Darnold,6.3876,0.5051,3.6302,0.2427,-0.3414,0.0993,0.1053,0.0144,0.1997,0.6535,0.0000,0.0440,5.1088,0.0440,11.5405,10.5600,0.9805
Kurtis Rourke,6.3876,-0.0283,-2.3287,0.2288,-0.6203,0.4104,0.2695,-0.1061,-0.1156,0.7491,0.0000,0.0745,-1.5412,0.0745,4.9210,3.7300,1.1910
Aidan O'Connell,6.3876,0.0272,-1.4095,-0.4424,-0.3234,0.0844,0.3088,0.0149,-0.0207,-0.5191,0.0000,-0.0300,-2.2798,-0.0300,4.0777,3.3900,0.6877
Mitchell Trubisky,6.3876,-0.0787,3.9778,-0.2978,0.4033,0.6040,-0.3630,0.0298,-0.1245,-0.3688,0.0000,0.0419,3.7821,0.0419,10.2115,9.9700,0.2415
Marcus Mariota,6.3876,0.0335,3.5516,0.4281,0.4078,-0.0194,0.0403,0.0183,0.1367,0.8649,0.0000,0.0266,5.4618,0.0266,11.8760,12.3900,-0.5140
Jaxson Dart,6.3876,-0.1377,3.7462,0.1598,0.5704,0.5960,-0.1730,0.0298,-0.0947,0.8045,0.0000,0.0115,5.5013,0.0115,11.9005,12.5700,-0.6695
Mac Jones,6.3876,0.0931,3.9102,-0.3074,-0.5091,0.5625,0.2036,0.0282,-0.0150,0.5168,0.0000,0.0538,4.4829,0.0538,10.9242,11.2200,-0.2958
CJ Stroud,6.3876,-0.0024,3.7919,0.1293,-0.4124,0.5205,0.2000,0.0282,-0.0438,0.6633,0.0000,0.0744,4.8746,0.0744,11.3367,11.4200,-0.0833
Rocco Becht,6.3876,-0.1342,-2.2415,0.1567,-0.3222,-0.7634,-0.4542,0.0117,0.2255,-0.0253,0.0000,0.1019,-3.5469,0.1019,2.9426,3.6500,-0.7074
Devin Leary,6.3876,0.0681,-2.2800,-0.5494,-0.4342,-0.0184,0.3186,-0.0528,0.0077,-0.0655,0.0000,-0.0182,-3.0059,-0.0182,3.3634,3.0100,0.3534
Bo Nix,6.3876,0.0884,3.7534,0.2080,0.0621,0.6190,0.2302,-0.1060,-0.1036,-0.2844,0.0000,0.0502,4.4671,0.0502,10.9048,10.2800,0.6248
Sam Ehlinger,6.3876,0.5281,-2.1599,0.4507,0.4474,0.0115,-0.3545,0.0176,0.0280,-0.0311,0.0000,0.0667,-1.0622,0.0667,5.3921,6.0300,-0.6379
Carson Wentz,6.3876,-0.4110,3.7464,-0.4512,0.2296,-0.1953,0.0087,0.0146,0.1827,-0.3675,0.0000,0.0893,2.7570,0.0893,9.2338,8.9900,0.2438
Cardale Jones,6.3876,-0.3818,-1.2760,-0.5382,-0.0895,-0.5488,0.2979,0.0141,0.0050,-0.0491,0.0000,0.0947,-2.5664,0.0947,3.9159,4.5700,-0.6541
Kenny Pickett,6.3876,-0.0058,3.7780,0.1456,-0.2736,0.5045,0.2681,-0.1060,-0.0795,-0.2403,0.0000,0.0724,3.9910,0.0724,10.4509,9.8000,0.6509
Jaren Hall,6.3876,-0.4067,-2.0068,-0.6359,0.3683,-0.1212,0.3627,0.0137,0.0855,-0.3512,0.0000,0.0870,-2.6916,0.0870,3.7829,3.7700,0.0129
Josh Rosen,6.3876,-0.0723,3.9176,0.3323,-0.3113,-0.0622,-0.3300,0.0144,0.0314,-0.1197,0.0000,-0.0262,3.4002,-0.0262,9.7614,9.1100,0.6514
