Player,Bias,DOM+,ADJ%,BTT%,MTF/A,DAA,Comp%,YCO/A,YPC,RDOM+,Draft Capital,YPA,Breakout Age,TWP%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Grade,Actual_QB_Grade,Error
Luke Falk,6.5843,-0.1749,0.3236,0.0000,-0.1449,-0.2905,0.0520,0.0765,-0.5492,-0.1788,-2.5592,-0.1988,-0.2425,0.0000,-0.1757,-3.8867,-0.1757,2.5219,3.0100,-0.4881
Sam Ehlinger,6.5843,0.3231,-0.0741,0.0000,0.0373,-0.4086,0.0670,-0.0614,-0.0104,0.4657,-2.2961,0.0690,0.5085,0.0000,0.0069,-1.3800,0.0069,5.2113,6.0300,-0.8187
Bailey Zappe,6.5843,-0.2639,0.3842,0.0000,-0.1109,0.3546,-0.1647,-0.0199,-0.1504,-0.1947,-1.6357,-0.2577,-0.4577,0.0000,0.0995,-2.5168,0.0995,4.1671,4.6100,-0.4429
Trevor Lawrence,6.5843,-0.2362,0.4580,0.0000,-0.0166,-0.0706,0.0670,-0.0739,0.4022,-0.0118,3.4550,0.3395,0.4171,0.0000,-0.1338,4.7297,-0.1338,11.1802,13.0500,-1.8698
Josh Allen,6.5843,-0.2352,-0.8670,0.0000,0.0021,-0.3081,0.0420,-0.0674,-0.2378,0.3306,3.2863,-0.2079,0.3846,0.0000,0.0067,2.1222,0.0067,8.7132,10.0700,-1.3568
Tanner Lee,6.5843,0.0015,-0.6201,0.0000,-0.1429,-0.5415,0.0301,0.0765,-0.0920,-0.1713,-2.3736,-0.2366,0.2084,0.0000,0.0449,-3.8615,0.0449,2.7678,2.0100,0.7578
Will Grier,6.5843,0.2811,0.0120,0.0000,0.3508,0.1208,0.0670,-0.0764,0.5571,-0.2131,-1.1783,-0.1919,-0.4150,0.0000,0.0121,-0.6859,0.0121,5.9106,5.9100,0.0006
Baker Mayfield,6.5843,0.3058,0.6088,0.0000,-0.0007,0.2669,0.0670,-0.0189,0.4989,-0.0760,3.4338,-0.1843,0.0839,0.0000,0.0895,4.9852,0.0895,11.6589,12.9900,-1.3311
Carson Wentz,6.5843,-0.2639,-0.2805,0.0000,0.3422,-0.0340,0.0670,-0.0764,-0.1724,-0.1227,3.3897,0.1230,-0.4602,0.0000,0.0342,2.5118,0.0342,9.1304,8.9900,0.1404
Tanner McKee,6.5843,0.2642,-0.1252,0.0000,-0.1394,-0.5415,0.0520,0.0765,-0.6523,-0.1801,-2.4271,-0.1536,-0.4994,0.0000,0.0561,-4.3259,0.0561,2.3146,3.0400,-0.7254
Trey Lance,6.5843,-0.2352,-0.8097,0.0000,-0.0407,-0.4027,0.0435,-0.0764,0.5642,-0.1069,3.5904,0.3159,0.1569,0.0000,0.0325,2.9993,0.0325,9.6161,8.8800,0.7361
Jayden Daniels,6.5843,-0.0047,0.5738,0.0000,-0.0474,0.2801,-0.2114,-0.0268,0.5596,0.3994,3.4259,0.3809,0.3593,0.0000,-0.1327,5.6887,-0.1327,12.1403,15.2800,-3.1397
Connor Cook,6.5843,0.0162,-0.6343,0.0000,-0.1466,0.3011,0.0301,0.0327,0.3640,-0.1952,-1.5591,-0.2666,-0.0501,0.0000,-0.0626,-2.1078,-0.0626,4.4138,4.4400,-0.0262
Kyle McCord,6.5843,-0.0142,-0.1338,0.0000,-0.1411,0.2782,0.0520,0.0327,-0.1779,-0.1997,-2.3304,-0.2724,-0.4484,0.0000,0.0911,-3.3550,0.0911,3.3205,3.2200,0.1005
Cade Klubnik,6.5843,-0.0528,-0.3145,0.0000,0.3196,-0.0292,0.0655,-0.0630,-0.7063,0.0115,1.3311,0.1966,0.2009,0.0000,-0.1436,0.9594,-0.1436,7.4001,6.8000,0.6001
Jalen Hurts,6.5843,0.3161,0.1910,0.0000,-0.0054,-0.0293,0.0670,-0.0674,0.5697,0.3884,1.4832,0.3681,0.4093,0.0000,0.0131,3.6907,0.0131,10.2881,11.0000,-0.7119
Sam Darnold,6.5843,0.2901,-0.1313,0.0000,0.3315,0.0453,0.0670,0.0754,0.3564,-0.1196,3.3784,-0.2646,0.2045,0.0000,0.0121,4.2331,0.0121,10.8295,10.5600,0.2695
Drake Maye,6.5843,-0.0446,-0.1774,0.0000,-0.0400,0.2926,0.0670,-0.0293,0.1371,0.4359,3.2997,0.4303,0.1520,0.0000,0.0584,4.5233,0.0584,11.1662,12.3900,-1.2238
Alex McGough,6.5843,-0.2282,0.0163,0.0000,0.0362,0.0968,0.0655,0.0724,-0.1699,-0.1834,-2.3680,0.3470,0.5323,0.0000,0.0346,-1.7830,0.0346,4.8361,4.3000,0.5361
Brett Hundley,6.5843,0.0544,0.3828,0.0000,0.3341,-0.6336,0.0655,0.0726,-0.6725,0.4990,-2.4008,0.2542,0.1975,0.0000,0.1007,-1.8468,0.1007,4.8381,4.5700,0.2681
Sawyer Robertson,6.5843,0.2863,-0.5510,0.0000,0.3334,0.3937,0.0435,-0.0358,-0.1080,-0.1932,-1.6527,0.2699,-0.4328,0.0000,-0.0958,-1.6467,-0.0958,4.8419,3.6800,1.1619
Brandon Doughty,6.5843,-0.2705,0.4304,0.0000,-0.1204,0.2883,-0.1647,0.0327,-0.1233,-0.2210,-2.4559,-0.2730,-0.4254,0.0000,0.0995,-3.3028,0.0995,3.3810,2.2800,1.1010
