Player,Bias,DOM+,DAA,TWP%,MTF/A,YPC,YCO/A,RDOM+,ADJ%,BTT%,Draft Capital,YPA,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Grade,Actual_QB_Grade,Error
Jarrett Stidham,6.6272,-0.1093,-0.5143,0.0000,0.2128,-0.3136,-0.0400,-0.2374,0.1846,0.0000,-1.7996,-0.1533,-0.4370,0.0144,-3.2071,0.0144,3.4347,4.1400,-0.7053
Justin Herbert,6.6272,0.2164,0.1473,0.0000,0.0494,-0.3784,-0.0847,-0.2344,0.3558,0.0000,3.5659,-0.1524,0.6169,0.0167,4.1018,0.0167,10.7456,11.2900,-0.5444
Bryce Petty,6.6272,-0.1812,-0.4729,0.0000,-0.0671,0.5215,-0.1610,-0.3064,-0.1536,0.0000,-1.9500,-0.1380,-0.3422,-0.0302,-3.2509,-0.0302,3.3462,4.7500,-1.4038
Clayton Thorson,6.6272,-0.0890,-0.5628,0.0000,-0.0300,-0.3966,-0.0786,-0.1895,-0.5959,0.0000,-2.2262,-0.1373,-0.0101,0.0039,-4.3160,0.0039,2.3151,1.9200,0.3951
Garrett Grayson,6.6272,-0.2644,0.2331,0.0000,-0.0995,0.5275,-0.1819,-0.3591,0.1691,0.0000,-1.0948,-0.1537,-0.3556,-0.0392,-1.5793,-0.0392,5.0087,4.3000,0.7087
JJ McCarthy,6.6272,0.1438,0.4694,0.0000,-0.1599,-0.5238,0.3683,-0.2173,0.3320,0.0000,3.5869,0.1346,0.0949,-0.0821,4.2289,-0.0821,10.7740,10.7300,0.0440
Fernando Mendoza,6.6272,0.0828,0.3239,0.0000,0.1666,-0.4893,-0.1139,-0.0939,0.3385,0.0000,3.5504,0.2355,0.1034,-0.1446,4.1040,-0.1446,10.5865,11.0200,-0.4335
Ryan Finley,6.6272,-0.2264,-0.2669,0.0000,-0.0338,-0.2257,-0.1740,-0.3147,-0.0164,0.0000,-1.8348,-0.1516,-0.5060,-0.1771,-3.7503,-0.1771,2.6999,4.0400,-1.3401
Tyler Shough,6.6272,0.2646,-0.3112,0.0000,0.1815,-0.4223,0.3594,-0.2220,0.1974,0.0000,1.3545,-0.0377,-0.4380,-0.1719,0.9262,-0.1719,7.3814,5.6200,1.7614
Jake Luton,6.6272,-0.2254,0.3625,0.0000,-0.0867,-0.2347,-0.2016,-0.3097,-0.0493,0.0000,-2.4098,-0.2079,-0.5498,-0.1463,-3.9124,-0.1463,2.5687,3.0800,-0.5113
Chad Kelly,6.6272,0.2530,0.3872,0.0000,-0.0809,0.2013,0.1449,0.4331,0.0543,0.0000,-2.3419,0.2391,-0.5771,-0.1056,-1.2870,-0.1056,5.2346,4.6900,0.5446
Cole McDonald,6.6272,-0.1698,-0.6485,0.0000,-0.0503,-0.3122,0.0464,-0.0153,-0.6401,0.0000,-2.1631,0.0363,0.0204,-0.0782,-3.8962,-0.0782,2.6529,2.5000,0.1529
Jalen Hurts,6.6272,0.2395,-0.1349,0.0000,0.0987,0.6306,0.2500,0.5456,0.2539,0.0000,1.2570,0.1227,0.5509,-0.1773,3.8140,-0.1773,10.2638,11.0000,-0.7362
Kyle Trask,6.6272,0.0373,0.3820,0.0000,-0.0015,0.7182,-0.1888,-0.2605,0.1394,0.0000,1.5709,-0.1707,-0.3062,-0.0669,1.9201,-0.0669,8.4803,7.9600,0.5203
Michael Penix,6.6272,-0.0575,-0.1962,0.0000,-0.0228,0.5228,-0.2410,-0.2657,-0.0261,0.0000,4.0251,-0.1047,0.0271,-0.0918,3.6610,-0.0918,10.1964,9.5400,0.6564
Connor Cook,6.6272,-0.0151,0.4617,0.0000,-0.0646,0.3009,-0.2163,-0.3605,-0.6425,0.0000,-1.9878,-0.2197,-0.0218,-0.0684,-2.7657,-0.0684,3.7931,4.4400,-0.6469
CJ Stroud,6.6272,0.0270,0.3252,0.0000,-0.0539,0.7904,-0.2443,-0.2894,0.3318,0.0000,3.9699,-0.1806,0.0060,-0.0791,4.6821,-0.0791,11.2302,11.4200,-0.1898
Christian Hackenberg,6.6272,-0.0359,-0.4983,0.0000,-0.0288,-0.3526,-0.0291,-0.1883,-0.7342,0.0000,1.1885,-0.0828,0.6244,0.0035,-0.1371,0.0035,6.4938,6.4300,0.0638
Josh Allen,6.6272,-0.1921,-0.3800,0.0000,-0.0717,-0.3471,0.1702,0.3911,-0.8776,0.0000,3.5346,0.0636,0.7189,-0.0921,3.0099,-0.0921,9.5452,10.0700,-0.5248
Jordan Travis,6.6272,-0.2006,0.4624,0.0000,-0.0952,-0.0602,0.2950,0.0296,-0.6786,0.0000,-2.0893,0.2453,0.0879,0.1282,-2.0037,0.1282,4.7517,4.9700,-0.2183
Cam Miller,6.6272,-0.1648,0.4477,0.0000,-0.0143,-0.3503,-0.1681,-0.1794,0.3225,0.0000,-2.3618,0.2210,0.1096,0.1335,-2.1379,0.1335,4.6228,4.2700,0.3528
Jared Goff,6.6272,0.1438,-0.0969,0.0000,-0.0119,0.6496,-0.2093,-0.2824,-0.1165,0.0000,3.7507,-0.0319,0.6764,0.0329,4.4716,0.0329,11.1317,10.4600,0.6717
Michael Pratt,6.6272,-0.1180,0.0369,0.0000,0.1456,-0.1934,0.3246,-0.2331,0.3753,0.0000,-2.1808,0.0461,0.8832,0.0032,-0.9136,0.0032,5.7168,4.4300,1.2868
Clayton Tune,6.6272,-0.1386,-0.5658,0.0000,-0.1509,-0.2410,0.0239,0.4824,0.3725,0.0000,-2.3011,0.2016,0.0283,-0.0205,-2.2887,-0.0205,4.3181,4.8700,-0.5519
Dante Moore,6.6272,0.1095,0.4479,0.0000,-0.0615,0.5040,-0.0005,-0.2919,0.3658,0.0000,1.4333,0.2241,0.0697,-0.0806,2.8004,-0.0806,9.3469,10.5800,-1.2331
Caleb Williams,6.6272,-0.2137,0.3075,0.0000,-0.1204,0.6217,0.1773,0.0148,0.4643,0.0000,3.7215,0.1866,0.1208,0.2424,5.2804,0.2424,12.1500,12.4800,-0.3300
Paxton Lynch,6.6272,-0.2194,0.1611,0.0000,-0.0441,-0.4520,-0.1784,-0.2493,0.2098,0.0000,3.6188,-0.1697,0.0937,-0.0389,2.7705,-0.0389,9.3587,10.0000,-0.6413
