position,seed,n_subsets,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
QB,123,45,32,GB,0.8775295963024261,0.9229158752388067,0.7122841389861264,0.99005805279582,10,Conference Rank|ADJ%|Breakout Age|BTT%|YPC|YCO/A|TWP%|Draft Capital|40 Time|DAA,,13.67385297173892
QB,123,45,36,GB,0.8944039417711049,0.9085559077331133,0.8683759045579156,1.0783407425205487,14,Draft Capital|ADJ%|Comp%|MTF/A|TWP%|Draft Age|BMI|YPC|Conference Rank|DAA|40 Time|DOM+|YCO/A|Breakout Age,,13.26150248613609
QB,123,45,5,GB,0.8589158303066201,0.9076433170604692,0.8160178872864995,1.0837081786408156,9,BMI|40 Time|Draft Capital|BTT%|Breakout Age|Draft Age|DAA|MTF/A|ADJ%,,12.542061704702098
QB,123,45,43,GB,0.8458480246531979,0.9074836298125298,0.8701912159685142,1.0846446546583843,9,YCO/A|YPC|Conference Rank|Comp%|ADJ%|Draft Capital|40 Time|DAA|DOM+,,13.149302098963739
QB,123,45,18,GB,0.8925652458886388,0.9052976772088603,0.7471223941552614,1.097383695435499,15,BTT%|40 Time|Draft Capital|Draft Age|TWP%|YPC|YPA|Conference Rank|DOM+|Breakout Age|MTF/A|ADJ%|DAA|Comp%|BMI,,12.27762644639268
QB,123,45,11,GB,0.8948455451043165,0.9044179625340202,0.7761910685290898,1.1024688556397628,15,ADJ%|Draft Capital|DOM+|Breakout Age|YPC|YCO/A|YPA|BMI|Conference Rank|DAA|MTF/A|BTT%|TWP%|Draft Age|Comp%,,12.068900005151118
QB,123,45,3,GB,0.8945118588905503,0.903184232101373,0.7133425095673948,1.1095611318815146,15,TWP%|DAA|YCO/A|Conference Rank|YPA|40 Time|Breakout Age|DOM+|Draft Age|Draft Capital|BMI|Comp%|ADJ%|YPC|BTT%,,11.901549266248315
QB,123,45,35,GB,0.8611590477995626,0.9020781071836846,0.8498380762055818,1.1158815257455785,12,MTF/A|Conference Rank|40 Time|BTT%|Breakout Age|Draft Age|Comp%|YCO/A|Draft Capital|DOM+|DAA|YPA,,13.00935719522249
QB,123,45,41,GB,0.8901693558719547,0.8994389453638733,0.751440657111737,1.1308190013137283,16,DOM+|40 Time|BMI|DAA|Draft Age|ADJ%|TWP%|Breakout Age|YPC|Conference Rank|YPA|Draft Capital|BTT%|YCO/A|Comp%|MTF/A,,12.31625965298574
QB,123,45,28,GB,0.8866443729905725,0.8981258272342757,0.8029446910857883,1.1381781271073388,10,Breakout Age|Draft Capital|YPC|40 Time|Comp%|Draft Age|Conference Rank|ADJ%|YCO/A|TWP%,,12.393294973725244
QB,123,45,10,GB,0.8908617859804486,0.8978920066928636,0.7669688308271746,1.1394835457885522,16,ADJ%|TWP%|YPA|40 Time|Draft Age|Draft Capital|DOM+|YPC|BMI|DAA|Conference Rank|Breakout Age|Comp%|MTF/A|BTT%|YCO/A,,12.304892805210265
QB,123,45,13,GB,0.894579569339295,0.8974850549004734,0.7872233117420738,1.1417519957915552,13,ADJ%|TWP%|Draft Capital|Breakout Age|DAA|YCO/A|YPA|Draft Age|Conference Rank|Comp%|YPC|BMI|40 Time,,12.568378638987037
QB,123,45,29,GB,0.8911793189669461,0.8971375224302819,0.8254367285247739,1.1436856658958223,16,TWP%|40 Time|Draft Capital|Conference Rank|BTT%|YPC|BMI|Comp%|Draft Age|DOM+|Breakout Age|YPA|YCO/A|MTF/A|ADJ%|DAA,,12.331978753526876
QB,123,45,34,GB,0.8931614927053243,0.8954263317697214,0.7825873313143622,1.1531594409401043,16,BMI|Conference Rank|Draft Capital|MTF/A|ADJ%|40 Time|DAA|Draft Age|TWP%|YPA|YCO/A|YPC|BTT%|DOM+|Comp%|Breakout Age,,12.36458217885284
QB,123,45,19,GB,0.8772589308139466,0.8920534350246464,0.8415001687537905,1.1716087357060512,8,Draft Capital|BTT%|Draft Age|ADJ%|TWP%|DAA|Breakout Age|YCO/A,,12.469633793792992
