position,seed,n_subsets,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
RB,65,40,9,GB,0.8631883041078922,0.9161954659308369,0.5813458114201695,0.7964943751447233,11,ELU|40 Time|Breakout Age|Draft Capital|DOM+|YPC|Draft Age|YCO/A|Height|BMI|Conference Rank,,14.096034802491705
RB,65,40,8,GB,0.8633996143603853,0.9130887477512769,0.6104819899678502,0.8111234531415332,13,MTF/A|YPC|Draft Capital|YCO/A|Draft Age|Height|40 Time|Breakout Age|BMI|Conference Rank|DOM+|Break%|ELU,,14.49672477522311
RB,65,40,6,GB,0.8611104863060108,0.9121878428101466,0.619107455520508,0.8153165879173608,13,40 Time|MTF/A|ELU|Breakout Age|YPC|Draft Capital|Height|Draft Age|Weight|Conference Rank|DOM+|Break%|YCO/A,,14.488887379809498
RB,65,40,12,GB,0.8601663755165603,0.9089048991624206,0.6166919840399848,0.8304174481336357,13,Draft Capital|MTF/A|Conference Rank|40 Time|Draft Age|DOM+|Weight|BMI|Height|YPC|YCO/A|YPR|Breakout Age,,14.350441171363046
RB,65,40,33,GB,0.8592516109268861,0.9062776738464913,0.6318012791659773,0.8423071451743748,13,Breakout Age|YCO/A|Weight|BMI|40 Time|Draft Age|YPR|Break%|DOM+|MTF/A|YPC|Height|Draft Capital,,14.65482472266547
RB,65,40,14,GB,0.8354901986075298,0.8984796814422662,0.722691051307971,0.8766483932373699,12,Height|40 Time|MTF/A|YCO/A|ELU|BMI|Conference Rank|Weight|Draft Age|Draft Capital|Break%|DOM+,,13.586302980010199
RB,65,40,5,GB,0.8369252380266679,0.8875676857929654,0.7524004674199121,0.9225598076669237,11,Height|MTF/A|Draft Capital|YPR|Break%|DOM+|Conference Rank|40 Time|Breakout Age|Draft Age|BMI,,13.821628428649518
RB,65,40,24,GB,0.7806778274138035,0.8856213213789634,0.7779739624711673,0.9305109597629465,7,Conference Rank|BMI|YPC|Draft Capital|YPR|DOM+|MTF/A,,13.327578406506204
RB,65,40,35,GB,0.8447601048265136,0.8837323096756076,0.7111139102420079,0.9381633822024688,8,DOM+|40 Time|MTF/A|YPC|Breakout Age|YPR|Height|Draft Capital,,14.423854524158655
RB,65,40,2,GB,0.791195973198224,0.8828284894592011,0.7692322251009617,0.9418027833573124,7,YPR|BMI|Height|40 Time|Draft Capital|MTF/A|DOM+,,13.533246327942573
RB,65,40,23,GB,0.8394925888164311,0.876813056551478,0.7736253664314677,0.9656756819974197,10,Height|BMI|Draft Capital|ELU|Conference Rank|DOM+|YPR|Breakout Age|Draft Age|Break%,,13.691141480996414
RB,65,40,31,GB,0.8451413807776174,0.8701909132532416,0.7638178932920927,0.9912917744019171,8,ELU|Breakout Age|Break%|DOM+|Height|Draft Capital|MTF/A|40 Time,,14.354582546845755
RB,65,40,39,GB,0.8413048254821716,0.8634559508542723,0.8171600516236569,1.0166824901507037,9,YPR|ELU|DOM+|Draft Capital|Breakout Age|YPC|BMI|YCO/A|Height,,14.431402143117086
RB,65,40,30,GB,0.8189809266528465,0.8619581474103135,0.8365301760738307,1.0222434694694778,8,ELU|DOM+|Draft Capital|Draft Age|Weight|Conference Rank|BMI|Break%,,14.236462250417405
RB,65,40,15,GB,0.8006941495809519,0.8442679416527729,0.8036096672802817,1.0857703231816909,13,YCO/A|MTF/A|Breakout Age|BMI|Break%|Height|YPC|Draft Capital|40 Time|Draft Age|YPR|Conference Rank|ELU,,14.232670733830833
