Player,Bias,DOM+,RDOM+,Draft Capital,ELU,Break%,10+,FUM,MTF,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Score_15,Model_Output_raw_RB,Train_Target_raw,Error_Target
Aaron Jones,-128.6629,4.1171,8.7462,-12.2353,2.7395,4.1572,-8.7062,12.4153,8.0680,17.0770,7.4664,36.3788,7.4664,11.3685,-84.8178,-61.0000,-23.8178
Ezekiel Elliott,-128.6629,2.4099,9.1821,83.3498,-6.6331,0.1036,-6.0918,-1.3823,10.6493,3.5256,-1.1034,95.1131,-1.1034,14.6437,-34.6531,-7.0000,-27.6531
Kareem Hunt,-128.6629,2.2954,-1.3519,50.8565,6.3539,-1.3047,-7.4015,-15.4348,9.6843,2.0184,2.7982,45.7156,2.7982,11.6734,-80.1487,-34.0000,-46.1487
Matt Jones,-128.6629,-21.8995,-3.5976,57.5512,1.6970,-2.4612,-1.6533,-6.1561,4.4249,0.8318,-17.4839,28.7372,-17.4839,9.2407,-117.4096,-187.0000,69.5904
Mike Davis,-128.6629,2.8277,0.1525,0.9509,1.9005,-2.3469,-1.4429,-5.0802,7.2408,0.1739,-15.2340,4.3763,-15.2340,7.7971,-139.5205,-161.0000,21.4795
Jordan James,-128.6629,-12.1739,-17.3961,-9.1441,-9.0108,3.4203,7.3023,-8.7121,-30.7932,-21.5899,2.7802,-98.0975,2.7802,2.2829,-223.9800,-91.0000,-132.9800
Antonio Gibson,-128.6629,5.3800,-19.2441,53.2941,7.8793,2.0389,5.6129,-16.3642,-17.7015,21.6478,0.7029,42.5432,0.7029,11.3294,-85.4168,-36.0000,-49.4168
Keaontay Ingram,-128.6629,-3.1118,-0.6336,-52.0513,1.7389,-1.4342,-2.8769,-4.2341,3.4486,15.1193,0.6924,-44.0351,0.6924,5.6762,-172.0056,-182.0000,9.9944
Myles Gaskin,-128.6629,1.4718,3.9959,-72.7215,-12.8991,-0.6130,0.0059,-5.1794,11.7271,-13.4411,0.5059,-87.6534,0.5059,2.8163,-215.8105,-230.0000,14.1895
Jake Funk,-128.6629,5.7320,17.0838,-61.4395,-8.0687,7.5932,4.8244,-9.5850,-33.3734,-21.0476,-4.4537,-98.2808,-4.4537,1.7986,-231.3973,-217.0000,-14.3973
