Player,Bias,DOM+,RDOM+,Draft Capital,ELU,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Score_15,Model_Output_raw_RB,Train_Target_raw,Error_Target
Aaron Jones,-129.1276,4.6501,17.1522,-9.3208,9.9255,22.5463,9.8575,44.9533,9.8575,11.1420,-74.3169,-61.0000,-13.3169
Ezekiel Elliott,-129.1276,0.7257,11.1616,89.1686,-14.6326,5.0167,-1.1842,91.4400,-1.1842,13.3747,-38.8717,-7.0000,-31.8717
Kareem Hunt,-129.1276,1.9689,0.1809,56.6195,9.2774,5.4768,7.3515,73.5235,7.3515,12.7838,-48.2527,-34.0000,-14.2527
Matt Jones,-129.1276,-31.1867,-6.2595,56.6544,4.1289,3.9198,-14.5020,27.2569,-14.5020,8.4929,-116.3728,-187.0000,70.6272
Mike Davis,-129.1276,0.8459,5.1387,-0.2737,5.5426,3.5598,-15.3535,14.8133,-15.3535,7.6555,-129.6679,-161.0000,31.3321
Jordan James,-129.1276,-19.5162,-26.6705,-9.1142,-14.7096,-17.6621,0.2278,-87.6726,0.2278,2.1814,-216.5723,-91.0000,-125.5723
Antonio Gibson,-129.1276,9.9244,-26.0351,57.0725,10.9946,16.3284,-3.1648,68.2848,-3.1648,11.7914,-64.0077,-36.0000,-28.0077
Keaontay Ingram,-129.1276,1.9899,-2.8871,-52.9445,3.3942,15.7323,-2.4494,-34.7152,-2.4494,5.3485,-166.2922,-182.0000,15.7078
Myles Gaskin,-129.1276,-3.0864,17.8247,-69.1598,-19.3271,-13.1950,-0.6267,-86.9436,-0.6267,2.1734,-216.6980,-230.0000,13.3020
Jake Funk,-129.1276,6.7926,36.8657,-67.2523,-20.5849,-19.4985,-4.9672,-63.6774,-4.9672,3.3656,-197.7722,-217.0000,19.2278
De'Angelo Henderson,-129.1276,-19.4064,-18.1382,-58.4686,3.0807,0.2188,-1.7547,-92.7137,-1.7547,1.7389,-223.5960,-283.0000,59.4040
Snoop Conner,-129.1276,-0.0471,-11.9903,-10.1325,0.9943,-17.5563,1.5640,-38.7319,1.5640,5.3483,-166.2955,-293.0000,126.7045
