Player,Bias,DOM+,RDOM+,Draft Capital,ELU,MTF,Y/RR,10+,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Score_15,Model_Output_raw_RB,Train_Target_raw,Error_Target
Aaron Jones,-129.2619,4.2491,10.1804,-10.4906,4.0272,7.6317,-3.5296,-3.9473,18.4548,8.9472,26.5757,8.9472,10.1195,-93.7388,-61.0000,-32.7388
Ezekiel Elliott,-129.2619,1.1551,9.3131,85.2583,-8.1283,12.1887,2.1639,-2.8140,4.1486,-1.1534,103.2854,-1.1534,14.5735,-27.1299,-7.0000,-20.1299
Kareem Hunt,-129.2619,1.4915,-1.1009,55.6934,6.2754,11.4660,2.2349,-3.2282,1.6993,2.2917,74.5314,2.2917,12.8812,-52.4389,-34.0000,-18.4389
Matt Jones,-129.2619,-25.0599,-1.0078,55.1697,1.4603,5.4458,-1.4740,-2.8888,1.0279,-14.7461,32.6732,-14.7461,8.9429,-111.3348,-187.0000,75.6652
Mike Davis,-129.2619,1.2075,1.1278,1.4060,1.5470,7.9629,-0.0452,-2.4805,-0.1989,-15.1627,10.5266,-15.1627,7.4342,-133.8980,-161.0000,27.1020
Jordan James,-129.2619,-15.5399,-17.5388,-9.0888,-9.3717,-36.1247,1.0349,9.5920,-21.6728,1.2096,-98.7098,1.2096,1.2245,-226.7621,-91.0000,-135.7621
Antonio Gibson,-129.2619,8.1110,-17.3479,58.4925,6.2080,-23.8166,-0.9872,8.3604,26.8525,-0.5643,65.8727,-0.5643,12.1112,-63.9535,-36.0000,-27.9535
Keaontay Ingram,-129.2619,-2.7140,-2.9350,-51.7071,1.0792,7.6433,3.8573,-3.4571,15.6698,-1.4742,-32.5636,-1.4742,5.4681,-163.2998,-182.0000,18.7002
Myles Gaskin,-129.2619,1.5023,7.1077,-69.2089,-17.5394,12.3844,4.3673,-0.3103,-13.2484,-1.4510,-74.9453,-1.4510,2.6357,-205.6582,-230.0000,24.3418
Jake Funk,-129.2619,3.6250,20.5621,-63.6071,-13.9271,-40.6099,4.5573,6.4881,-24.5508,-8.3507,-107.4624,-8.3507,0.0000,-245.0750,-217.0000,-28.0750
De'Angelo Henderson,-129.2619,-17.7534,-17.7560,-61.0783,1.8994,6.8854,-3.2328,-4.0009,-3.9301,-0.3575,-98.9667,-0.3575,1.1026,-228.5860,-283.0000,54.4140
Snoop Conner,-129.2619,-2.2526,-3.0356,-10.9376,-2.8309,-32.3911,0.9491,4.8184,-22.9261,-1.9056,-68.6064,-1.9056,3.0292,-199.7738,-293.0000,93.2262
Chase Edmonds,-129.2619,-17.8773,-11.1216,4.5299,1.3134,7.0844,-1.4740,-3.6551,-1.1859,-1.0475,-22.3862,-1.0475,6.1772,-152.6955,-294.0000,141.3045
Tyler Ervin,-129.2619,5.1945,1.8867,-5.3347,-12.4654,12.1153,-0.1521,3.3732,-29.3368,-14.3860,-24.7193,-14.3860,5.1293,-168.3670,-172.0000,3.6330
Kaleb Johnson,-129.2619,10.4415,14.2895,49.8964,1.3554,11.7761,-2.9615,-1.3304,16.6914,0.2902,100.1584,0.2902,14.4609,-28.8134,-22.0000,-6.8134
Jahmyr Gibbs,-129.2619,9.3175,-3.4747,86.1412,6.2532,8.7495,1.2226,0.0708,-7.4781,3.3933,100.8020,3.3933,14.7115,-25.0666,-6.0000,-19.0666
Kendre Miller,-129.2619,-2.7538,-0.6579,48.9359,1.0706,11.7631,1.1476,1.8768,12.1596,-1.1021,73.5419,-1.1021,12.5881,-56.8222,-77.0000,20.1778
Tony Pollard,-129.2619,3.2227,-21.1303,0.9302,0.9871,-31.2448,-2.9359,8.9331,0.1496,3.4627,-41.0883,3.4627,5.2282,-166.8876,-88.0000,-78.8876
Anthony McFarland Jr.,-129.2619,-17.8773,-11.1216,4.5299,1.3134,7.0844,-1.4740,-3.6551,-1.1859,-0.3575,-22.3862,-0.3575,6.2234,-152.0055,-113.0000,-39.0055
Ameer Abdullah,-129.2619,5.6573,7.6413,74.9778,1.8456,13.5555,-0.4240,-3.2405,-19.7807,7.4314,80.2323,7.4314,13.6061,-41.5981,-78.0000,36.4019
Chris Evans,-129.2619,0.6128,-17.2623,-57.4985,8.8034,-25.6752,-4.8673,9.6444,19.1821,0.9904,-67.0606,0.9904,3.3262,-195.3320,-259.0000,63.6680
Jaylen Wright,-129.2619,-2.3781,-5.9976,3.6391,-14.9130,5.2907,2.1561,-8.2053,22.7876,2.8851,2.3795,2.8851,8.0962,-123.9974,-82.0000,-41.9974
Isiah Pacheco,-129.2619,0.5436,-1.4404,-63.7666,6.1779,-32.6098,3.0042,10.7026,-21.6258,0.2155,-99.0143,0.2155,1.1377,-228.0607,-267.0000,38.9393
Cameron Artis-Payne,-129.2619,-3.0380,-1.5111,-9.9631,-11.8272,17.9819,2.7908,-3.8816,-27.3364,-0.6138,-36.7847,-0.6138,5.2434,-166.6603,-211.0000,44.3397
Darrynton Evans,-129.2619,5.3242,-2.7182,49.1381,6.0702,11.8302,0.8808,-2.7300,-32.1404,4.3812,35.6549,4.3812,10.4213,-89.2259,-160.0000,70.7741
Kenneth Dixon,-129.2619,7.7363,0.7636,-0.1198,6.8013,16.1736,1.9819,-2.6455,-11.4844,8.4753,19.2070,8.4753,9.5952,-101.5796,-106.0000,4.4204
Tyler Badie,-129.2619,10.1904,22.5652,-54.6127,2.1875,14.0561,-2.2092,-2.6448,-4.2373,0.5995,-14.7048,0.5995,6.8010,-143.3672,-140.0000,-3.3672
Donnel Pumphrey,-129.2619,0.5091,1.4708,-0.0271,-1.9120,18.3740,-0.1229,-0.4291,-17.1616,-12.4680,0.7012,-12.4680,6.9574,-141.0287,-111.0000,-30.0287
Raymond Calais,-129.2619,1.6015,-25.6580,-81.0735,-10.9181,-23.0522,2.2407,2.2174,28.6049,-5.1260,-106.0373,-5.1260,0.3109,-240.4252,-319.0000,78.5748
Kyle Monangai,-129.2619,0.2646,9.3265,-70.5011,11.1385,13.0833,3.7078,1.3431,-4.2245,-3.4573,-35.8618,-3.4573,5.1150,-168.5809,-255.0000,86.4191
Tyrion Davis-Price,-129.2619,-12.5223,9.4747,42.4797,-0.0509,6.3422,-1.8760,-3.8387,-35.2246,2.6356,4.7841,2.6356,8.2403,-121.8422,-193.0000,71.1578
