Player,Bias,DOM+,RDOM+,Draft Capital,ELU,YCO/A,MTF,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Score_15,Model_Output_raw_RB,Train_Target_raw,Error_Target
Darrynton Evans,-130.2911,9.8014,0.0727,55.1423,6.1487,-23.5567,10.5152,-0.5186,58.1236,-0.5186,11.2702,-72.6861,-160.0000,87.3139
Bhayshul Tuten,-130.2911,6.0097,4.7752,-1.9388,6.7322,21.2452,9.9395,-5.6277,46.7630,-5.6277,10.1829,-89.1558,-54.0000,-35.1558
Isaiah Spiller,-130.2911,1.7607,1.3523,-2.2291,6.0672,-2.0926,15.5903,0.8645,20.4488,0.8645,8.8743,-108.9778,-75.0000,-33.9778
Trey Benson,-130.2911,2.2181,-0.8797,61.5571,1.7555,6.5923,6.2452,5.1793,77.4885,5.1793,12.9247,-47.6232,-45.0000,-2.6232
Wendell Smallwood,-130.2911,-9.4965,0.0548,-9.9193,-10.5240,-25.0008,4.9790,6.9902,-49.9068,6.9902,4.6340,-173.2077,-155.0000,-18.2077
Dexter Williams,-130.2911,2.6597,-16.4268,-63.0130,6.0285,22.5386,-3.9904,12.2334,-52.2034,12.2334,4.8286,-170.2611,-247.0000,76.7389
Devin Singletary,-130.2911,-3.8308,0.5237,44.5981,5.3961,4.0543,1.2001,-0.2608,51.9415,-0.2608,10.8791,-78.6105,-73.0000,-5.6105
Wayne Gallman,-130.2911,3.9140,3.5940,-2.4671,2.0395,-23.7314,12.9731,5.7239,-3.6779,5.7239,7.6023,-128.2452,-190.0000,61.7548
Cam Skattebo,-130.2911,11.0402,9.3678,0.7130,6.2420,21.3810,5.2541,11.2914,53.9981,11.2914,11.7775,-65.0016,-53.0000,-12.0016
Alexander Mattison,-130.2911,-3.5704,4.8245,51.5204,4.5744,-19.6757,1.1631,11.5950,38.8363,11.5950,10.7966,-79.8597,-149.0000,69.1403
Tyler Badie,-130.2911,16.9278,16.5602,-53.9172,3.3321,-10.1058,13.1766,2.4394,-14.0263,2.4394,6.7023,-141.8780,-140.0000,-1.8780
Dylan Sampson,-130.2911,-8.8945,9.1882,-5.4733,5.5968,1.3561,9.5076,-11.8528,11.2809,-11.8528,7.4295,-130.8629,-87.0000,-43.8629
Justin Jackson,-130.2911,5.6492,13.4808,-78.9686,1.7714,-21.0861,19.1171,-14.4638,-60.0362,-14.4638,2.5490,-204.7911,-177.0000,-27.7911
David Cobb,-130.2911,-3.9551,3.3024,-5.7312,-10.9815,-16.7518,11.5976,6.9280,-22.5196,6.9280,6.4380,-145.8828,-191.0000,45.1172
Jeremy McNichols,-130.2911,7.2029,12.2705,-7.0131,0.4806,-0.4694,10.1230,20.1345,22.5945,20.1345,10.2881,-87.5621,-104.0000,16.4379
Jermar Jefferson,-130.2911,-2.5098,14.3377,-89.8397,-0.6033,-11.1653,1.1439,3.7981,-88.6365,3.7981,1.8665,-215.1296,-144.0000,-71.1296
Kalen Ballage,-130.2911,-1.3396,-2.9985,-6.2243,-2.6527,-0.5387,-21.1939,5.6526,-34.9477,5.6526,5.5333,-159.5861,-242.0000,82.4139
De'Von Achane,-130.2911,6.4291,7.5465,53.5718,5.6136,1.8525,10.0750,0.3995,85.0885,0.3995,13.1109,-44.8030,-24.0000,-20.8030
Bucky Irving,-130.2911,4.8211,-1.1411,1.6827,2.4219,22.2045,10.5978,5.1780,40.5869,5.1780,10.4885,-84.5262,-56.0000,-28.5262
Demetric Felton,-130.2911,17.0511,2.7399,-56.2104,3.4732,-9.1374,6.5017,-4.3815,-35.5819,-4.3815,4.8290,-170.2547,-243.0000,72.7453
Kerryon Johnson,-130.2911,4.1710,3.4446,85.5001,1.5530,-16.5667,10.3557,6.2835,88.4577,6.2835,13.7218,-35.5499,-110.0000,74.4501
DeeJay Dallas,-130.2911,3.0051,2.7956,0.5810,1.2996,2.1901,8.7252,23.2542,18.5966,23.2542,10.2301,-88.4403,-162.0000,73.5597
Elijah Mitchell,-130.2911,0.4481,2.4906,-53.1341,12.1750,25.9242,5.5376,4.7373,-6.5586,4.7373,7.3470,-132.1125,-213.0000,80.8875
Tevin Coleman,-130.2911,2.9657,7.9000,48.2942,4.1325,18.2712,11.1858,-4.4499,92.7494,-4.4499,13.2965,-41.9916,-42.0000,0.0084
Eric Gray,-130.2911,3.7695,-0.9610,-14.3072,-13.8263,-21.1422,2.8816,1.0664,-43.5856,1.0664,4.6603,-172.8102,-154.0000,-18.8102
Kareem Hunt,-130.2911,11.1124,0.6609,57.3819,5.6409,-4.4629,3.3003,6.9340,73.6335,6.9340,12.7861,-49.7236,-34.0000,-15.7236
Darius Jackson,-130.2911,-0.1411,4.4341,-56.1301,-11.0890,17.3056,-22.3897,3.1343,-68.0102,3.1343,3.1844,-195.1670,-299.0000,103.8330
Josh Robinson,-130.2911,2.1645,-1.5558,-56.7140,8.7054,2.0128,15.3168,0.4308,-30.0703,0.4308,5.5106,-159.9307,-178.0000,18.0693
Damien Harris,-130.2911,-3.9442,-4.5121,52.7369,-1.3359,16.1589,-20.9117,19.0688,38.1919,19.0688,11.2474,-73.0304,-76.0000,2.9696
Dameon Pierce,-130.2911,6.3627,-3.5088,-0.8480,1.4204,0.8241,6.2536,13.6323,10.5040,13.6323,9.0607,-106.1547,-134.0000,27.8453
Snoop Conner,-130.2911,1.3338,-1.1829,-6.2809,-4.1987,5.9539,-22.9109,9.9727,-27.2857,9.9727,6.3243,-147.6041,-293.0000,145.3959
Elijah McGuire,-130.2911,10.4719,-1.9622,-55.3290,-14.2021,1.3457,1.9795,-7.6138,-57.6962,-7.6138,3.1557,-195.6013,-132.0000,-63.6013
Kenneth Gainwell,-130.2911,4.8758,-0.7842,-13.7180,6.6665,-7.4306,13.9082,-1.3488,3.5177,-1.3488,7.6104,-128.1222,-129.0000,0.8778
Paul Perkins,-130.2911,-1.7159,5.6860,-12.8296,6.7416,-0.1921,8.1829,-2.6829,5.8729,-2.6829,7.6779,-127.1012,-101.0000,-26.1012
Blake Corum,-130.2911,10.2506,5.9543,60.1756,-1.9307,0.1263,-20.3566,18.3966,54.2195,18.3966,12.2612,-57.6749,-83.0000,25.3251
Bijan Robinson,-130.2911,2.1883,9.9996,85.8124,-12.5209,12.7711,4.8514,5.1860,103.1019,5.1860,14.6161,-22.0031,-1.0000,-21.0031
Bo Scarbrough,-130.2911,2.4728,-10.9953,-91.3354,6.5857,12.8362,-28.3003,-4.3751,-108.7363,-4.3751,0.0000,-243.4026,-142.0000,-101.4026
