Player,Bias,DOM+,RDOM+,Draft Capital,ELU,10+,Breakout Age,YCO/A,Y/RR,Break%,MTF,FUM,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Score_15,Model_Output_raw_RB,Train_Target_raw,Error_Target
Darrynton Evans,-130.3877,5.9625,0.2379,56.1994,9.0551,0.5107,-1.1660,-18.1028,0.7473,-0.0648,9.3066,-5.1788,-4.2954,57.5071,-4.2954,10.9235,-77.1761,-160.0000,82.8239
Bhayshul Tuten,-130.3877,4.4726,-0.1511,-3.7625,11.0848,0.3445,-11.2329,17.3657,-9.9832,13.2663,6.6315,11.3899,-2.9266,39.4256,-2.9266,9.8252,-93.8887,-54.0000,-39.8887
Isaiah Spiller,-130.3877,4.5124,0.9425,-4.1458,4.9083,-2.2911,35.9089,2.1240,0.5375,0.6165,10.2860,-4.7204,1.8668,48.6788,1.8668,10.7483,-79.8420,-75.0000,-4.8420
Trey Benson,-130.3877,3.5737,0.2883,59.9699,-0.3846,-0.1802,-1.9208,2.5244,-3.0845,12.2871,6.9304,-4.0138,-3.4660,75.9899,-3.4660,12.1927,-57.8637,-45.0000,-12.8637
Wendell Smallwood,-130.3877,-5.9378,-0.7301,-9.3951,-8.6825,-3.2829,-2.6693,-29.0525,4.0415,-2.6384,8.0659,-5.0846,1.1015,-55.3658,1.1015,3.8603,-184.6521,-155.0000,-29.6521
Dexter Williams,-130.3877,0.2222,-6.0045,-57.2665,-3.1569,26.8480,-2.5679,12.6666,4.6828,18.0849,-17.9010,-5.4723,4.7882,-29.8646,4.7882,5.7785,-155.4640,-247.0000,91.5360
Devin Singletary,-130.3877,-4.3127,-0.7145,51.6440,5.5840,-3.7781,3.0395,12.2031,4.7788,0.2152,0.8383,8.6138,4.4124,78.1114,4.4124,12.8498,-47.8639,-73.0000,25.1361
Wayne Gallman,-130.3877,-1.4500,0.2568,-6.1686,-0.1757,-2.9624,-5.5066,-15.8382,3.6022,-0.6600,11.8606,-4.8616,1.8332,-21.9035,1.8332,6.1075,-150.4580,-190.0000,39.5420
Cam Skattebo,-130.3877,19.7833,10.7557,-4.1980,12.0479,-2.8810,-10.5956,13.9851,-1.2677,-2.4750,0.8194,12.2582,4.7297,48.2323,4.7297,10.9071,-77.4258,-53.0000,-24.4258
Alexander Mattison,-130.3877,-2.7158,0.3605,57.3475,-4.5274,-0.2150,-0.4476,-15.1999,4.7004,15.0168,6.9100,-5.2294,8.5925,56.0001,8.5925,11.6714,-65.7951,-149.0000,83.2049
Tyler Badie,-130.3877,19.7874,16.5302,-50.0247,0.2248,-1.6046,-3.5470,-5.3126,-0.5978,1.4575,10.2968,-7.4309,1.2282,-20.2209,1.2282,6.1783,-149.3804,-140.0000,-9.3804
Dylan Sampson,-130.3877,-3.6375,5.8674,-5.3299,5.2129,-0.0033,11.4088,2.2200,5.1378,-2.2123,6.7458,13.2276,-4.2757,38.6373,-4.2757,9.6847,-96.0262,-87.0000,-9.0262
Justin Jackson,-130.3877,6.6189,16.2745,-79.2537,-0.6026,1.7935,6.6823,-15.3056,3.7965,-5.0591,13.1144,-6.2268,-18.9849,-58.1677,-18.9849,2.3562,-207.5402,-177.0000,-30.5402
