Player,Bias,DOM+,RDOM+,Draft Capital,ELU,10+,YCO/A,Break%,MTF,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Score_15,Model_Output_raw_RB,Train_Target_raw,Error_Target
Darrynton Evans,-130.5424,7.9866,0.2107,53.4929,8.9278,-6.9219,-20.1444,-0.6964,12.5032,-1.7141,55.3585,-1.7141,10.8947,-76.8980,-160.0000,83.1020
Bhayshul Tuten,-130.5424,6.6419,5.7065,-0.4634,9.9523,0.1673,19.1187,13.2141,12.4690,-2.1850,66.8064,-2.1850,11.6420,-65.9209,-54.0000,-11.9209
Isaiah Spiller,-130.5424,2.5247,0.4542,-2.0294,7.5882,-3.4710,0.4981,-0.3278,13.0941,1.5005,18.3311,1.5005,8.5927,-110.7108,-75.0000,-35.7108
Trey Benson,-130.5424,1.1117,-0.2189,56.8125,0.9719,2.0150,2.9629,11.5274,8.2882,-0.8940,83.4707,-0.8940,12.8644,-47.9658,-45.0000,-2.9658
Wendell Smallwood,-130.5424,-7.6603,-0.9928,-8.6765,-15.2260,-7.7698,-27.0619,-3.3732,9.7992,3.0383,-60.9613,3.0383,3.2991,-188.4655,-155.0000,-33.4655
Dexter Williams,-130.5424,1.6725,-23.7686,-59.8660,5.0037,33.3142,13.4263,16.7287,-20.6851,5.9194,-34.1743,5.9194,5.3189,-158.7973,-247.0000,88.2027
Devin Singletary,-130.5424,0.5432,-0.0855,53.8688,7.5108,-7.1117,4.5549,1.7405,4.1829,-0.8980,65.2039,-0.8980,11.6205,-66.2364,-73.0000,6.7636
Wayne Gallman,-130.5424,0.6545,4.2828,-4.2802,0.3465,-3.2021,-21.5649,-0.4714,15.4384,3.7680,-8.7964,3.7680,6.9002,-135.5707,-190.0000,54.4293
Cam Skattebo,-130.5424,12.8114,11.8218,-1.5971,9.2328,-7.6343,17.6620,-1.9897,6.2436,7.8463,46.5505,7.8463,10.9459,-76.1455,-53.0000,-23.1455
Alexander Mattison,-130.5424,1.2103,2.7544,56.8514,0.4084,0.9733,-14.4515,13.3991,6.3845,8.4952,67.5299,8.4952,12.4184,-54.5173,-149.0000,94.4827
Tyler Badie,-130.5424,14.5571,16.4715,-49.4861,2.6155,-5.4727,-4.7778,0.6925,14.3144,2.9017,-11.0856,2.9017,6.6854,-138.7264,-140.0000,1.2736
Dylan Sampson,-130.5424,-5.3034,11.0405,-3.5343,6.1744,0.8180,1.9195,-0.7576,8.6965,-8.8020,19.0536,-8.8020,7.9405,-120.2907,-87.0000,-33.2907
Justin Jackson,-130.5424,8.4526,13.9616,-78.4742,2.2050,3.6350,-15.7522,-3.9998,18.3424,-16.8650,-51.6296,-16.8650,2.5794,-199.0370,-177.0000,-22.0370
David Cobb,-130.5424,-2.1594,1.6778,-8.1422,-14.8101,-8.6226,-11.5610,-0.5611,14.6036,-6.0281,-29.5750,-6.0281,4.8187,-166.1455,-191.0000,24.8545
Jeremy McNichols,-130.5424,7.5037,12.8854,-7.5093,1.9594,-0.4676,2.4630,-3.2795,14.8414,14.5924,28.3965,14.5924,10.1692,-87.5537,-104.0000,16.4463
Jermar Jefferson,-130.5424,0.5262,16.0900,-81.6364,1.0324,-3.7972,-6.4309,0.9446,2.2664,3.1487,-71.0049,3.1487,2.6229,-198.3986,-144.0000,-54.3986
Kalen Ballage,-130.5424,1.7908,0.9443,-5.7540,-1.8008,34.2736,-11.3330,-2.6256,-34.1029,3.2346,-18.6076,3.2346,6.1959,-145.9154,-242.0000,96.0846
De'Von Achane,-130.5424,7.2417,6.1356,55.2934,7.9720,0.8994,2.5369,0.1333,12.5337,-1.2080,92.7460,-1.2080,13.4745,-39.0043,-24.0000,-15.0043
Bucky Irving,-130.5424,5.2819,-0.2975,0.0384,1.7837,-0.2843,17.0920,-1.8590,8.9502,1.9697,30.7054,1.9697,9.4671,-97.8673,-56.0000,-41.8673
Demetric Felton,-130.5424,13.5980,4.0901,-50.7828,1.7730,-3.9363,-5.0775,-2.0595,11.0741,-2.5573,-31.3209,-2.5573,4.9361,-164.4206,-243.0000,78.5794
Kerryon Johnson,-130.5424,4.5957,4.5791,79.7914,0.4918,-3.4256,-18.2498,0.1394,14.1931,3.4628,82.1151,3.4628,13.0687,-44.9644,-110.0000,65.0356
DeeJay Dallas,-130.5424,2.9184,0.9754,-1.4076,0.9935,2.5381,3.3853,-5.6186,7.3961,16.6483,11.1806,16.6483,9.1372,-102.7135,-162.0000,59.2865
Elijah Mitchell,-130.5424,0.1213,2.0534,-51.1834,11.1781,0.2957,19.2912,0.0909,7.2299,0.5509,-10.9229,0.5509,6.5364,-140.9144,-213.0000,72.0856
Tevin Coleman,-130.5424,-0.5583,12.1433,48.3877,4.4523,-6.3779,12.8936,2.0193,13.9389,-10.5046,86.8989,-10.5046,12.4435,-54.1480,-42.0000,-12.1480
Eric Gray,-130.5424,6.0371,-0.3357,-9.5484,-13.4240,-3.6760,-18.4881,1.7832,4.3489,2.3388,-33.3030,2.3388,5.1345,-161.5066,-154.0000,-7.5066
Kareem Hunt,-130.5424,13.8503,-1.1432,58.4736,7.2364,-7.6011,-2.7430,-0.4200,6.5039,9.8183,74.1569,9.8183,12.9596,-46.5672,-34.0000,-12.5672
Darius Jackson,-130.5424,0.6693,5.3463,-50.8198,-15.8767,-0.7858,7.8952,0.0304,-34.0988,-0.5860,-87.6399,-0.5860,1.2361,-218.7683,-299.0000,80.2317
Josh Robinson,-130.5424,2.8972,4.9187,-51.7452,8.5068,2.6705,1.7952,0.9856,14.0424,-1.1677,-15.9288,-1.1677,6.0786,-147.6389,-178.0000,30.3611
Damien Harris,-130.5424,0.4548,-3.5210,58.1264,-0.8266,-2.2812,16.2849,0.6464,-28.5704,16.8011,40.3133,16.8011,11.1309,-73.4280,-76.0000,2.5720
Dameon Pierce,-130.5424,6.6132,-0.1362,-1.8368,0.7005,5.3030,2.7868,-0.1368,6.4638,11.9112,19.7575,11.9112,9.3986,-98.8737,-134.0000,35.1263
Snoop Conner,-130.5424,4.0003,2.2180,-8.4790,-3.7304,0.3221,1.2685,-2.7726,-34.3959,2.9994,-41.5690,2.9994,4.6167,-169.1119,-293.0000,123.8881
Elijah McGuire,-130.5424,6.9754,4.5792,-50.1420,-15.0965,-2.0642,-7.2067,0.5679,4.2979,-9.4881,-58.0890,-9.4881,2.6419,-198.1193,-132.0000,-66.1193
Kenneth Gainwell,-130.5424,6.5221,-1.0933,-10.3299,7.7721,2.3899,-5.2874,-5.2714,14.2812,-2.2860,8.9833,-2.2860,7.6985,-123.8451,-129.0000,5.1549
