Player,Bias,DOM+,RDOM+,Draft Capital,ELU,FUM,Breakout Age,Break%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Score_15,Model_Output_raw_RB,Train_Target_raw,Error_Target
Ty Johnson,-135.0178,-2.1373,-12.2656,-50.7197,-3.6723,-5.6952,5.4846,2.4402,0.4546,-66.5653,0.4546,2.9955,-201.1283,-125.0000,-76.1283
Kyren Williams,-135.0178,-1.1735,-7.6171,-14.3221,-15.5918,16.1947,-6.6836,0.3083,2.5916,-28.8851,2.5916,5.1652,-161.3112,-127.0000,-34.3112
Karlos Williams,-135.0178,-2.3520,-6.3779,-10.3105,-21.4179,-5.3669,-9.1100,-6.1670,1.0604,-61.1022,1.0604,3.3262,-195.0597,-173.0000,-22.0597
Will Shipley,-135.0178,2.1875,-2.8205,6.7453,13.8674,13.9360,8.4799,-1.9183,2.9035,40.4773,2.9035,8.9619,-91.6370,-119.0000,27.3630
Trayveon Williams,-135.0178,0.0342,24.0670,-43.8967,-4.2640,15.9129,16.4696,1.9370,2.7800,10.2600,2.7800,7.3086,-121.9777,-97.0000,-24.9777
Myles Gaskin,-135.0178,-8.6060,2.9744,-82.7875,-20.1822,-6.5478,18.4166,4.3152,-0.7698,-92.4173,-0.7698,1.5200,-228.2049,-230.0000,1.7951
DJ Giddens,-135.0178,-0.4499,-3.4551,-15.0666,-2.8464,-5.6254,-7.7812,2.3179,1.8949,-32.9067,1.8949,4.9081,-166.0295,-71.0000,-95.0295
Joe Mixon,-135.0178,11.8864,-2.9103,81.6486,11.7735,11.4588,9.3243,4.6947,0.4466,127.8760,0.4466,13.5906,-6.6951,-16.0000,9.3049
Travis Etienne,-135.0178,1.5906,-0.1258,85.4422,15.7341,-3.8084,16.2650,-0.4545,-0.7461,114.6432,-0.7461,12.8045,-21.1207,-12.0000,-9.1207
DeeJay Dallas,-135.0178,0.1444,0.2744,2.7462,-3.3584,-5.4894,-8.5036,0.6026,2.8366,-13.5838,2.8366,6.0124,-145.7649,-162.0000,16.2351
Michael Carter,-135.0178,1.9320,-7.2669,5.3135,16.8327,-5.6361,13.1088,-1.2557,3.4523,23.0283,3.4523,8.0410,-108.5372,-79.0000,-29.5372
Gary Brightwell,-135.0178,-2.1198,-5.0346,-50.8892,19.0466,-5.3738,2.2240,2.3954,3.1039,-39.7514,3.1039,4.6010,-171.6652,-218.0000,46.3348
