Player,Bias,DOM+,RDOM+,Draft Capital,ELU,Breakout Age,FUM,10+,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Score_15,Model_Output_raw_RB,Train_Target_raw,Error_Target
Ty Johnson,-135.7236,-3.7410,-6.1286,-51.3606,-9.0582,4.3428,-6.5295,-11.4144,1.5683,-83.8895,1.5683,1.8594,-218.0447,-125.0000,-93.0447
Kyren Williams,-135.7236,-1.1639,-4.6811,-18.7662,-21.1977,-1.3321,11.8233,-12.0318,8.2391,-47.3495,8.2391,4.3946,-174.8341,-127.0000,-47.8341
Karlos Williams,-135.7236,-1.3443,-10.4706,-19.6158,-11.5731,-0.3893,-5.3568,-2.1098,1.8465,-50.8597,1.8465,3.8136,-184.7369,-173.0000,-11.7369
Will Shipley,-135.7236,2.2553,-6.5367,11.2058,10.6626,8.5329,11.3723,2.8670,6.0619,40.3592,6.0619,9.4129,-89.3025,-119.0000,29.6975
Trayveon Williams,-135.7236,-1.7879,21.1231,-43.9906,-5.5755,16.6498,14.0589,5.3600,11.4583,5.8378,11.4583,7.7041,-118.4274,-97.0000,-21.4274
Myles Gaskin,-135.7236,-2.6969,0.6030,-74.4518,-16.4967,8.8629,-3.5166,9.1467,-2.9852,-78.5494,-2.9852,1.9055,-217.2581,-230.0000,12.7419
DJ Giddens,-135.7236,1.3411,-3.1889,-17.4959,-3.4894,-1.1690,-4.7451,10.7856,6.3867,-17.9616,6.3867,6.0102,-147.2985,-71.0000,-76.2985
Joe Mixon,-135.7236,19.8681,-5.5936,78.2560,14.6504,7.8069,9.7171,8.4291,0.6822,133.1340,0.6822,14.5404,-1.9074,-16.0000,14.0926
Travis Etienne,-135.7236,-7.4912,-2.8915,82.8823,19.4151,14.9547,-3.0574,1.6874,-8.8412,105.4994,-8.8412,12.3603,-39.0653,-12.0000,-27.0653
DeeJay Dallas,-135.7236,0.8981,1.3192,9.3459,-7.0672,-4.8036,-6.2152,-10.5514,9.1419,-17.0742,9.1419,6.2239,-143.6559,-162.0000,18.3441
Michael Carter,-135.7236,2.2011,-11.7482,9.4240,16.7236,8.2325,-3.5871,0.9465,10.8284,22.1924,10.8284,8.6266,-102.7029,-79.0000,-23.7029
Gary Brightwell,-135.7236,4.0329,-10.6289,-49.2582,31.6769,3.4148,-5.8530,-11.3197,1.2118,-37.9352,1.2118,4.5347,-172.4469,-218.0000,45.5531
Jake Funk,-135.7236,9.0428,7.8069,-70.8488,-22.6275,-9.7232,-9.2186,-0.8459,5.1305,-96.4143,5.1305,1.3335,-227.0074,-217.0000,-10.0074
Keaontay Ingram,-135.7236,-2.6570,-2.1547,-47.2798,-9.8196,17.3732,-3.3170,-2.1483,1.2381,-50.0032,1.2381,3.8282,-184.4887,-182.0000,-2.4887
Damien Harris,-135.7236,-16.0443,-2.2141,65.1583,-6.0581,-2.8622,-6.6508,3.6147,10.2538,34.9435,10.2538,9.3411,-90.5262,-76.0000,-14.5262
Devin Singletary,-135.7236,4.5883,-1.1654,66.0368,25.8277,5.9751,10.6999,1.9751,-7.3700,113.9375,-7.3700,12.9417,-29.1561,-73.0000,43.8439
Ezekiel Elliott,-135.7236,0.6417,8.3377,83.5467,-18.2745,10.1786,-2.0860,2.4101,-6.7514,84.7543,-6.7514,11.2658,-57.7208,-7.0000,-50.7208
Kylin Hill,-135.7236,-3.1363,-3.3494,-78.3025,-14.6022,-0.6450,-16.8659,6.1894,-3.3010,-110.7119,-3.3010,0.0000,-249.7366,-221.0000,-28.7366
Ke'Shawn Vaughn,-135.7236,23.9220,4.6746,65.2148,-5.6844,25.4204,-3.4400,0.8167,-4.3900,110.9241,-4.3900,12.9397,-29.1896,-50.0000,20.8104
Kaleb Johnson,-135.7236,22.2254,2.3722,63.4864,-2.2136,-14.4091,-11.8293,2.2996,1.9309,61.9316,1.9309,10.4362,-71.8610,-22.0000,-49.8610
Derrius Guice,-135.7236,0.7619,2.7625,82.7088,22.3726,7.6515,-3.0574,2.9625,1.7536,116.1624,1.7536,13.6075,-17.8076,-28.0000,10.1924
Todd Gurley,-135.7236,-6.4042,-3.8626,77.5932,-9.4228,27.4435,-3.3351,-0.6824,6.6730,81.3296,6.6730,11.8525,-47.7210,-2.0000,-45.7210
Jonathan Taylor,-135.7236,21.3839,9.6065,76.0691,-3.1262,14.3030,8.6140,3.6663,11.1326,130.5166,11.1326,15.0000,5.9257,-10.0000,15.9257
Josh Jacobs,-135.7236,1.7477,1.1139,89.3170,-16.8523,-4.8050,-3.2196,-0.1052,-0.4334,67.1965,-0.4334,10.6063,-68.9605,-26.0000,-42.9605
Jordan Wilkins,-135.7236,0.1048,9.8498,-18.3819,-24.7565,-17.9232,-3.9765,-10.8673,1.9794,-65.9508,1.9794,2.9360,-199.6950,-231.0000,31.3050
Ameer Abdullah,-135.7236,12.9668,8.6434,81.2097,-3.9590,7.2129,-3.1416,3.9034,5.7731,106.8356,5.7731,13.2962,-23.1149,-78.0000,54.8851
Rashaad Penny,-135.7236,11.4047,8.2891,80.3924,-2.4331,-4.2568,-3.1416,4.6964,-8.1442,94.9511,-8.1442,11.7823,-48.9166,-31.0000,-17.9166
Trey Sermon,-135.7236,0.9973,-7.3877,71.5955,-7.6893,-0.5625,-6.6508,2.2296,7.1538,52.5321,7.1538,10.1911,-76.0376,-114.0000,37.9624
Duke Johnson,-135.7236,21.7769,10.6179,66.8681,-4.9832,8.8173,-3.4400,0.8721,-4.5759,100.5291,-4.5759,12.3190,-39.7705,-59.0000,19.2295
Evan Hull,-135.7236,20.8007,11.9890,-16.7486,-4.8665,-7.1003,-5.1778,-1.9268,6.9057,-3.0303,6.9057,6.9166,-131.8483,-107.0000,-24.8483
Jarquez Hunter,-135.7236,0.3632,20.2517,5.4553,-5.3608,15.0226,12.4656,8.5612,6.8375,56.7588,6.8375,10.4205,-72.1273,-70.0000,-2.1273
Donnel Pumphrey,-135.7236,-1.3783,3.0700,5.6115,-15.8825,18.1730,13.3827,4.1238,-22.6114,27.1002,-22.6114,6.9526,-131.2348,-111.0000,-20.2348
Joe Williams,-135.7236,-6.4787,-5.6039,6.9630,-20.0574,-18.3865,12.7896,7.0314,10.2799,-23.7425,10.2799,5.8994,-149.1863,-224.0000,74.8137
Ty Chandler,-135.7236,-0.1773,-1.0947,-16.6124,22.8981,-0.1041,-2.1393,8.0845,1.6266,10.8548,1.6266,7.4216,-123.2422,-146.0000,22.7578
Darrynton Evans,-135.7236,14.1617,-0.9254,63.5219,21.0474,-0.4587,-11.4467,1.8488,7.4162,87.7490,7.4162,12.2727,-40.5582,-160.0000,119.4418
Mike Davis,-135.7236,2.7364,2.5606,9.1132,-4.6954,29.8798,-4.0877,0.7850,-19.7270,36.2919,-19.7270,7.6612,-119.1587,-161.0000,41.8413
Jermar Jefferson,-135.7236,1.0694,20.9354,-72.9276,-10.3869,25.7560,14.4382,-10.2427,2.9428,-31.3582,2.9428,5.0221,-164.1390,-144.0000,-20.1390
Matt Jones,-135.7236,-42.3476,13.5357,64.7925,-5.3864,25.2130,-3.3947,-0.8478,-19.7991,51.5647,-19.7991,8.5530,-103.9581,-187.0000,83.0419
Kerryon Johnson,-135.7236,0.0031,2.7981,86.7995,-5.6109,9.3031,-2.0635,0.9908,-2.6743,92.2202,-2.6743,11.9430,-46.1778,-110.0000,63.8222
Joshua Kelley,-135.7236,-3.2315,18.8753,7.4438,-16.2992,-9.9249,-4.0712,0.2912,7.3883,-6.9165,7.3883,6.7170,-135.2517,-246.0000,110.7483
Audric Estime,-135.7236,-18.8087,-1.1095,-11.9275,9.9700,-14.7386,-3.6301,-7.5856,3.2690,-47.8300,3.2690,4.0748,-180.2846,-86.0000,-94.2846
Kareem Hunt,-135.7236,3.0985,-2.2204,64.2640,21.2216,27.4650,-11.4467,-1.1613,5.9416,101.2207,5.9416,12.9766,-28.5613,-34.0000,5.4387
Derrick Henry,-135.7236,-9.5333,-1.5963,71.0282,-4.3040,-6.2144,11.2811,4.2761,6.2983,64.9374,6.2983,10.8688,-64.4878,-20.0000,-44.4878
