position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
RB,56,20,15,50,15,GB,0.415106591734263,0.5672601040053524,38.294414259572264,47.979998856874914,8,DOM+|RDOM+|Draft Capital|ELU|Breakout Age|FUM|10+,SpeedxBMI,5.925730709187414
RB,56,20,15,50,18,GB,0.4455191193369167,0.5507817364584285,36.23449307725197,48.88498288552134,8,DOM+|RDOM+|Draft Capital|ELU|FUM|Breakout Age|Break%,SpeedxBMI,-15.754863993848502
RB,56,20,15,50,12,GB,0.4632513122551802,0.5485100890181788,37.778534757125946,49.00843001343109,8,DOM+|RDOM+|Draft Capital|ELU|Breakout Age|Break%|YCO/A,SpeedxBMI,-12.904173259906345
RB,56,20,15,50,8,GB,0.4697223874320414,0.5315882068711355,39.25696945464118,49.9184021491115,12,DOM+|RDOM+|Draft Capital|ELU|Break%|Y/RR|MTF|FUM|10+|YCO/A|Breakout Age,SpeedxBMI,4.9938558209551855
RB,56,20,15,50,11,GB,0.47482140012190255,0.5224266721321887,38.72584723965452,50.40420822152975,12,DOM+|RDOM+|Draft Capital|ELU|FUM|Y/RR|10+|Break%|YCO/A|MTF|Breakout Age,SpeedxBMI,0.24117735005642707
RB,56,20,15,50,10,GB,0.4360300781487093,0.5167276226939954,37.766584889379956,50.704061826789065,8,DOM+|RDOM+|Draft Capital|ELU|FUM|Breakout Age|MTF,SpeedxBMI,-9.47791275610856
RB,56,20,15,50,14,GB,0.4914661986406749,0.5055639848753197,39.74285953832257,51.286352604651164,12,DOM+|RDOM+|Draft Capital|ELU|YCO/A|Break%|10+|MTF|Y/RR|Breakout Age|FUM,SpeedxBMI,-7.038304966177463
RB,56,20,15,50,1,GB,0.452011645814891,0.505419495189058,38.55341273860775,51.29384579635421,7,DOM+|RDOM+|Draft Capital|ELU|Breakout Age|MTF,SpeedxBMI,-10.890723500311262
RB,56,20,15,50,2,GB,0.48380586165540546,0.49734736180195227,37.95766598748123,51.71073946747182,12,DOM+|RDOM+|Draft Capital|ELU|MTF|FUM|10+|YCO/A|Y/RR|Breakout Age|Break%,SpeedxBMI,-8.82442454689944
RB,56,20,15,50,3,GB,0.4912983139300697,0.49670520827470843,40.364151411225784,51.7437599198745,9,DOM+|RDOM+|Draft Capital|ELU|Y/RR|YCO/A|10+|Break%,SpeedxBMI,-3.6629458123791827
RB,56,20,15,50,0,GB,0.4368738813899957,0.4934023734730175,40.93749554688824,51.91326458059754,5,DOM+|RDOM+|Draft Capital|ELU,SpeedxBMI,-1.178414657683286
RB,56,20,15,50,9,GB,0.4368738813899957,0.4934023734730175,40.93749554688824,51.91326458059754,5,DOM+|RDOM+|Draft Capital|ELU,SpeedxBMI,-1.178414657683286
RB,56,20,15,50,16,GB,0.4835869500329381,0.48430224332986715,40.12231523193888,52.37745425180895,12,DOM+|RDOM+|Draft Capital|ELU|10+|Y/RR|Break%|YCO/A|MTF|Breakout Age|FUM,SpeedxBMI,-0.7804694173713606
RB,56,20,15,50,4,GB,0.48317174974782107,0.47209046449481284,38.957337166690394,52.99397767147597,12,DOM+|RDOM+|Draft Capital|ELU|MTF|Y/RR|Break%|YCO/A|FUM|10+|Breakout Age,SpeedxBMI,-3.5355965602990125
RB,56,20,15,50,13,GB,0.45306621413066595,0.46819140839879103,39.66443558975197,53.189320199578155,9,DOM+|RDOM+|Draft Capital|ELU|Breakout Age|10+|MTF|Y/RR,SpeedxBMI,-2.1321365274257316
