Player,Bias,DOM+,MTF/A,Draft Capital,Breakout Age,RDOM+,YPC,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Grade,Actual_RB_Grade,Error
Bryce Love,7.9035,0.1125,0.5801,-0.4191,0.8400,-0.4071,0.1861,0.2511,-0.1966,1.1436,-0.1966,8.8505,8.6500,0.2005
Jordan Scarlett,7.9035,-0.3713,0.5308,-0.7320,-0.2667,-0.3784,-0.1018,0.1313,-0.0010,-1.1881,-0.0010,6.7144,6.6200,0.0944
Dwayne Washington,7.9035,-0.6920,0.5349,-2.1425,-0.2401,0.2876,-0.0672,0.0471,-0.1005,-2.2722,-0.1005,5.5309,7.0600,-1.5291
Keaontay Ingram,7.9035,-0.4631,0.4514,-1.4711,0.7017,-0.1429,-0.1277,-0.3081,-0.0154,-1.3598,-0.0154,6.5284,6.0700,0.4584
Blake Corum,7.9035,0.1851,0.2973,1.1524,-0.4805,-0.3668,-0.1166,-0.0989,-0.1032,0.5720,-0.1032,8.3724,8.8700,-0.4976
Alex Collins,7.9035,0.7267,-0.4689,-0.7672,0.5416,-1.0374,-0.1458,-0.3309,-0.1149,-1.4819,-0.1149,6.3067,7.8600,-1.5533
Elijah Mitchell,7.9035,-0.8289,0.6044,-1.5567,-0.0912,-0.6192,0.2182,0.2643,0.4930,-2.0091,0.4930,6.3874,5.4100,0.9774
Jaylen Wright,7.9035,-0.1285,0.4686,-0.3249,-0.3422,-0.4997,0.1780,0.4323,0.1402,-0.2164,0.1402,7.8273,8.8800,-1.0527
Jordan Wilkins,7.9035,-0.0058,-0.3588,-0.7398,-0.7598,-0.0501,0.1158,-0.4079,-0.0268,-2.2064,-0.0268,5.6702,4.9700,0.7002
TreVeyon Henderson,7.9035,0.0483,-0.0267,2.1814,0.6356,0.5207,0.2000,0.5314,0.0048,4.0907,0.0048,11.9990,11.4800,0.5190
Clyde Edwards-Helaire,7.9035,-0.1438,0.3793,3.2599,-0.3861,0.3663,0.1883,-0.2481,-0.0367,3.4158,-0.0367,11.2828,10.3200,0.9628
Anthony McFarland Jr.,7.9035,-0.1821,-0.0253,-0.3066,-0.2796,-0.0549,0.2806,0.0489,0.0232,-0.5190,0.0232,7.4077,7.7600,-0.3523
Jacory Croskey-Merritt,7.9035,0.5435,0.4332,-1.7884,-0.6453,-0.5388,0.1574,0.1968,-0.2034,-1.6416,-0.2034,6.0585,7.5200,-1.4615
Jordan James,7.9035,0.1340,0.4139,-0.6959,-0.3691,-0.3012,0.2161,0.1791,-0.0847,-0.4231,-0.0847,7.3958,8.4300,-1.0342
Kenneth Walker III,7.9035,0.5950,0.3253,1.9110,-0.1425,-0.6009,0.1451,0.5044,-0.0151,2.7374,-0.0151,10.6259,11.2100,-0.5841
Brittain Brown,7.9035,-1.0111,-0.0876,-2.0309,-0.1329,-0.0332,0.1245,0.1786,0.1332,-2.9926,0.1332,5.0441,4.0300,1.0141
Derrick Henry,7.9035,0.9975,-0.6008,2.0962,-0.3439,-0.5628,-0.0709,-0.3038,0.0198,1.2115,0.0198,9.1348,11.5000,-2.3652
Bhayshul Tuten,7.9035,0.6459,0.8710,-0.4041,0.6008,-0.0128,0.2011,0.6110,0.1279,2.5129,0.1279,10.5443,9.9300,0.6143
Dameon Pierce,7.9035,-0.7781,0.9519,-0.3926,-0.7861,0.1338,-0.0588,-0.2387,-0.2088,-1.1686,-0.2088,6.5261,7.0900,-0.5639
Jase McClellan,7.9035,-0.0752,0.4923,-1.4304,-0.5323,-0.4533,-0.1209,-0.0899,-0.0069,-2.2097,-0.0069,5.6869,6.2900,-0.6031
Matt Jones,7.9035,-0.0451,-0.6488,1.4106,-0.1779,-0.5749,-0.3507,0.0272,0.0462,-0.3596,0.0462,7.5902,5.9200,1.6702
Jake Funk,7.9035,0.8152,0.0060,-1.8027,-0.7787,-0.4561,0.1166,0.2582,0.0689,-1.8415,0.0689,6.1309,5.3600,0.7709
Jordan Howard,7.9035,0.6688,-0.1088,-0.7658,0.6135,-0.0048,0.0931,-0.3855,-0.1648,0.1105,-0.1648,7.8492,8.8800,-1.0308
Israel Abanikanda,7.9035,0.4711,0.4591,-0.7259,-0.0795,-0.5606,-0.0944,-0.0366,0.1282,-0.5668,0.1282,7.4650,8.8900,-1.4250
Larry Rountree III,7.9035,0.9303,-0.8649,-1.4400,0.5138,-0.1144,-0.5448,-0.4349,-0.0550,-1.9549,-0.0550,5.8936,4.0100,1.8836
Isiah Pacheco,7.9035,-0.2067,-1.1245,-2.0317,0.4063,-0.3808,-0.6503,-0.4764,0.0249,-4.4641,0.0249,3.4644,4.0600,-0.5956
Kimani Vidal,7.9035,-0.0857,0.5732,-1.4457,0.6707,-0.2330,-0.0456,0.0047,0.0253,-0.5614,0.0253,7.3673,5.5200,1.8473
Kareem Hunt,7.9035,0.6996,0.3991,1.3405,0.5998,0.8108,-0.0739,0.3468,-0.1522,4.1227,-0.1522,11.8741,10.7800,1.0941
