Player,Bias,DOM+,Draft Capital,ELU,YPC,RDOM+,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Grade,Actual_RB_Grade,Error
Bryce Love,7.9125,0.1460,-0.2533,0.7604,-0.1293,-0.1702,0.0562,-0.1876,0.4098,-0.1876,8.1346,8.6500,-0.5154
Jordan Scarlett,7.9125,-0.4778,-0.9017,0.7488,-0.0636,-0.1819,-0.0613,-0.2549,-0.9375,-0.2549,6.7201,6.6200,0.1001
Dwayne Washington,7.9125,-0.7661,-1.9802,-0.9653,-0.0311,0.3570,0.0934,-0.0936,-3.2923,-0.0936,4.5267,7.0600,-2.5333
Keaontay Ingram,7.9125,-0.4458,-1.7058,0.2465,-0.0651,-0.3259,-0.0681,0.0060,-2.3642,0.0060,5.5543,6.0700,-0.5157
Blake Corum,7.9125,0.4048,1.2118,0.5155,-0.0906,-0.3818,-0.0641,0.0982,1.5956,0.0982,9.6063,8.8700,0.7363
Alex Collins,7.9125,0.9837,-0.8587,-0.7251,-0.1510,-0.7983,-0.1271,-0.2625,-1.6765,-0.2625,5.9736,7.8600,-1.8864
Elijah Mitchell,7.9125,-0.7337,-1.7685,0.8179,0.2053,-0.6945,0.1445,0.4369,-2.0290,0.4369,6.3204,5.4100,0.9104
Jaylen Wright,7.9125,-0.1813,-0.2084,0.7965,0.2248,-0.5458,0.1819,0.4263,0.2677,0.4263,8.6065,8.8800,-0.2735
Jordan Wilkins,7.9125,-0.0864,-0.9165,-0.4911,0.0286,-0.0899,-0.1987,-0.1054,-1.7540,-0.1054,6.0530,4.9700,1.0830
TreVeyon Henderson,7.9125,0.1992,2.1926,0.1576,0.2853,0.6610,0.4185,-0.0123,3.9142,-0.0123,11.8144,11.4800,0.3344
Clyde Edwards-Helaire,7.9125,-0.1834,3.2080,0.1022,0.0802,0.2086,-0.0272,-0.1279,3.3884,-0.1279,11.1729,10.3200,0.8529
Anthony McFarland Jr.,7.9125,-0.1995,-0.3622,-0.4218,0.1478,-0.2282,-0.1039,0.2307,-1.1678,0.2307,6.9754,7.7600,-0.7846
Jacory Croskey-Merritt,7.9125,0.5678,-1.7157,0.7967,-0.0483,-0.7342,-0.0407,-0.1295,-1.1744,-0.1295,6.6085,7.5200,-0.9115
Jordan James,7.9125,0.2254,-0.8143,0.3006,0.2405,-0.2882,-0.0898,-0.1330,-0.4258,-0.1330,7.3537,8.4300,-1.0763
Kenneth Walker III,7.9125,0.6338,2.0959,0.5188,0.2349,-0.3732,0.4762,-0.0772,3.5864,-0.0772,11.4217,11.2100,0.2117
Brittain Brown,7.9125,-0.8312,-1.8449,0.4825,0.0200,-0.2959,0.0706,0.0401,-2.3989,0.0401,5.5537,4.0300,1.5237
Derrick Henry,7.9125,1.0496,2.1439,-0.3965,0.0419,-0.4681,-0.1046,0.3073,2.2662,0.3073,10.4861,11.5000,-1.0139
Bhayshul Tuten,7.9125,0.6722,-0.2958,0.7963,0.2549,0.0284,0.5257,0.1280,1.9817,0.1280,10.0222,9.9300,0.0922
Dameon Pierce,7.9125,-0.5692,-0.2254,0.8593,0.0089,0.2530,-0.0156,-0.2455,0.3110,-0.2455,7.9781,7.0900,0.8881
Jase McClellan,7.9125,-0.1022,-1.6963,-0.0994,-0.1416,-0.4251,-0.2046,-0.1383,-2.6692,-0.1383,5.1050,6.2900,-1.1850
Matt Jones,7.9125,-0.0924,1.4835,-0.9081,-0.4166,-0.4802,0.0609,-0.0277,-0.3529,-0.0277,7.5319,5.9200,1.6119
Jake Funk,7.9125,1.0607,-1.7251,-0.7576,-0.2484,-0.5094,0.0685,0.1817,-2.1113,0.1817,5.9829,5.3600,0.6229
Jordan Howard,7.9125,0.9103,-0.8692,-0.5212,0.1699,-0.2190,-0.1283,-0.0924,-0.6575,-0.0924,7.1625,8.8800,-1.7175
Israel Abanikanda,7.9125,0.5528,-0.8124,0.3955,-0.0766,-0.6473,-0.0730,0.4481,-0.6610,0.4481,7.6996,8.8900,-1.1904
Larry Rountree III,7.9125,1.0254,-1.6912,-0.7899,-0.3784,-0.2736,-0.2352,-0.1059,-2.3429,-0.1059,5.4637,4.0100,1.4537
Isiah Pacheco,7.9125,-0.1338,-1.8568,-1.0377,-0.3708,-0.5800,-0.2491,0.0714,-4.2282,0.0714,3.7556,4.0600,-0.3044
Kimani Vidal,7.9125,-0.0987,-1.7608,0.1962,0.0041,-0.2497,-0.1202,-0.1786,-2.0291,-0.1786,5.7047,5.5200,0.1847
Kareem Hunt,7.9125,0.8005,1.4011,0.0189,-0.0286,0.4024,0.1338,-0.2538,2.7281,-0.2538,10.3869,10.7800,-0.3931
Khalfani Muhammad,7.9125,-0.7878,-1.8913,0.4019,-0.0268,-0.3253,-0.1141,-0.0189,-2.7434,-0.0189,5.1501,3.9800,1.1701
Alvin Kamara,7.9125,-0.1412,1.3926,0.6315,0.0370,0.4855,-0.1134,0.0350,2.2920,0.0350,10.2395,10.8400,-0.6005
Zack Moss,7.9125,0.3754,1.3806,0.7845,-0.0818,0.1846,0.4119,0.0158,3.0552,0.0158,10.9835,9.3800,1.6035
CJ Baxter,7.9125,-0.8792,-0.4191,-0.9531,-0.4209,-0.3766,-0.2166,-0.0222,-3.2655,-0.0222,4.6248,5.6300,-1.0052
Tyrion Davis-Price,7.9125,-0.0795,1.4393,-0.8864,-0.2270,-0.3856,-0.5149,0.0299,-0.6541,0.0299,7.2881,5.8400,1.4481
Joshua Kelley,7.9125,0.0503,-0.4447,-1.0572,0.0097,-0.2558,-0.0263,0.0304,-1.7240,0.0304,6.2188,4.6500,1.5688
Marcus Murphy,7.9125,-0.1168,-1.8952,-0.9338,0.0186,0.4814,-0.5458,-0.0567,-2.9916,-0.0567,4.8641,3.5800,1.2841
Saquon Barkley,7.9125,0.5164,3.4304,0.5474,-0.1782,0.5245,-0.0283,0.0808,4.8122,0.0808,12.8056,14.3800,-1.5744
Nick Chubb,7.9125,0.4657,1.9254,-0.0761,0.0743,-0.3495,-0.1496,-0.1846,1.8902,-0.1846,9.6182,10.6700,-1.0518
Devin Singletary,7.9125,0.6299,1.2541,0.4919,0.1195,-0.4139,-0.1908,-0.1582,1.8907,-0.1582,9.6450,9.3300,0.3150
Kaleb Johnson,7.9125,0.5375,1.3703,0.5040,0.1498,0.2646,0.4570,-0.0363,3.2832,-0.0363,11.1594,11.4700,-0.3106
