Player,Bias,DOM+,Breakout Age,YCO/A,MTF/A,YPC,ELU,Draft Capital,RDOM+,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Grade,Actual_RB_Grade,Error
Joshua Kelley,7.8724,-0.2095,0.0545,-0.0404,-0.2692,-0.0156,-0.6253,-0.4515,-0.2292,0.0084,-1.7862,0.0084,6.0947,4.6500,1.4447
Trey Sermon,7.8724,-0.1857,-0.7320,0.2783,0.1952,0.2584,0.2458,1.2704,-0.5321,-0.0322,0.7983,-0.0322,8.6386,7.7400,0.8986
Eno Benjamin,7.8724,0.5470,0.4087,-0.1730,0.1982,-0.0560,0.1952,-1.7389,0.2096,0.0492,-0.4092,0.0492,7.5123,6.6100,0.9023
Tyler Allgeier,7.8724,-0.0642,-0.0585,0.0849,0.2299,0.3045,0.4295,-0.6608,-0.3595,0.1392,-0.0942,0.1392,7.9175,6.6300,1.2875
Keith Marshall,7.8724,-0.5458,-0.1127,-0.0084,-0.4337,-0.5994,-0.9297,-1.7574,-0.9503,0.0523,-5.3374,0.0523,2.5874,3.6000,-1.0126
Keaontay Ingram,7.8724,-0.5084,0.5658,-0.1207,0.1927,0.0615,0.2314,-1.5559,-0.2884,-0.0065,-1.4220,-0.0065,6.4439,6.0700,0.3739
Cam Skattebo,7.8724,0.6043,0.3024,0.2147,0.1065,0.0267,0.4826,-0.5634,0.5811,-0.6214,1.7549,-0.6214,9.0058,9.9300,-0.9242
Gary Brightwell,7.8724,-0.3106,-0.7217,0.3151,0.1695,-0.0785,0.2283,-1.5386,-0.3742,0.1027,-2.3107,0.1027,5.6642,5.3400,0.3242
Kimani Vidal,7.8724,-0.2990,0.5618,0.0528,0.2122,-0.0249,0.3049,-1.5845,-0.2833,0.0377,-1.0600,0.0377,6.8499,5.5200,1.3299
Brian Hill,7.8724,0.1122,0.5530,-0.1646,-0.4330,0.1010,-0.4767,-0.6482,-0.3475,-0.0198,-1.3038,-0.0198,6.5488,5.3300,1.2188
Jase McClellan,7.8724,-0.3425,-0.4319,0.0092,0.2117,-0.0349,0.0982,-1.5661,-0.3009,0.0528,-2.3572,0.0528,5.5679,6.2900,-0.7221
Derrius Guice,7.8724,0.6248,0.1127,0.1838,-0.0993,0.3237,0.1215,1.9039,-0.4213,0.1164,2.7498,0.1164,10.7385,11.0200,-0.2815
DeeJay Dallas,7.8724,-0.5482,-0.0073,-0.0298,0.2509,-0.0521,0.3708,-0.3053,-0.2254,0.0436,-0.5464,0.0436,7.3695,6.5800,0.7895
Nick Chubb,7.8724,0.1787,0.5229,-0.0527,-0.1168,0.3316,0.0589,2.0402,-0.5103,0.1058,2.4525,0.1058,10.4308,10.6700,-0.2392
Christian McCaffrey,7.8724,0.9719,0.4240,-0.1537,-0.1841,0.2792,-0.2203,3.4007,0.7915,0.0222,5.3092,0.0222,13.2038,13.1400,0.0638
Ashton Jeanty,7.8724,0.5623,0.8635,0.4899,0.4466,0.2352,0.5163,3.4795,0.2529,0.0778,6.8462,0.0778,14.7965,14.3900,0.4065
Isaiah Spiller,7.8724,0.5713,0.5811,0.2600,0.1784,0.0311,0.3422,-0.4964,0.2309,0.0048,1.6986,0.0048,9.5758,9.2600,0.3158
Kaytron Allen,7.8724,-0.3712,0.1079,0.3911,0.4787,0.1948,0.3483,-0.7360,-0.4776,0.1247,-0.0640,0.1247,7.9329,9.6500,-1.7171
Mike Davis,7.8724,0.3764,-0.1824,0.0761,-0.2025,-0.0063,-0.9652,-0.5947,0.0935,-0.5861,-1.4051,-0.5861,5.8811,6.5800,-0.6989
Todd Gurley,7.8724,0.8887,0.7733,-0.0155,0.1456,0.2584,0.1660,3.3117,0.3974,0.1897,5.9256,0.1897,13.9876,14.3900,-0.4024
Rashaad Penny,7.8724,0.7547,-0.2642,0.1601,0.0793,0.2746,0.5383,2.9598,-0.1911,0.1041,4.3115,0.1041,12.2880,10.8800,1.4080
Raymond Calais,7.8724,-0.8738,-0.0511,0.0377,-0.4381,0.5601,-0.1656,-1.8024,-0.5411,-0.0464,-3.2743,-0.0464,4.5516,2.2900,2.2616
D'Andre Swift,7.8724,0.1363,0.2607,-0.0185,-0.1599,0.0645,0.0401,2.1889,0.3401,0.0649,2.8522,0.0649,10.7895,10.6900,0.0995
DeAndre Washington,7.8724,-0.2796,-0.7600,-0.0441,0.1930,0.0297,0.2155,-0.7430,0.1321,0.0459,-1.2564,0.0459,6.6618,7.1200,-0.4582
Ty Johnson,7.8724,-0.5588,0.5491,0.3033,-0.2613,0.5568,0.2322,-1.5617,-0.5101,-0.0034,-1.2505,-0.0034,6.6185,7.3100,-0.6915
Kareem Hunt,7.8724,0.6182,0.5833,0.0568,0.1562,-0.0512,0.2951,1.4227,1.0639,0.0762,4.1450,0.0762,12.0937,10.7800,1.3137
Darius Taylor,7.8724,0.8385,0.5656,-0.0121,-0.1802,0.0475,0.1265,-0.5232,0.1042,0.1975,0.9668,0.1975,9.0364,9.7300,-0.6936
James Cook,7.8724,-0.7345,-0.5680,0.0153,-0.1731,0.0301,-0.1257,2.3227,0.4094,0.0724,1.1762,0.0724,9.1210,8.8300,0.2910
Larry Rountree III,7.8724,0.8228,0.2767,-0.0385,-0.2185,-0.4305,-0.3053,-1.4107,-0.0916,0.0590,-1.3956,0.0590,6.5358,4.0100,2.5258
CJ Prosise,7.8724,0.3121,-0.3866,-0.0858,0.1154,0.0482,-0.1595,1.4557,0.1791,0.0588,1.4786,0.0588,9.4098,9.5200,-0.1102
Jaylen Wright,7.8724,-0.3066,-0.0586,0.3332,0.2554,0.2639,0.4772,-0.3197,-0.3600,0.1254,0.2848,0.1254,8.2825,8.8800,-0.5975
Brian Robinson Jr.,7.8724,-0.3080,-0.6167,0.3148,0.1976,-0.5711,0.0639,1.2619,-0.1531,0.0471,0.1893,0.0471,8.1087,8.2200,-0.1113
Boston Scott,7.8724,-0.7299,-0.6270,0.0200,-0.2152,0.2820,0.2150,-1.5859,-0.3979,0.1014,-3.0389,0.1014,4.9349,4.5200,0.4149
Quintrevion Wisner,7.8724,0.2926,0.2123,-0.4276,-0.1685,-0.6504,-0.5253,-0.5019,-0.1947,0.0474,-1.9635,0.0474,5.9564,7.2900,-1.3336
Tony Pollard,7.8724,-0.3429,-0.0143,0.1161,0.3205,0.2993,0.3309,-0.4124,0.3758,-0.0109,0.6730,-0.0109,8.5345,8.7200,-0.1855
Dalvin Cook,7.8724,0.3593,0.6088,0.2648,0.1535,0.3053,0.5246,2.2823,0.2262,-0.0200,4.7248,-0.0200,12.5772,12.4400,0.1372
Jamaal Williams,7.8724,-0.4972,0.3176,-0.1553,-0.1713,0.1075,-0.2426,-0.4147,-0.4217,0.0006,-1.4777,0.0006,6.3953,5.4500,0.9453
Blake Corum,7.8724,0.4814,0.0439,-0.0355,0.0611,-0.0449,0.3727,1.1932,-0.3367,-0.0118,1.7352,-0.0118,9.5958,8.8700,0.7258
Devin Neal,7.8724,0.6000,0.6038,-0.1313,0.1914,0.0438,0.2285,-1.5876,0.2530,0.0151,0.2016,0.0151,8.0892,8.2200,-0.1308
Cam Akers,7.8724,-0.1474,0.4326,-0.0569,0.1787,-0.7240,0.5627,2.0249,-0.1129,0.0461,2.1577,0.0461,10.0762,10.9100,-0.8338
Darius Jackson,7.8724,-0.4924,-0.3379,-0.4048,-0.4229,-0.5610,-0.7711,-1.5358,-0.3018,-0.0078,-4.8277,-0.0078,3.0369,3.1800,-0.1431
Justice Hill,7.8724,-0.5636,0.5128,-0.1136,-0.2372,-0.0088,-0.5060,-0.4391,-0.4388,-0.1135,-1.7943,-0.1135,5.9645,6.4800,-0.5155
Chuba Hubbard,7.8724,0.1638,0.3393,-0.0287,-0.2242,0.1000,0.1331,-0.4251,-0.1693,-0.0900,-0.1111,-0.0900,7.6713,8.6500,-0.9787
Qadree Ollison,7.8724,-0.4120,0.5133,-0.0330,-0.3907,0.0744,-0.3591,-0.6420,-0.4064,0.1021,-1.6555,0.1021,6.3189,6.1400,0.1789
Isiah Pacheco,7.8724,-0.4034,0.2680,-0.1282,-0.5537,-0.6726,-0.8915,-1.7050,-0.3045,0.0494,-4.3909,0.0494,3.5309,4.0600,-0.5291
Ty Chandler,7.8724,-0.5334,-0.0503,0.0091,-0.1247,-0.0666,0.2293,-0.6391,-0.0580,-0.0692,-1.2337,-0.0692,6.5694,6.8300,-0.2606
Mike Weber,7.8724,-0.5780,0.5317,-0.0565,-0.0985,0.0839,-0.1776,-1.7196,-0.4586,-0.0072,-2.4732,-0.0072,5.3920,5.5600,-0.1680
