Player,Bias,DOM+,YPC,YCO/A,Breakout Age,RDOM+,ELU,YPR,MTF/A,Draft Capital,Break%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Grade,Actual_RB_Grade,Error
Antonio Gibson,7.7477,-0.4949,0.0725,0.6910,-0.3045,0.6539,0.6277,0.0168,0.3761,1.5779,-0.1643,0.0342,3.0522,0.0342,10.8343,10.7200,0.1143
Benny Snell Jr.,7.7477,0.6851,-0.0111,0.2349,0.3666,-0.1039,0.1595,-0.0045,-0.0146,-0.2457,0.0416,-0.3570,1.1079,-0.3570,8.4986,8.2500,0.2486
Devin Neal,7.7477,0.4302,-0.0488,-0.1352,0.1056,0.3344,0.1703,0.0307,0.2662,-1.7095,-0.0001,0.0169,-0.5562,0.0169,7.2086,8.2200,-1.0114
Darwin Thompson,7.7477,-0.6421,0.2137,0.1108,-0.5390,0.3109,0.4288,0.0047,0.3933,-1.5856,-0.1372,-0.0404,-1.4417,-0.0404,6.2655,5.6900,0.5755
Javorius Allen,7.7477,0.5731,-0.0205,-0.3625,-0.3946,0.2797,-0.8025,0.0475,-0.5546,-0.4580,0.2208,0.0446,-1.4716,0.0446,6.3207,6.4800,-0.1593
Jerome Ford,7.7477,-0.3142,0.1216,0.0560,-0.5119,-0.2083,0.4050,0.0403,0.4334,-0.8139,-0.1206,0.1488,-0.9126,0.1488,6.9840,6.2600,0.7240
Jordan James,7.7477,0.2120,0.1729,0.2138,-0.1821,0.0148,0.2071,-0.0710,0.2268,-0.6924,0.0613,-0.0303,0.1632,-0.0303,7.8804,8.4300,-0.5496
Darrell Henderson,7.7477,-0.1541,0.2715,0.6350,-0.1376,0.1867,0.4897,-0.0093,0.1667,1.4297,-0.1708,-0.0455,2.7075,-0.0455,10.4096,10.2100,0.1996
Kenneth Gainwell,7.7477,-0.7849,0.0724,-0.0917,-0.1512,0.5524,0.0903,0.0204,-0.0401,-0.9353,-0.1244,-0.0182,-1.3921,-0.0182,6.3375,7.2100,-0.8725
Jonah Coleman,7.7477,0.5813,0.2027,0.2487,-0.1144,0.5279,0.4441,-0.0821,0.1761,1.4636,-0.0372,-0.2253,3.4107,-0.2253,10.9330,11.3400,-0.4070
