Player,Bias,DOM+,ELU,MTF/A,Draft Capital,YPR,Break%,RDOM+,YPC,Breakout Age,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Grade,Actual_RB_Grade,Error
Antonio Gibson,7.7477,-0.4967,0.6208,0.3796,1.5770,0.0177,-0.1616,0.6522,0.0719,-0.3049,0.6907,0.0352,3.0467,0.0352,10.8296,10.7200,0.1096
Benny Snell Jr.,7.7477,0.6793,0.1634,-0.0206,-0.2460,-0.0051,0.0413,-0.1034,-0.0122,0.3621,0.2351,-0.3575,1.0939,-0.3575,8.4839,8.2500,0.2339
Devin Neal,7.7477,0.4301,0.1709,0.2656,-1.7096,0.0317,0.0000,0.3342,-0.0485,0.1047,-0.1353,0.0171,-0.5562,0.0171,7.2086,8.2200,-1.0114
Darwin Thompson,7.7477,-0.6426,0.4248,0.3930,-1.5811,0.0059,-0.1368,0.3113,0.2146,-0.5394,0.1110,-0.0402,-1.4393,-0.0402,6.2681,5.6900,0.5781
Javorius Allen,7.7477,0.5742,-0.7994,-0.5549,-0.4583,0.0474,0.2207,0.2793,-0.0205,-0.3939,-0.3628,0.0450,-1.4682,0.0450,6.3246,6.4800,-0.1554
Jerome Ford,7.7477,-0.3141,0.4055,0.4326,-0.8137,0.0402,-0.1200,-0.2085,0.1216,-0.5115,0.0566,0.1476,-0.9113,0.1476,6.9840,6.2600,0.7240
Jordan James,7.7477,0.2124,0.2073,0.2261,-0.6952,-0.0711,0.0611,0.0173,0.1727,-0.1820,0.2144,-0.0303,0.1630,-0.0303,7.8804,8.4300,-0.5496
Darrell Henderson,7.7477,-0.1537,0.4907,0.1678,1.4287,-0.0123,-0.1732,0.1847,0.2714,-0.1382,0.6338,-0.0444,2.6997,-0.0444,10.4028,10.2100,0.1928
Kenneth Gainwell,7.7477,-0.7913,0.0876,-0.0417,-0.9351,0.0196,-0.1246,0.5512,0.0719,-0.1516,-0.0938,-0.0180,-1.4078,-0.0180,6.3219,7.2100,-0.8881
Jonah Coleman,7.7477,0.5820,0.4426,0.1776,1.4628,-0.0820,-0.0367,0.5258,0.2027,-0.1169,0.2498,-0.2288,3.4077,-0.2288,10.9265,11.3400,-0.4135
Ito Smith,7.7477,-0.0801,0.2972,0.3947,-0.1875,-0.0384,-0.0508,0.4229,0.1275,-0.0230,-0.0847,0.1547,0.7778,0.1547,8.6802,7.5300,1.1502
Trestan Ebner,7.7477,-0.4796,0.2914,0.4789,-1.6515,0.0364,-0.0171,0.5427,-0.1958,-0.7048,-0.0569,0.2224,-1.7563,0.2224,6.2138,5.2100,1.0038
Daijun Edwards,7.7477,-0.1603,-0.3167,0.0584,-1.4326,0.1170,-0.0581,-0.0383,-0.0614,-0.6077,-0.1906,0.0174,-2.6903,0.0174,5.0746,4.2300,0.8446
Damien Martinez,7.7477,-0.7444,0.4416,0.5311,-1.8053,-0.0062,0.1005,-0.2743,0.2242,0.3306,0.0712,0.2075,-1.1310,0.2075,6.8241,7.0300,-0.2059
RJ Harvey,7.7477,0.4922,0.3310,0.1808,2.4752,0.0505,-0.0440,0.4167,0.1644,-0.5708,0.0199,-0.0450,3.5159,-0.0450,11.2186,10.0700,1.1486
Eno Benjamin,7.7477,0.4109,0.1391,0.3347,-1.9430,-0.0611,-0.0100,0.3271,-0.1593,0.2756,-0.1181,-0.2271,-0.8041,-0.2271,6.7163,6.6100,0.1063
Isaac Guerendo,7.7477,-0.4561,0.3048,0.1824,-0.1298,-0.0527,-0.0955,0.0469,-0.0492,-0.3167,0.2054,0.1144,-0.3605,0.1144,7.5016,7.2000,0.3016
Jahmyr Gibbs,7.7477,-0.1743,0.5137,0.2515,3.4220,0.0497,-0.0308,0.5684,-0.0671,0.5698,0.1369,0.1845,5.2398,0.1845,13.1721,13.9800,-0.8079
Roschon Johnson,7.7477,-0.7907,0.5725,0.5453,-0.2737,-0.0384,-0.0121,-0.3313,-0.0412,-0.0843,0.1012,0.0198,-0.3527,0.0198,7.4148,8.0300,-0.6152
Samaje Perine,7.7477,-0.1994,0.2935,0.3564,-0.2451,-0.0842,-0.0206,-0.3875,-0.0322,0.2852,-0.1364,-0.3870,-0.1703,-0.3870,7.1904,8.2700,-1.0796
Trayveon Williams,7.7477,0.4611,0.0390,0.1589,-1.7523,-0.1381,-0.0226,0.3123,0.1976,0.3817,-0.1221,-0.0343,-0.4845,-0.0343,7.2288,8.2100,-0.9812
Jermar Jefferson,7.7477,0.8266,-0.3454,-0.5666,-1.9787,0.1157,-0.0025,-0.2289,0.0746,0.3304,-0.0663,-0.0178,-1.8411,-0.0178,5.8888,6.8500,-0.9612
Matt Jones,7.7477,-0.2169,-1.0938,-0.2776,1.2454,0.1327,0.3516,-0.5246,-0.1688,-0.0653,-0.1176,-0.0249,-0.7349,-0.0249,6.9878,5.9200,1.0678
Omarion Hampton,7.7477,0.6561,0.3495,0.0932,3.1406,0.0273,-0.0018,0.4052,-0.0905,-0.5455,0.1087,0.0606,4.1428,0.0606,11.9511,12.7900,-0.8389
Saquon Barkley,7.7477,0.5680,0.3699,0.2353,3.7479,0.0947,-0.0568,0.4856,-0.0240,0.6406,0.0020,-0.0358,6.0632,-0.0358,13.7751,14.3800,-0.6049
James Conner,7.7477,0.1156,0.1957,0.1585,1.5040,0.1540,0.0270,0.4929,0.3937,0.2481,-0.2641,-0.3593,3.0254,-0.3593,10.4140,10.5000,-0.0860
MarShawn Lloyd,7.7477,-0.4759,0.4582,0.4016,1.5147,0.0238,-0.0870,0.0648,0.1603,-0.4206,0.1373,-0.2161,1.7772,-0.2161,9.3087,9.5100,-0.2013
Karlos Williams,7.7477,-0.7040,-0.6743,-0.6385,-0.9127,0.0508,0.3857,0.0696,0.2734,-0.2323,-0.2218,0.0236,-2.6041,0.0236,5.1673,6.2800,-1.1127
Elijah Mitchell,7.7477,-0.7894,0.3945,0.4864,-1.5537,-0.0035,-0.0154,-0.3217,0.2017,-0.1132,-0.0865,0.0918,-1.8008,0.0918,6.0386,5.4100,0.6286
