position,seed,n_subsets,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
RB,456,20,15,GB,0.876227097296149,0.9049888573281233,0.6930668585737042,0.8736311378524146,10,DOM+|RDOM+|Draft Capital|Breakout Age|MTF/A|YPR|Break%|YPC|YCO/A,SpeedxBMI,14.401585676365679
RB,456,20,18,GB,0.8629586255879511,0.9040128587456867,0.7215427482537025,0.8781068454723716,10,DOM+|YPR|RDOM+|YCO/A|ELU|Break%|Draft Capital|MTF/A|Breakout Age,SpeedxBMI,14.524407828303495
RB,456,20,7,GB,0.8878924997577933,0.8979480018700896,0.7105550165376537,0.9054231414003232,9,DOM+|Breakout Age|YCO/A|MTF/A|YPC|ELU|Draft Capital|RDOM+,SpeedxBMI,14.796480080075906
RB,456,20,16,GB,0.857246920988457,0.8975011612868629,0.7235891365721845,0.907403200144244,8,DOM+|YPR|Draft Capital|MTF/A|YPC|Breakout Age|YCO/A,SpeedxBMI,14.45969557445166
RB,456,20,6,GB,0.8795404278558102,0.8959844962632962,0.7304948062613384,0.914091924922152,11,DOM+|YPR|YPC|MTF/A|RDOM+|Draft Capital|YCO/A|Breakout Age|Break%|ELU,SpeedxBMI,14.69299813109818
RB,456,20,2,GB,0.8756906851403832,0.8851592176227784,0.7756703348906767,0.9604812812711214,10,DOM+|YPC|Breakout Age|MTF/A|RDOM+|Break%|YPR|YCO/A|Draft Capital,SpeedxBMI,14.475678744114695
RB,456,20,13,GB,0.850555064748878,0.881060620972915,0.8302322002796446,0.9774705183854038,10,DOM+|Draft Capital|YCO/A|YPR|RDOM+|YPC|ELU|Break%|MTF/A,SpeedxBMI,14.086624382987585
RB,456,20,1,Ridge,0.8129291519712216,0.8595407934558585,0.8724047571554842,1.0622235836272276,5,DOM+|Draft Capital|ELU|YPR,SpeedxBMI,14.011657170611986
RB,456,20,3,GB,0.8033207951018315,0.8550023934253861,0.8542664963152619,1.0792479958501862,7,DOM+|Breakout Age|YCO/A|Draft Capital|YPC|YPR,SpeedxBMI,14.242465945719381
RB,456,20,12,GB,0.5757903596146734,0.7268704204831853,1.199904319892631,1.481239218057294,8,DOM+|YPC|Breakout Age|YCO/A|Break%|RDOM+|MTF/A,SpeedxBMI,13.774528290324579
RB,456,20,4,GB,0.5872980790353098,0.7165492439227318,1.2000856611716844,1.5089666587405035,10,DOM+|ELU|Break%|Breakout Age|YPC|YPR|YCO/A|RDOM+|MTF/A,SpeedxBMI,13.209039430103608
RB,456,20,11,HGB,0.5607094411277942,0.6808561158187264,1.2553809299311103,1.6011576595834685,8,DOM+|Breakout Age|Break%|MTF/A|YPC|ELU|YPR,SpeedxBMI,12.632899429029939
RB,456,20,9,Ridge,0.5522909115396034,0.646072254662924,1.428063478843925,1.68615750079526,8,DOM+|YPR|YPC|Breakout Age|MTF/A|Break%|YCO/A,SpeedxBMI,12.31213195866477
RB,456,20,14,Ridge,0.4704708202025497,0.6439481820787767,1.39883183519596,1.6912096102577783,6,DOM+|MTF/A|YPR|RDOM+|Break%,SpeedxBMI,12.205888407605151
RB,456,20,8,RF,0.46303363803862957,0.6062804240113626,1.440147340952591,1.7784200191362751,4,DOM+|RDOM+|ELU,SpeedxBMI,11.48018662044175
