position,seed,n_subsets,max_base_feats,n_iter_per_model,best_test_R2,best_test_MAE,best_test_RMSE,runtime_sec,leaderboard_csv,predictions_csv,metadata_json,model_pickle,best_model_tag,best_bases,best_interactions
TE,21,20,15,50,0.8335138821338597,18.575982695711186,22.198316497618457,281.20853541605175,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed21_subs20_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed21_subs20_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed21_subs20_base15_iter50.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed21_subs20_base15_iter50.pkl,GB,DOM+|Draft Capital|Wide%|Y/RR|ELU|Y/REC|Slot%|REC%|Breakout Age|FUM,SpeedxBMI|Wide%xSlot%
TE,34,20,15,50,0.6030694765692289,29.641628435118605,37.21538014273277,270.1434187926352,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed34_subs20_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed34_subs20_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed34_subs20_base15_iter50.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed34_subs20_base15_iter50.pkl,GB,DOM+|Draft Capital|Drop%|CC%|Breakout Age|aDOT|FUM|Wide%|YAC/R|Y/REC|REC%|Y/RR|Slot%,SpeedxBMI|Wide%xSlot%
TE,56,20,15,50,0.6708625027958708,30.14494659469638,37.47235341560218,291.1043525412679,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed56_subs20_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed56_subs20_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed56_subs20_base15_iter50.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed56_subs20_base15_iter50.pkl,GB,DOM+|Draft Capital|aDOT|Y/RR|ELU|Breakout Age|Slot%|MTF|Drop%|CC%|Y/REC|REC%,SpeedxBMI
TE,21,20,15,100,0.8335138821338597,18.575982695711186,22.198316497618457,582.1578395422548,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed21_subs20_base15_iter100.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed21_subs20_base15_iter100.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed21_subs20_base15_iter100.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed21_subs20_base15_iter100.pkl,GB,DOM+|Draft Capital|Wide%|Y/RR|ELU|Y/REC|Slot%|REC%|Breakout Age|FUM,SpeedxBMI|Wide%xSlot%
TE,34,20,15,100,0.6051121282883074,29.216374431322382,37.11949924206585,553.190350250341,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed34_subs20_base15_iter100.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed34_subs20_base15_iter100.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed34_subs20_base15_iter100.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed34_subs20_base15_iter100.pkl,GB,DOM+|Draft Capital|Drop%|Y/RR|REC%|CC%|ELU|aDOT|Slot%|Wide%|YAC/R|Breakout Age|FUM|Y/REC,SpeedxBMI|Wide%xSlot%
TE,56,20,15,100,0.6708625027958708,30.14494659469638,37.47235341560218,538.3691074578092,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed56_subs20_base15_iter100.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed56_subs20_base15_iter100.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed56_subs20_base15_iter100.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed56_subs20_base15_iter100.pkl,GB,DOM+|Draft Capital|aDOT|Y/RR|ELU|Breakout Age|Slot%|MTF|Drop%|CC%|Y/REC|REC%,SpeedxBMI
TE,21,40,15,50,0.8335138821338597,18.575982695711186,22.198316497618457,532.3566160835326,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed21_subs40_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed21_subs40_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed21_subs40_base15_iter50.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed21_subs40_base15_iter50.pkl,GB,DOM+|Draft Capital|Wide%|Y/RR|ELU|Y/REC|Slot%|REC%|Breakout Age|FUM,SpeedxBMI|Wide%xSlot%
TE,34,40,15,50,0.649632384589405,28.08120936665379,34.96448934601468,515.7772409580648,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed34_subs40_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed34_subs40_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed34_subs40_base15_iter50.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed34_subs40_base15_iter50.pkl,GB,DOM+|Draft Capital|Y/RR,SpeedxBMI|Wide%xSlot%
TE,56,40,15,50,0.6708625027958708,30.14494659469638,37.47235341560218,570.3292456669733,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed56_subs40_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed56_subs40_base15_iter50.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed56_subs40_base15_iter50.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed56_subs40_base15_iter50.pkl,GB,DOM+|Draft Capital|aDOT|Y/RR|ELU|Breakout Age|Slot%|MTF|Drop%|CC%|Y/REC|REC%,SpeedxBMI
TE,21,40,15,100,0.8335138821338597,18.575982695711186,22.198316497618457,1124.5261809583753,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_leaderboard_seed21_subs40_base15_iter100.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_preds_seed21_subs40_base15_iter100.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_wide_best_meta_seed21_subs40_base15_iter100.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Bakery/_derived/TE/te_model_seed21_subs40_base15_iter100.pkl,GB,DOM+|Draft Capital|Wide%|Y/RR|ELU|Y/REC|Slot%|REC%|Breakout Age|FUM,SpeedxBMI|Wide%xSlot%
