Player,Bias,DOM+,Draft Capital,Wide%,Y/RR,ELU,Y/REC,Slot%,REC%,Breakout Age,FUM,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Score_15,Model_Output_raw_TE,Train_Target_raw,Error_Target
Jordan Akins,-92.8698,-8.0147,17.8936,-0.9674,-22.8104,0.8963,5.0754,-0.4843,2.5800,-0.5523,-0.5363,3.4768,-2.3530,-6.9201,1.1238,6.7013,-98.6661,-75.0000,-23.6661
Oronde Gadsden II,-92.8698,7.6879,-18.6048,-0.5043,18.1698,4.9151,4.3004,0.3539,1.2936,11.0563,0.7910,8.6371,2.8014,29.4589,11.4385,10.6047,-51.9724,-53.0000,1.0276
Payne Durham,-92.8698,5.6612,-20.2622,-1.0922,-30.3660,1.1206,-8.3624,3.8293,-1.3475,-2.3549,-0.5363,1.3144,-1.5726,-53.7104,-0.2582,2.6744,-146.8383,-159.0000,12.1617
Isaac Nauta,-92.8698,0.0967,-53.3190,1.0214,17.3609,1.2889,-2.1716,2.2066,2.9034,-0.9327,-0.5363,1.5283,5.7849,-32.0817,7.3132,5.1153,-117.6383,-107.0000,-10.6383
James O'Shaughnessy,-92.8698,12.4133,-21.0519,0.4482,-3.0959,0.6315,-3.0976,-1.8675,0.8257,-1.0683,-0.4195,-1.6261,-1.0776,-16.2820,-2.7037,5.5988,-111.8553,-151.0000,39.1447
Noah Gray,-92.8698,-1.7001,-21.2152,-1.3829,-21.3532,1.3964,-5.9716,3.4081,-1.3052,-1.0489,-0.5363,1.0332,-1.6136,-49.7089,-0.5804,2.9819,-143.1591,-131.0000,-12.1591
Evan Engram,-92.8698,7.7348,41.6751,0.0414,25.2171,1.4884,6.2347,0.3657,1.3320,-1.5772,-0.3762,2.6680,-1.4461,82.1358,1.2219,14.1542,-9.5122,-3.0000,-6.5122
Jerell Adams,-92.8698,-2.4614,-44.9377,0.2791,-9.7039,1.5482,7.9769,2.5510,-0.7816,-0.7673,0.9736,17.0383,-2.0245,-45.3231,15.0138,4.6521,-123.1793,-78.0000,-45.1793
Charlie Woerner,-92.8698,-10.1126,-43.2701,0.9550,-46.2846,5.4338,-3.0555,5.2833,2.3515,-1.1288,0.9736,-2.5674,5.4617,-88.8544,2.8943,0.0000,-178.8299,-203.0000,24.1701
Elijah Arroyo,-92.8698,-6.8073,47.3895,1.0128,13.6811,1.1103,5.6534,2.1992,0.2531,-0.5101,-0.5363,-1.1938,4.2746,63.4457,3.0808,12.7472,-26.3433,-33.0000,6.6567
Mitchell Evans,-92.8698,-2.8939,-21.2646,0.5374,-3.3599,-3.7956,-3.4257,-2.1639,0.9028,-0.9717,-0.5363,-0.9161,-1.0381,-36.9714,-1.9542,3.9319,-131.7953,-95.0000,-36.7953
David Morgan,-92.8698,-1.7675,-50.8876,2.2713,14.5559,1.2889,-4.6562,-2.8268,3.1229,-2.8382,-0.5363,-0.5721,5.3418,-42.2736,4.7697,4.0507,-130.3736,-142.0000,11.6264
Adam Shaheen,-92.8698,-1.8792,56.5919,0.9821,0.4015,0.6427,-1.4304,-2.0067,1.6693,-0.7745,-0.5363,-9.3075,-0.9793,53.6604,-10.2868,10.8117,-49.4961,-42.0000,-7.4961
Brock Bowers,-92.8698,6.4099,37.9122,0.7145,25.5262,-9.7519,3.5891,-1.0884,-5.0464,7.4122,0.9736,1.0435,4.1831,66.6510,5.2266,13.1945,-20.9921,-1.0000,-19.9921
Gerald Christian,-92.8698,-0.5991,-53.0707,-1.0965,-11.3641,1.2234,-1.8856,3.1615,3.4374,-0.9805,0.9736,-0.1898,-3.0909,-60.2006,-3.2807,1.8791,-156.3510,-198.0000,41.6490
Kylen Granson,-92.8698,-1.1605,-0.6667,0.8439,17.9700,1.2861,5.3755,0.9684,1.8802,-1.6965,-0.5363,-1.2213,4.2746,24.2641,3.0533,9.4695,-65.5525,-43.0000,-22.5525
Sam LaPorta,-92.8698,7.1362,48.8528,1.9131,16.9573,6.3536,1.4710,1.6064,3.0439,0.5532,0.9736,0.1321,4.3038,88.8611,4.4359,14.9851,0.4272,-15.0000,15.4272
Thomas Duarte,-92.8698,10.6502,-50.9091,-0.7935,15.2848,1.2264,7.4464,0.7146,2.2847,4.2031,-0.5363,-2.5279,-2.3328,-10.4287,-4.8607,5.9078,-108.1591,-76.0000,-32.1591
Josiah Deguara,-92.8698,7.5160,21.9121,-0.7040,-8.4335,1.1895,0.6556,3.4500,3.3206,-11.3372,0.9736,-0.6540,-1.5676,18.5427,-2.2216,8.5503,-76.5486,-98.0000,21.4514
Chris Herndon,-92.8698,12.5077,0.3356,0.4482,-1.1542,0.6427,-2.3214,-1.9763,1.0638,-0.8072,-0.4195,-0.9509,-0.9793,8.3194,-1.9302,7.7200,-86.4805,-100.0000,13.5195
Tanner McLachlan,-92.8698,-9.9643,-42.7543,-3.3093,-11.3054,1.0592,-2.9614,1.4322,-6.1964,-1.1121,-0.4500,10.3006,-2.0022,-75.5618,8.2984,1.5630,-160.1330,-154.0000,-6.1330
Will Mallory,-92.8698,-0.4962,-21.6225,0.8799,17.9189,1.5482,-0.3374,1.5230,-0.3025,-0.9213,0.6681,1.9377,-1.6152,-1.1418,0.3225,7.1174,-93.6892,-71.0000,-22.6892
Jace Sternberger,-92.8698,9.0068,20.8785,0.0428,20.9202,1.2376,5.3837,2.0457,4.4893,-1.7057,-0.5363,-1.2923,-2.2943,61.7626,-3.5866,12.0491,-34.6937,-38.0000,3.3063
Ian Thomas,-92.8698,-3.3626,-0.5782,-0.7704,18.3356,1.2831,5.4544,1.3337,0.3593,-0.5138,-0.5363,0.3274,-2.3580,21.0048,-2.0306,8.7720,-73.8955,-67.0000,-6.8955
Troy Fumagalli,-92.8698,-1.2591,-21.1520,-0.6735,18.4271,1.2123,-1.9857,1.5960,1.7545,-0.9507,-0.5363,-1.2802,-2.0478,-3.5674,-3.3280,6.6095,-99.7652,-103.0000,3.2348
Trey McBride,-92.8698,7.3522,42.1507,0.8787,26.8319,2.6610,4.5093,1.6100,1.9378,-0.6649,0.9736,0.7860,4.4491,88.2403,5.2351,15.0000,0.6054,-11.0000,11.6054
Brycen Hopkins,-92.8698,6.9876,-0.1745,-0.3918,19.0807,1.1784,3.9510,1.1894,1.3065,-11.3421,-0.5363,-1.2728,-1.9492,21.2489,-3.2220,8.6929,-74.8429,-49.0000,-25.8429
Durham Smythe,-92.8698,12.2758,-2.6276,-2.3420,-43.6143,0.2012,-2.9307,3.3554,-22.0917,-0.8735,-0.4195,1.6004,-2.9665,-59.0669,-1.3661,2.1340,-153.3026,-130.0000,-23.3026
Zach Davidson,-92.8698,11.6743,-22.0564,1.8929,-2.7107,4.1840,-3.5867,-1.0475,0.4579,-1.0809,-0.2595,1.3655,-0.6725,-12.5326,0.6930,6.1961,-104.7093,-73.0000,-31.7093
