Player,Bias,DOM+,Draft Capital,Drop%,Y/RR,REC%,CC%,ELU,aDOT,Slot%,Wide%,YAC/R,Breakout Age,FUM,Y/REC,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Score_15,Model_Output_raw_TE,Train_Target_raw,Error_Target
Ben Sinnott,-90.4566,-1.7597,44.8980,-1.7992,12.8702,4.8524,1.9168,-2.0679,-1.1916,1.0390,0.3198,4.1456,-1.1996,0.4154,4.2475,4.0705,1.6604,66.6867,5.7309,14.8415,-18.0389,-28.0000,9.9611
Josh Oliver,-90.4566,-4.4269,21.4140,1.5815,0.8454,3.8968,1.1295,1.6560,-1.5570,0.7944,-0.0594,-1.8590,-4.2890,-0.1713,-4.7197,3.2530,-0.5077,14.2353,2.7453,9.6573,-73.4760,-79.0000,5.5240
Jeremy Sprinkle,-90.4566,-4.3750,-13.0919,2.0516,16.8980,3.6027,0.8332,1.3052,4.9871,1.2936,-1.7795,3.4416,-0.2577,0.9686,11.2509,-2.9928,-1.6202,27.1284,-4.6130,10.1749,-67.9412,-120.0000,52.0588
James O'Shaughnessy,-90.4566,10.5100,-16.2241,-1.9761,5.9104,4.1720,0.9495,0.9205,-3.1106,-3.2484,0.2393,2.4191,-0.3921,-0.1713,-4.7233,-5.9819,-0.4314,-4.7251,-6.4133,7.0278,-101.5948,-151.0000,49.4052
Ben Koyack,-90.4566,9.2719,-46.9019,-2.0374,4.3824,4.2376,0.7575,0.9031,-2.3150,-2.8040,0.4330,2.2405,-0.5496,-0.1713,-5.0313,-0.1887,-0.1719,-37.5845,-0.3606,4.5210,-128.4018,-207.0000,78.5982
T.J. Hockenson,-90.4566,6.0044,42.0795,-1.5220,14.2628,-0.8145,2.2608,-0.2612,-1.4328,1.8895,-1.3229,1.9701,-5.2535,0.4610,7.0203,-3.0912,-1.5269,65.3415,-4.6181,13.7479,-29.7332,-4.0000,-25.7332
Grant Calcaterra,-90.4566,-0.4848,-43.6226,-2.3427,-19.3583,3.5006,0.9540,-9.7179,-2.0957,3.4941,2.3225,-8.3048,-0.3471,-0.1713,-9.5481,9.1940,0.6906,-85.7221,9.8846,0.9775,-166.2941,-121.0000,-45.2941
Randall Telfer,-90.4566,0.0083,-46.6887,-1.8316,4.9116,4.3031,0.8408,0.9031,-2.0182,-2.7020,0.4495,1.6687,-0.5567,-0.1713,-5.5362,1.6658,-1.1789,-46.4196,0.4869,3.7740,-136.3894,-201.0000,64.6106
Daniel Bellinger,-90.4566,-1.0299,0.5286,-1.3721,6.9943,3.3821,0.6433,-3.3393,11.2705,0.9193,-0.3466,2.2320,-0.1743,-0.2216,-7.3086,-1.0922,3.9125,12.1777,2.8203,9.4719,-75.4587,-62.0000,-13.4587
Gavin Bartholomew,-90.4566,-7.3599,-42.3037,1.5319,-44.3545,3.6413,0.5310,1.0951,2.2161,-0.6210,-1.9395,5.7122,-0.5469,1.8663,-3.4637,-1.6719,-0.6236,-83.9953,-2.2955,0.0000,-176.7474,-157.0000,-19.7474
Jared Wiley,-90.4566,6.7074,-1.1236,-1.6803,0.1070,2.8838,0.9096,1.3280,5.3482,1.8438,-1.5090,5.6779,-0.1817,-0.4042,-7.8255,9.2293,0.2849,12.0814,9.5142,10.0889,-68.8608,-123.0000,54.1392
Drew Sample,-90.4566,0.7330,60.0414,-0.5946,-35.9269,3.7987,-8.1706,0.8745,3.2011,-0.4670,1.7236,-6.7880,-0.0802,-0.3561,-4.6620,1.1544,-2.1488,13.3269,-0.9944,9.2227,-78.1243,-122.0000,43.8757
Jeff Heuerman,-90.4566,-9.9133,21.5363,-1.6947,7.9948,4.5204,0.9342,0.7816,-1.6125,-3.0236,0.5450,0.8714,-0.1850,-0.1713,-2.9434,3.3902,-1.2979,17.6399,2.0923,9.9146,-70.7246,-124.0000,53.2754
Eric Saubert,-90.4566,-1.9369,-18.2445,-1.7365,6.4691,3.8534,0.9342,0.9031,-2.4643,-3.0237,0.5248,1.8027,-0.4014,-0.1713,-5.2282,2.0141,-1.2784,-18.7195,0.7357,6.3876,-108.4407,-97.0000,-11.4407
Payne Durham,-90.4566,7.1613,-19.5588,-2.1355,-26.7626,0.9642,1.2957,0.8264,4.8498,0.5326,-2.6332,-3.6806,-2.0378,-0.4042,-8.0005,0.9223,-2.0184,-49.5832,-1.0961,3.3302,-141.1360,-159.0000,17.8640
Zach Gentry,-90.4566,-3.3422,-15.6080,5.8558,4.8797,3.7816,0.8812,0.9831,-1.8898,0.7799,1.3491,5.4498,-0.2852,-0.1713,13.2207,0.8308,-1.5465,15.8844,-0.7157,9.4879,-75.2878,-77.0000,1.7122
Gerald Everett,-90.4566,5.4138,41.9986,2.3255,14.5618,4.6401,1.6076,1.3029,-1.9986,-1.5687,-1.1220,2.6358,-1.6613,0.1122,6.3722,-6.6904,-2.7861,74.6199,-9.4765,14.1612,-25.3134,-20.0000,-5.3134
Zach Davidson,-90.4566,10.2536,-16.7540,-1.4997,5.3986,4.2238,1.0282,3.9169,-3.1870,-2.7736,2.3368,2.4539,-0.4061,0.0174,-4.5676,12.0822,0.8486,0.4412,12.9308,9.3199,-77.0848,-73.0000,-4.0848
Ryan Izzo,-90.4566,-11.3152,-41.8873,1.3727,-45.6509,3.6196,2.2434,2.4025,-0.2731,-3.5870,-2.0902,5.8273,-0.4915,-0.0574,10.1171,-3.0659,-1.8472,-79.7700,-4.9131,0.1503,-175.1398,-150.0000,-25.1398
