Player,Bias,DOM+,Draft Capital,Drop%,CC%,Breakout Age,aDOT,FUM,Wide%,YAC/R,Y/REC,REC%,Y/RR,Slot%,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_TE_Score_15,Model_Output_raw_TE,Train_Target_raw,Error_Target
Ben Sinnott,-90.3414,-2.6717,46.6706,-1.0214,2.1225,-4.3116,-0.7593,0.0231,0.4196,3.4325,3.1176,5.0463,14.8531,1.3528,2.3440,0.5063,68.2741,2.8503,15.0000,-19.2171,-28.0000,8.7829
Josh Oliver,-90.3414,-3.4006,21.5588,-2.5602,-0.5877,-3.6453,-1.3515,-0.1042,-0.2587,-1.7301,-4.1528,3.6447,0.3250,0.9287,1.5713,-0.4910,8.6661,1.0803,9.4373,-80.5950,-79.0000,-1.5950
Jeremy Sprinkle,-90.3414,-3.8582,-13.5971,0.8570,0.6761,-1.0237,4.1881,0.8395,-0.5362,4.2251,10.3639,3.2898,20.1324,1.7696,-2.2590,-1.4443,27.3263,-3.7033,10.6950,-66.7182,-120.0000,53.2818
James O'Shaughnessy,-90.3414,9.0126,-19.4396,-1.3167,0.7374,-1.4807,-3.5983,-0.2505,-0.0019,1.0815,-3.2678,4.3353,9.7533,-3.1101,-6.6304,0.0676,-7.5455,-6.5628,7.2754,-104.4497,-151.0000,46.5503
Ben Koyack,-90.3414,7.9322,-49.9645,-1.3185,0.5834,-1.4200,-4.5013,-0.2324,0.0525,1.2122,-5.0034,4.2485,7.7004,-2.2527,4.7071,0.3128,-42.9636,5.0199,5.1152,-128.2850,-207.0000,78.7150
T.J. Hockenson,-90.3414,6.4400,44.0653,-1.0910,1.2499,-9.5810,-1.0245,0.0298,-0.5613,1.9280,8.5402,-0.7690,16.3072,1.6646,0.0593,-1.3582,67.1982,-1.2989,14.5264,-24.4423,-4.0000,-20.4423
Grant Calcaterra,-90.3414,-2.8648,-43.2534,-1.7236,0.9820,-1.7797,-2.5391,-0.2068,0.8009,-4.8445,-12.8562,4.0899,-16.1105,1.8039,6.3470,1.1476,-78.5019,7.4946,2.1186,-161.3486,-121.0000,-40.3486
Randall Telfer,-90.3414,-2.2901,-44.7230,-2.2489,0.5447,-1.4566,-3.9994,-0.2374,-0.0915,1.1316,-5.3340,4.2529,8.5890,-2.2407,1.9584,0.2652,-48.1034,2.2236,4.3959,-136.2212,-201.0000,64.7788
Daniel Bellinger,-90.3414,-3.3403,-0.2054,-1.3728,0.6319,-0.7319,8.7019,-0.0905,-1.2968,0.7567,-6.4036,3.7583,8.0200,3.0864,-0.3038,3.0397,11.5139,2.7359,9.8455,-76.0917,-62.0000,-14.0917
Gavin Bartholomew,-90.3414,-9.3761,-40.2736,0.9666,0.9021,-1.6936,-0.8164,0.6141,-0.8630,6.6031,-7.6423,3.1097,-40.8936,-1.1672,-3.0331,-0.8208,-90.5302,-3.8539,0.0000,-184.7254,-157.0000,-27.7254
Jared Wiley,-90.3414,5.9123,-0.6046,-1.7285,1.0936,-0.8308,4.2620,0.1150,-0.4157,4.8139,-7.5451,3.3537,-0.5040,3.2138,7.2064,0.0656,11.1356,7.2720,10.2223,-71.9339,-123.0000,51.0661
Drew Sample,-90.3414,-2.5910,58.5607,-0.8429,-7.6491,-0.8650,-0.8379,-0.0636,0.3345,-2.7818,-4.4852,2.5701,-35.4419,0.3326,2.1727,-1.7018,6.2395,0.4709,9.1622,-83.6309,-122.0000,38.3691
Jeff Heuerman,-90.3414,-10.0949,20.5016,-2.4466,1.0513,-0.9311,-2.7453,-0.0661,0.3298,0.9571,-2.2594,4.4808,9.4105,-2.9072,6.0076,-0.1047,15.2805,5.9029,10.4738,-69.1582,-124.0000,54.8418
Eric Saubert,-90.3414,0.3263,-19.6730,-2.8153,0.7346,-1.5314,-3.1733,-0.1851,0.1889,1.3009,-3.9620,4.2768,9.8697,-3.1336,1.9229,-0.0972,-17.7765,1.8257,7.1084,-106.2924,-97.0000,-9.2924
